FLT-1078,EY0739,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,75,A6-EYB,1,A380,516,16000,16,1,AUH,9,SYD,2026-01-27 20:16:00,2026-01-28 00:16:00,2026-01-28 01:31:00,Delayed,A12,1,CLEAR,,,,,,,,A6-EYO,EY,CDG,AUH,EY2796,2026-01-27T14:19:00,2026-01-27T14:19:00Z,2026-01-27T10:19:00,2026-01-27T10:19:00Z,A6-EYG,EY,LHR,AUH,EY8184,2026-01-27T19:11:00,2026-01-27T19:11:00Z,2026-01-27T16:11:00,2026-01-27T16:11:00Z,Y,N
FLT-1079,EY6622,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,60,A6-EYJ,3,B787-10,330,12000,10,8,DEL,1,AUH,2026-01-27 22:41:00,2026-01-28 02:41:00,2026-01-28 03:41:00,Scheduled,A25,1,CLEAR,,,,,,,,A6-EYI,EY,FCO,AUH,EY8086,2026-01-27T09:30:00,2026-01-27T09:30:00Z,2026-01-27T06:30:00,2026-01-27T06:30:00Z,A6-EYA,EY,AUH,JFK,EY912,2026-01-28T02:20:00,2026-01-28T02:20:00Z,2026-01-27T18:20:00,2026-01-27T18:20:00Z,Y,N
FLT-1080,EY5265,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,90,A6-EYK,4,A350,350,13000,12,11,FCO,1,AUH,2026-01-27 06:15:00,2026-01-27 12:15:00,2026-01-27 13:45:00,Delayed,B8,1,CLEAR,,,,,,,,A6-EYB,EY,SYD,AUH,EY0739,2026-01-28T00:16:00,2026-01-28T00:16:00Z,2026-01-27T20:16:00,2026-01-27T20:16:00Z,A6-EYM,EY,DOH,AUH,EY4943,2026-01-27T17:54:00,2026-01-27T17:54:00Z,2026-01-27T08:54:00,2026-01-27T08:54:00Z,Y,N
FLT-1081,EY6005,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,45,A6-EYL,4,A350,350,13000,12,8,DEL,1,AUH,2026-01-27 08:30:00,2026-01-27 21:30:00,2026-01-27 22:15:00,Scheduled,C25,2,ACTIVE,B,8.0,2026-02-04,MEL-271,REF-2876,2026-01-25,Speed limited to M0.82,A6-EYA,EY,AUH,JFK,EY912,2026-01-28T02:20:00,2026-01-28T02:20:00Z,2026-01-27T18:20:00,2026-01-27T18:20:00Z,A6-EYG,EY,LHR,AUH,EY8184,2026-01-27T19:11:00,2026-01-27T19:11:00Z,2026-01-27T16:11:00,2026-01-27T16:11:00Z,Y,N
FLT-1082,EY2796,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,60,A6-EYO,5,A321LR,206,4200,6,1,AUH,5,CDG,2026-01-27 10:19:00,2026-01-27 14:19:00,2026-01-27 15:19:00,Scheduled,C19,3,CLEAR,,,,,,,,A6-EYL,EY,AUH,DEL,EY6005,2026-01-27T21:30:00,2026-01-27T21:30:00Z,2026-01-27T08:30:00,2026-01-27T08:30:00Z,A6-EYB,EY,SYD,AUH,EY0739,2026-01-28T00:16:00,2026-01-28T00:16:00Z,2026-01-27T20:16:00,2026-01-27T20:16:00Z,Y,N
FLT-1083,EY913,8,Runway Closure + Airspace Flow Rate Restrictions,N,LIAC from EY912,120,A6-EYA,1,A380,516,16000,16,1,AUH,7,JFK,2026-01-27 12:58:00,2026-01-27 21:58:00,2026-01-27 23:58:00,Delayed,B3,3,CLEAR,,,,,,,,A6-EYO,EY,CDG,AUH,EY2796,2026-01-27T14:19:00,2026-01-27T14:19:00Z,2026-01-27T10:19:00,2026-01-27T10:19:00Z,A6-EYN,EY,AUH,CAI,EY9626,2026-01-27T19:17:00,2026-01-27T19:17:00Z,2026-01-27T10:17:00,2026-01-27T10:17:00Z,Y,N
FLT-1084,EY433,8,Runway Closure + Airspace Flow Rate Restrictions,N,LIAC from EY432,75,A6-EYF,3,B787-10,330,12000,10,1,AUH,3,LHR,2026-01-27 14:44:00,2026-01-28 03:44:00,2026-01-28 04:59:00,Delayed,C28,3,CLEAR,,,,,,,,A6-EYA,EY,AUH,JFK,EY912,2026-01-28T02:20:00,2026-01-28T02:20:00Z,2026-01-27T18:20:00,2026-01-27T18:20:00Z,A6-EYN,EY,AUH,CAI,EY9626,2026-01-27T19:17:00,2026-01-27T19:17:00Z,2026-01-27T10:17:00,2026-01-27T10:17:00Z,Y,N
FLT-1085,EY8086,9,Security Threat + Geopolitical Airspace Diversion,Y,Terminal evacuation delay,180,A6-EYI,3,B787-10,330,12000,10,1,AUH,11,FCO,2026-01-28 06:46:00,2026-01-28 17:46:00,2026-01-28 20:46:00,Delayed,C20,3,CLEAR,,,,,,,,A6-EYF,EY,LHR,AUH,EY433,2026-01-28T20:18:00,2026-01-28T20:18:00Z,2026-01-28T14:18:00,2026-01-28T14:18:00Z,A6-EYI,EY,AUH,FCO,EY8087,2026-01-29T05:03:00,2026-01-29T05:03:00Z,2026-01-28T22:03:00,2026-01-28T22:03:00Z,Y,N
FLT-1086,EY8184,9,Security Threat + Geopolitical Airspace Diversion,Y,Terminal evacuation delay,180,A6-EYG,3,B787-10,330,12000,10,1,AUH,3,LHR,2026-01-28 08:49:00,2026-01-28 18:49:00,2026-01-28 21:49:00,Delayed,C11,1,CLEAR,,,,,,,,A6-EYH,EY,AUH,DEL,EY1203,2026-01-28T23:44:00,2026-01-28T23:44:00Z,2026-01-28T18:44:00,2026-01-28T18:44:00Z,A6-EYN,EY,AUH,DEL,EY6005,2026-01-28T16:35:00,2026-01-28T16:35:00Z,2026-01-28T08:35:00,2026-01-28T08:35:00Z,Y,N
FLT-1087,EY912,9,Security Threat + Geopolitical Airspace Diversion,Y,Airspace diversion required,240,A6-EYA,1,A380,516,16000,16,1,AUH,7,JFK,2026-01-28 10:53:00,2026-01-28 14:53:00,2026-01-28 18:53:00,Delayed,D8,2,CLEAR,,,,,,,,A6-EYV,EY,BKK,AUH,EY118,2026-01-28T19:07:00,2026-01-28T19:07:00Z,2026-01-28T08:07:00,2026-01-28T08:07:00Z,A6-EYJ,EY,AUH,CDG,EY335,2026-01-28T21:34:00,2026-01-28T21:34:00Z,2026-01-28T16:34:00,2026-01-28T16:34:00Z,Y,N
FLT-1088,EY334,9,Security Threat + Geopolitical Airspace Diversion,Y,Terminal evacuation delay,180,A6-EYJ,3,B787-10,330,12000,10,1,AUH,5,CDG,2026-01-28 12:36:00,2026-01-29 00:36:00,2026-01-29 03:36:00,Delayed,C1,2,CLEAR,,,,,,,,A6-EYN,EY,AUH,DEL,EY6005,2026-01-28T16:35:00,2026-01-28T16:35:00Z,2026-01-28T08:35:00,2026-01-28T08:35:00Z,A6-EYV,EY,BKK,AUH,EY118,2026-01-28T19:07:00,2026-01-28T19:07:00Z,2026-01-28T08:07:00,2026-01-28T08:07:00Z,Y,N
FLT-1089,EY1202,9,Security Threat + Geopolitical Airspace Diversion,Y,Airspace diversion required,240,A6-EYH,3,B787-10,330,12000,10,1,AUH,8,DEL,2026-01-28 14:54:00,2026-01-28 22:54:00,2026-01-29 02:54:00,Delayed,C11,2,ACTIVE,B,6.0,2026-02-03,MEL-710,REF-5526,2026-01-23,Speed limited to M0.82,A6-EYG,EY,LHR,AUH,EY8184,2026-01-28T18:49:00,2026-01-28T18:49:00Z,2026-01-28T08:49:00,2026-01-28T08:49:00Z,A6-EYJ,EY,CDG,AUH,EY334,2026-01-29T00:36:00,2026-01-29T00:36:00Z,2026-01-28T12:36:00,2026-01-28T12:36:00Z,Y,N
FLT-1090,EY170,9,Security Threat + Geopolitical Airspace Diversion,Y,Airspace diversion required,240,A6-EYQ,6,A320,180,3500,4,1,AUH,8,DEL,2026-01-28 16:00:00,2026-01-29 03:00:00,2026-01-29 07:00:00,Delayed,A8,3,CLEAR,,,,,,,,A6-EYK,EY,AUH,DEL,EY6622,2026-01-29T10:41:00,2026-01-29T10:41:00Z,2026-01-28T20:41:00,2026-01-28T20:41:00Z,A6-EYK,EY,AUH,DEL,EY6622,2026-01-29T10:41:00,2026-01-29T10:41:00Z,2026-01-28T20:41:00,2026-01-28T20:41:00Z,Y,N
FLT-1091,EY432,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYF,3,B787-10,330,12000,10,3,LHR,1,AUH,2026-01-28 18:26:00,2026-01-29 04:26:00,2026-01-29 06:56:00,Delayed,B23,2,CLEAR,,,,,,,,A6-EYM,EY,AUH,FCO,EY3160,2026-01-28T16:23:00,2026-01-28T16:23:00Z,2026-01-28T06:23:00,2026-01-28T06:23:00Z,A6-EYA,EY,JFK,AUH,EY912,2026-01-28T14:53:00,2026-01-28T14:53:00Z,2026-01-28T10:53:00,2026-01-28T10:53:00Z,Y,N
FLT-1092,EY6622,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYK,4,A350,350,13000,12,8,DEL,1,AUH,2026-01-28 20:41:00,2026-01-29 10:41:00,2026-01-29 13:11:00,Delayed,A3,2,CLEAR,,,,,,,,A6-EYQ,EY,DEL,AUH,EY170,2026-01-29T03:00:00,2026-01-29T03:00:00Z,2026-01-28T16:00:00,2026-01-28T16:00:00Z,A6-EYL,EY,AUH,FCO,EY5265,2026-01-29T07:14:00,2026-01-29T07:14:00Z,2026-01-28T22:14:00,2026-01-28T22:14:00Z,Y,N
FLT-1093,EY5265,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYL,4,A350,350,13000,12,11,FCO,1,AUH,2026-01-28 22:14:00,2026-01-29 07:14:00,2026-01-29 09:44:00,Delayed,C22,3,CLEAR,,,,,,,,A6-EYQ,EY,DEL,AUH,EY170,2026-01-29T03:00:00,2026-01-29T03:00:00Z,2026-01-28T16:00:00,2026-01-28T16:00:00Z,A6-EYG,EY,AUH,LHR,EY8185,2026-01-28T16:25:00,2026-01-28T16:25:00Z,2026-01-28T06:25:00,2026-01-28T06:25:00Z,Y,N
FLT-1094,EY3160,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYM,4,A350,350,13000,12,11,FCO,1,AUH,2026-01-28 06:23:00,2026-01-28 16:23:00,2026-01-28 18:53:00,Delayed,C14,3,CLEAR,,,,,,,,A6-EYA,EY,JFK,AUH,EY912,2026-01-28T14:53:00,2026-01-28T14:53:00Z,2026-01-28T10:53:00,2026-01-28T10:53:00Z,A6-EYQ,EY,DEL,AUH,EY170,2026-01-29T03:00:00,2026-01-29T03:00:00Z,2026-01-28T16:00:00,2026-01-28T16:00:00Z,Y,N
FLT-1095,EY6005,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYN,5,A321LR,206,4200,6,8,DEL,1,AUH,2026-01-28 08:35:00,2026-01-28 16:35:00,2026-01-28 19:05:00,Delayed,D9,2,CLEAR,,,,,,,,A6-EYI,EY,FCO,AUH,EY8086,2026-01-28T17:46:00,2026-01-28T17:46:00Z,2026-01-28T06:46:00,2026-01-28T06:46:00Z,A6-EYJ,EY,AUH,CDG,EY335,2026-01-28T21:34:00,2026-01-28T21:34:00Z,2026-01-28T16:34:00,2026-01-28T16:34:00Z,Y,N
FLT-1096,EY117,9,Security Threat + Geopolitical Airspace Diversion,Y,Arrival delayed (terminal closure),150,A6-EYV,6,A320,180,3500,4,2,BKK,1,AUH,2026-01-28 10:16:00,2026-01-28 16:16:00,2026-01-28 18:46:00,Delayed,A24,3,ACTIVE,B,6.0,2026-02-03,MEL-880,REF-4033,2026-01-26,Speed limited to M0.82,A6-EYH,EY,AUH,DEL,EY1203,2026-01-28T23:44:00,2026-01-28T23:44:00Z,2026-01-28T18:44:00,2026-01-28T18:44:00Z,A6-EYQ,EY,AUH,DEL,EY171,2026-01-29T03:36:00,2026-01-29T03:36:00Z,2026-01-28T20:36:00,2026-01-28T20:36:00Z,Y,N
