shipment_id,awb_number,flight_id,flight_number,scenario_id,scenario_name,aircraft_registration,origin,destination,cargo_type,weight_kg,volume_cbm,pieces,is_temperature_sensitive,required_temp_min,required_temp_max,is_dangerous_goods,dg_class,priority,status,shipper_name,consignee_name
CGO-1072,597-76487005,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,General,754,6.49,21,N,,,N,,EXPRESS,ON_TIME,Shipper 99,Consignee 17
CGO-1073,520-35374286,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Valuables,254,4.25,32,N,,,N,,EXPRESS,ON_TIME,Shipper 100,Consignee 86
CGO-1074,146-77638089,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Valuables,125,9.04,42,N,,,N,,ECONOMY,ON_TIME,Shipper 59,Consignee 48
CGO-1075,433-44300917,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Perishable,105,1.88,44,Y,2.0,8.0,N,,STANDARD,ON_TIME,Shipper 56,Consignee 56
CGO-1076,638-63287586,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Dangerous Goods,54,5.7,47,N,,,Y,8.0,ECONOMY,ON_TIME,Shipper 48,Consignee 48
CGO-1077,732-84044951,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Valuables,1635,7.52,12,N,,,N,,STANDARD,ON_TIME,Shipper 83,Consignee 46
CGO-1078,891-70848103,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,General,799,6.79,13,N,,,N,,EXPRESS,ON_TIME,Shipper 85,Consignee 12
CGO-1079,888-76296731,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Perishable,117,9.26,43,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 29,Consignee 73
CGO-1080,395-23637375,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Valuables,1199,8.39,41,N,,,N,,EXPRESS,ON_TIME,Shipper 95,Consignee 8
CGO-1081,698-28700771,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Dangerous Goods,449,5.23,26,N,,,Y,8.0,EXPRESS,ON_TIME,Shipper 65,Consignee 76
CGO-1082,460-64942523,FLT-1007,EY170,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYQ,AUH,DEL,Dangerous Goods,1293,5.85,36,N,,,Y,9.0,EXPRESS,ON_TIME,Shipper 83,Consignee 27
CGO-1083,712-83182574,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Perishable,1110,3.33,44,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 73,Consignee 51
CGO-1084,917-94987085,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,General,1109,1.01,46,N,,,N,,STANDARD,ON_TIME,Shipper 11,Consignee 94
CGO-1085,729-87337367,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Valuables,1033,4.53,43,N,,,N,,ECONOMY,ON_TIME,Shipper 14,Consignee 95
CGO-1086,611-50383141,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Valuables,124,4.65,12,N,,,N,,STANDARD,ON_TIME,Shipper 4,Consignee 24
CGO-1087,299-83865636,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Pharmaceuticals,868,3.57,38,Y,-20.0,8.0,N,,EXPRESS,ON_TIME,Shipper 57,Consignee 56
CGO-1088,404-57944636,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Live Animals,753,3.18,46,N,,,N,,ECONOMY,ON_TIME,Shipper 20,Consignee 87
CGO-1089,885-65964188,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Live Animals,225,3.95,21,N,,,N,,STANDARD,ON_TIME,Shipper 7,Consignee 40
CGO-1090,825-53896501,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Dangerous Goods,1438,8.06,27,N,,,Y,3.0,EXPRESS,ON_TIME,Shipper 50,Consignee 7
CGO-1091,889-29833835,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,AUH,SIN,Perishable,714,4.0,42,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 86,Consignee 79
CGO-1092,253-97717461,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Valuables,1657,2.48,8,N,,,N,,STANDARD,ON_TIME,Shipper 89,Consignee 98
CGO-1093,486-95823499,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,General,1449,7.11,46,N,,,N,,EXPRESS,ON_TIME,Shipper 66,Consignee 10
CGO-1094,273-63065543,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Live Animals,1422,3.58,9,N,,,N,,STANDARD,ON_TIME,Shipper 84,Consignee 80
CGO-1095,643-32776583,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Dangerous Goods,1384,1.47,5,N,,,Y,9.0,EXPRESS,ON_TIME,Shipper 8,Consignee 68
CGO-1096,700-64780529,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,General,1898,8.08,44,N,,,N,,EXPRESS,ON_TIME,Shipper 82,Consignee 93
CGO-1097,614-61857492,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Live Animals,1497,8.88,40,N,,,N,,EXPRESS,ON_TIME,Shipper 98,Consignee 16
CGO-1098,330-59905985,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Valuables,1227,2.61,26,N,,,N,,EXPRESS,ON_TIME,Shipper 84,Consignee 18
CGO-1099,906-46598574,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,General,1643,6.73,45,N,,,N,,ECONOMY,ON_TIME,Shipper 47,Consignee 33
CGO-1100,669-42268804,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,General,279,7.96,43,N,,,N,,ECONOMY,ON_TIME,Shipper 15,Consignee 41
CGO-1101,770-87696242,FLT-1009,EY313,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYN,AUH,JED,Live Animals,177,7.17,3,N,,,N,,EXPRESS,ON_TIME,Shipper 23,Consignee 47
CGO-1102,191-19825174,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,General,932,4.29,11,N,,,N,,STANDARD,ON_TIME,Shipper 6,Consignee 2
CGO-1103,534-52373489,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Pharmaceuticals,1723,7.16,8,Y,-20.0,8.0,N,,EXPRESS,ON_TIME,Shipper 52,Consignee 50
CGO-1104,523-48807583,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Pharmaceuticals,1076,7.58,40,Y,-20.0,8.0,N,,EXPRESS,ON_TIME,Shipper 10,Consignee 19
CGO-1105,392-79781431,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,General,206,3.79,10,N,,,N,,STANDARD,ON_TIME,Shipper 59,Consignee 75
CGO-1106,383-99418920,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Valuables,811,7.6,11,N,,,N,,ECONOMY,ON_TIME,Shipper 30,Consignee 87
CGO-1107,702-34933718,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Pharmaceuticals,1982,9.39,13,Y,-20.0,8.0,N,,EXPRESS,ON_TIME,Shipper 53,Consignee 97
CGO-1108,340-78027783,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Valuables,1640,3.39,6,N,,,N,,ECONOMY,ON_TIME,Shipper 68,Consignee 2
CGO-1109,493-45055954,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Perishable,1524,6.85,29,Y,2.0,8.0,N,,ECONOMY,ON_TIME,Shipper 73,Consignee 24
CGO-1110,588-42518840,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Dangerous Goods,1811,5.06,16,N,,,Y,4.1,STANDARD,ON_TIME,Shipper 11,Consignee 53
CGO-1111,682-20298317,FLT-1010,EY424,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYO,AUH,SIN,Live Animals,1367,1.97,16,N,,,N,,STANDARD,ON_TIME,Shipper 82,Consignee 6
CGO-1112,740-14690405,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Valuables,335,9.67,6,N,,,N,,STANDARD,DELAYED,Shipper 35,Consignee 52
CGO-1113,279-11668647,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Pharmaceuticals,1749,9.6,30,Y,-20.0,8.0,N,,ECONOMY,DELAYED,Shipper 45,Consignee 80
CGO-1114,831-59455494,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Live Animals,650,6.21,34,N,,,N,,ECONOMY,DELAYED,Shipper 8,Consignee 70
CGO-1115,418-52585048,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Perishable,1276,6.21,2,Y,2.0,8.0,N,,STANDARD,DELAYED,Shipper 74,Consignee 86
CGO-1116,617-75741322,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Perishable,288,0.95,9,Y,2.0,8.0,N,,ECONOMY,DELAYED,Shipper 26,Consignee 42
CGO-1117,429-65083741,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Valuables,1282,3.34,20,N,,,N,,ECONOMY,DELAYED,Shipper 13,Consignee 21
CGO-1118,912-97366978,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Pharmaceuticals,1887,3.35,36,Y,-20.0,8.0,N,,EXPRESS,DELAYED,Shipper 30,Consignee 7
CGO-1119,788-58635098,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,AUH,LHR,Valuables,520,9.27,5,N,,,N,,STANDARD,DELAYED,Shipper 84,Consignee 75
