booking_id,pnr,passenger_id,flight_id,flight_number,scenario_id,scenario_name,aircraft_registration,booking_date,booking_status,cabin_class,fare_basis,total_fare_usd,payment_status,is_disrupted,rebook_status,is_cancelled
BKG-1016,CRN118,PAX-1016,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-10,CONFIRMED,Economy,BOWRT,1616,PAID,Y,WAITLIST,N
BKG-1017,XFR684,PAX-1017,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-04,CONFIRMED,Economy,YOWUS,3843,PAID,Y,WAITLIST,N
BKG-1018,FIC831,PAX-1018,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-15,MODIFIED,Business,BOWRT,548,PAID,Y,PENDING,N
BKG-1019,LPG526,PAX-1019,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-12,CONFIRMED,First,YOWUS,1447,PAID,Y,CONFIRMED,N
BKG-1020,RZM286,PAX-1020,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-11,CONFIRMED,Economy,JOWRT,236,PAID,Y,,N
BKG-1021,MMY631,PAX-1021,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-27,CONFIRMED,Business,JOWRT,6213,PAID,Y,,N
BKG-1022,RYD722,PAX-1022,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-08,CONFIRMED,Economy,BOWRT,7411,PAID,Y,,N
BKG-1023,WLX555,PAX-1023,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-08,CONFIRMED,First,BOWRT,7374,PAID,Y,WAITLIST,N
BKG-1024,NTV175,PAX-1024,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-31,CONFIRMED,First,BOWRT,4645,PAID,Y,,N
BKG-1025,EQX445,PAX-1025,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-23,CONFIRMED,Economy,BOWRT,7955,PAID,Y,CONFIRMED,N
BKG-1026,IZI508,PAX-1026,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-03,CONFIRMED,First,BOWRT,808,PAID,Y,,N
BKG-1027,RHA210,PAX-1027,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-04,MODIFIED,Business,FOWRT,6038,PAID,Y,PENDING,N
BKG-1028,LPN435,PAX-1028,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-05,CONFIRMED,First,JOWRT,6034,PAID,Y,CONFIRMED,N
BKG-1029,OSE551,PAX-1029,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-04,CONFIRMED,First,FOWRT,628,PAID,Y,WAITLIST,N
BKG-1030,SRM591,PAX-1030,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-17,CONFIRMED,First,JOWRT,4507,PAID,Y,,N
BKG-1031,RDZ261,PAX-1031,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-05,CONFIRMED,First,YOWUS,1112,PAID,Y,CONFIRMED,N
BKG-1032,HZO605,PAX-1032,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-22,CONFIRMED,Business,FOWRT,2156,PAID,Y,,N
BKG-1033,YHS111,PAX-1033,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-04,CONFIRMED,First,BOWRT,4404,PAID,Y,,N
BKG-1034,XFN268,PAX-1034,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-17,CONFIRMED,Economy,JOWRT,2211,PAID,Y,WAITLIST,N
BKG-1035,BYA518,PAX-1035,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-04,CONFIRMED,Economy,YOWUS,7925,PAID,Y,,N
BKG-1036,TWA311,PAX-1036,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-07,CONFIRMED,First,JOWRT,5155,PAID,Y,WAITLIST,N
BKG-1037,WXQ537,PAX-1037,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-20,CONFIRMED,Business,BOWRT,2965,PAID,Y,,N
BKG-1038,JPB174,PAX-1038,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-03,MODIFIED,First,YOWUS,7781,PAID,Y,PENDING,N
BKG-1039,WTA666,PAX-1039,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-16,MODIFIED,Business,JOWRT,5495,PAID,Y,PENDING,N
BKG-1040,KVG824,PAX-1040,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-27,CONFIRMED,First,FOWRT,4455,PAID,Y,,N
BKG-1041,TCJ665,PAX-1041,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-12,CONFIRMED,Business,FOWRT,6561,PAID,Y,CONFIRMED,N
BKG-1042,ITD805,PAX-1042,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-12,CONFIRMED,Economy,JOWRT,2908,PAID,Y,WAITLIST,N
BKG-1043,ICA415,PAX-1043,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-19,CONFIRMED,Business,JOWRT,1068,PAID,Y,,N
BKG-1044,HUJ352,PAX-1044,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-23,MODIFIED,Economy,FOWRT,6950,PAID,Y,PENDING,N
BKG-1045,ASY314,PAX-1045,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-29,CONFIRMED,Business,BOWRT,3234,PAID,Y,WAITLIST,N
BKG-1046,ZRK870,PAX-1046,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-02,CONFIRMED,Economy,FOWRT,6385,PAID,Y,WAITLIST,N
BKG-1047,BBS123,PAX-1047,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-11,MODIFIED,Business,FOWRT,738,PAID,Y,PENDING,N
BKG-1048,ZIK501,PAX-1048,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-28,CONFIRMED,First,FOWRT,7152,PAID,Y,CONFIRMED,N
BKG-1049,ZNM801,PAX-1049,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-31,CONFIRMED,Business,YOWUS,1518,PAID,Y,CONFIRMED,N
BKG-1050,UGV702,PAX-1050,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-26,CONFIRMED,Economy,FOWRT,6352,PAID,Y,CONFIRMED,N
BKG-1051,DQQ484,PAX-1051,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-19,CONFIRMED,Economy,BOWRT,744,PAID,Y,WAITLIST,N
BKG-1052,QVA978,PAX-1052,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-07,MODIFIED,Business,FOWRT,5526,PAID,Y,PENDING,N
BKG-1053,DBJ848,PAX-1053,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-05,CONFIRMED,First,JOWRT,2873,PAID,Y,CONFIRMED,N
BKG-1054,PSH807,PAX-1054,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-28,CONFIRMED,Economy,BOWRT,5333,PAID,Y,CONFIRMED,N
BKG-1055,NKS184,PAX-1055,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-22,CONFIRMED,First,FOWRT,7303,PAID,Y,CONFIRMED,N
BKG-1056,JTW850,PAX-1056,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-14,MODIFIED,First,JOWRT,1616,PAID,Y,PENDING,N
BKG-1057,WOX858,PAX-1057,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-30,CONFIRMED,Business,FOWRT,5270,PAID,Y,,N
BKG-1058,UTO915,PAX-1058,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-09,CONFIRMED,Business,YOWUS,4657,PAID,Y,,N
BKG-1059,HWY502,PAX-1059,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-27,CONFIRMED,First,BOWRT,2121,PAID,Y,WAITLIST,N
BKG-1060,ICG464,PAX-1060,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-03,CONFIRMED,Economy,JOWRT,1732,PAID,Y,,N
BKG-1061,VIB572,PAX-1061,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-07,CONFIRMED,Economy,FOWRT,473,PAID,Y,,N
BKG-1062,OMX614,PAX-1062,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-31,CONFIRMED,Economy,BOWRT,4650,PAID,Y,WAITLIST,N
BKG-1063,ASY677,PAX-1063,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-17,CONFIRMED,Business,FOWRT,3659,PAID,Y,,N
BKG-1064,PII261,PAX-1064,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-24,CONFIRMED,Economy,BOWRT,6152,PAID,Y,WAITLIST,N
BKG-1065,JIQ190,PAX-1065,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-24,CONFIRMED,Business,JOWRT,6425,PAID,Y,WAITLIST,N
BKG-1066,AAG207,PAX-1066,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-30,CONFIRMED,Economy,YOWUS,7937,PAID,Y,,N
BKG-1067,PFA274,PAX-1067,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-28,MODIFIED,Business,FOWRT,7238,PAID,Y,PENDING,N
BKG-1068,OGH504,PAX-1068,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-28,CONFIRMED,Economy,BOWRT,1180,PAID,Y,CONFIRMED,N
BKG-1069,DOP202,PAX-1069,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-24,CONFIRMED,Business,YOWUS,4442,PAID,Y,CONFIRMED,N
BKG-1070,HKQ292,PAX-1070,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-10,MODIFIED,Business,BOWRT,1248,PAID,Y,PENDING,N
BKG-1071,EWP458,PAX-1071,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-27,CONFIRMED,Business,YOWUS,846,PAID,Y,CONFIRMED,N
BKG-1072,SHX972,PAX-1072,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-18,CONFIRMED,Business,FOWRT,7222,PAID,Y,,N
BKG-1073,PRR838,PAX-1073,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-30,CONFIRMED,First,JOWRT,6123,PAID,Y,,N
BKG-1074,YXR327,PAX-1074,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-02,CONFIRMED,Business,BOWRT,1408,PAID,Y,,N
BKG-1075,BLF892,PAX-1075,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-03,CONFIRMED,Business,FOWRT,5793,PAID,Y,CONFIRMED,N
BKG-1076,NLR237,PAX-1076,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-08,CONFIRMED,First,BOWRT,6273,PAID,Y,CONFIRMED,N
BKG-1077,SQH777,PAX-1077,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-25,CONFIRMED,First,YOWUS,6557,PAID,Y,CONFIRMED,N
BKG-1078,VRD192,PAX-1078,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-25,CONFIRMED,First,FOWRT,7069,PAID,Y,,N
BKG-1079,VRM531,PAX-1079,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-26,MODIFIED,Economy,BOWRT,6781,PAID,Y,PENDING,N
BKG-1080,NRQ543,PAX-1080,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-12,CONFIRMED,Economy,YOWUS,4171,PAID,Y,WAITLIST,N
BKG-1081,CKO100,PAX-1081,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-06,MODIFIED,Business,JOWRT,6064,PAID,Y,PENDING,N
BKG-1082,KGF223,PAX-1082,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-13,CONFIRMED,First,YOWUS,7497,PAID,Y,,N
BKG-1083,ZZL236,PAX-1083,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-09,MODIFIED,Business,YOWUS,7761,PAID,Y,PENDING,N
BKG-1084,KAC490,PAX-1084,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-22,CONFIRMED,Economy,FOWRT,1758,PAID,Y,,N
BKG-1085,WWL330,PAX-1085,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-02,CONFIRMED,Business,FOWRT,511,PAID,Y,WAITLIST,N
BKG-1086,FEB617,PAX-1086,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-07,CONFIRMED,Economy,YOWUS,7474,PAID,Y,WAITLIST,N
BKG-1087,JUL144,PAX-1087,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-25,CONFIRMED,Economy,YOWUS,5741,PAID,Y,,N
BKG-1088,IKD106,PAX-1088,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-15,MODIFIED,Business,FOWRT,349,PAID,Y,PENDING,N
BKG-1089,FTS316,PAX-1089,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-25,CONFIRMED,Economy,JOWRT,4029,PAID,Y,WAITLIST,N
BKG-1090,EIU829,PAX-1090,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-10,CONFIRMED,Business,JOWRT,3097,PAID,Y,WAITLIST,N
BKG-1091,MUJ328,PAX-1091,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-25,CONFIRMED,Economy,JOWRT,361,PAID,Y,WAITLIST,N
BKG-1092,ZIS633,PAX-1092,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-14,CONFIRMED,First,JOWRT,1730,PAID,Y,WAITLIST,N
BKG-1093,DFV837,PAX-1093,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-29,CONFIRMED,First,YOWUS,7287,PAID,Y,,N
BKG-1094,RGS450,PAX-1094,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-11,MODIFIED,Economy,FOWRT,6945,PAID,Y,PENDING,N
BKG-1095,PTT813,PAX-1095,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-25,CONFIRMED,Economy,BOWRT,270,PAID,Y,CONFIRMED,N
BKG-1096,KUM479,PAX-1096,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-21,CONFIRMED,Economy,JOWRT,2419,PAID,Y,,N
BKG-1097,NSP892,PAX-1097,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-05,CONFIRMED,Economy,BOWRT,863,PAID,Y,CONFIRMED,N
BKG-1098,KCB401,PAX-1098,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-05,CONFIRMED,Business,YOWUS,1793,PAID,Y,CONFIRMED,N
BKG-1099,GCR940,PAX-1099,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-01,CONFIRMED,Business,JOWRT,4683,PAID,Y,,N
BKG-1100,ZXH327,PAX-1100,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-23,MODIFIED,Economy,YOWUS,7938,PAID,Y,PENDING,N
BKG-1101,RVS923,PAX-1101,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-18,MODIFIED,Business,FOWRT,6203,PAID,Y,PENDING,N
BKG-1102,IKJ795,PAX-1102,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-06,CONFIRMED,Business,FOWRT,680,PAID,Y,,N
BKG-1103,PKX899,PAX-1103,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-29,CONFIRMED,First,JOWRT,542,PAID,Y,,N
BKG-1104,RWI587,PAX-1104,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-05,CONFIRMED,Business,BOWRT,6520,PAID,Y,WAITLIST,N
BKG-1105,JKO504,PAX-1105,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-03,CONFIRMED,Economy,JOWRT,3061,PAID,Y,CONFIRMED,N
BKG-1106,AFK904,PAX-1106,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-10-27,CONFIRMED,Economy,YOWUS,5828,PAID,Y,CONFIRMED,N
BKG-1107,YNG753,PAX-1107,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2026-01-07,CONFIRMED,First,BOWRT,4315,PAID,Y,WAITLIST,N
BKG-1108,UTU549,PAX-1108,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-30,CONFIRMED,Economy,JOWRT,573,PAID,Y,WAITLIST,N
BKG-1109,WQJ735,PAX-1109,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2026-01-03,CONFIRMED,First,FOWRT,506,PAID,Y,,N
BKG-1110,UBO525,PAX-1110,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-18,CONFIRMED,Economy,BOWRT,5999,PAID,Y,CONFIRMED,N
BKG-1111,OZV522,PAX-1111,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-10-21,CONFIRMED,First,JOWRT,6392,PAID,Y,WAITLIST,N
BKG-1112,GGH684,PAX-1112,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-28,MODIFIED,Economy,BOWRT,6164,PAID,Y,PENDING,N
BKG-1113,BTK556,PAX-1113,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-23,CONFIRMED,Economy,JOWRT,3452,PAID,Y,WAITLIST,N
BKG-1114,JIP124,PAX-1114,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-16,CONFIRMED,First,YOWUS,5120,PAID,Y,WAITLIST,N
BKG-1115,SAP779,PAX-1115,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-22,MODIFIED,First,JOWRT,1617,PAID,Y,PENDING,N
BKG-1116,JJQ341,PAX-1116,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-23,CONFIRMED,Business,YOWUS,7145,PAID,Y,WAITLIST,N
BKG-1117,BNS288,PAX-1117,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-04,CONFIRMED,First,BOWRT,7746,PAID,Y,CONFIRMED,N
BKG-1118,FKZ376,PAX-1118,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-07,CONFIRMED,Economy,FOWRT,6916,PAID,Y,CONFIRMED,N
BKG-1119,UHE401,PAX-1119,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-14,CONFIRMED,Economy,BOWRT,2896,PAID,Y,WAITLIST,N
BKG-1120,JJT443,PAX-1120,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-15,CONFIRMED,First,BOWRT,3550,PAID,Y,WAITLIST,N
BKG-1121,EBJ248,PAX-1121,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2026-01-09,CONFIRMED,Business,FOWRT,2790,PAID,Y,WAITLIST,N
BKG-1122,HPI638,PAX-1122,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-19,CONFIRMED,Economy,BOWRT,3074,PAID,Y,WAITLIST,N
BKG-1123,KOY952,PAX-1123,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-16,CONFIRMED,Business,JOWRT,7246,PAID,Y,WAITLIST,N
BKG-1124,WTS422,PAX-1124,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-17,CONFIRMED,First,JOWRT,7334,PAID,Y,CONFIRMED,N
BKG-1125,WDI145,PAX-1125,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2026-01-04,CONFIRMED,First,JOWRT,3379,PAID,Y,CONFIRMED,N
BKG-1126,PIL233,PAX-1126,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2026-01-07,CONFIRMED,First,JOWRT,1344,PAID,Y,CONFIRMED,N
BKG-1127,JLE886,PAX-1127,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-10-27,MODIFIED,Business,YOWUS,778,PAID,Y,PENDING,N
BKG-1128,ICL415,PAX-1128,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-13,CONFIRMED,Economy,BOWRT,818,PAID,Y,WAITLIST,N
BKG-1129,JOB820,PAX-1129,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-01,CONFIRMED,Economy,YOWUS,6103,PAID,Y,CONFIRMED,N
BKG-1130,XSY738,PAX-1130,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-29,MODIFIED,Economy,BOWRT,3692,PAID,Y,PENDING,N
BKG-1131,CMT784,PAX-1131,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-11-06,CONFIRMED,Business,JOWRT,2155,PAID,Y,,N
BKG-1132,BUG730,PAX-1132,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-26,MODIFIED,Business,BOWRT,2842,PAID,Y,PENDING,N
BKG-1133,BGV153,PAX-1133,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,2025-12-04,CONFIRMED,Economy,JOWRT,7087,PAID,Y,,N
