baggage_id,passenger_id,flight_id,flight_number,pnr,bag_tag,bag_type,weight_kg,status,check_in_time_utc,loaded_time_utc,container_id,destination,final_destination,is_connecting,connecting_flight,transfer_status,priority,special_handling,is_rush,notes
BAG-10027,PAX-10034,FLT-1032,EY32,QRSTUV,EY123482,CHECKED,22,CHECKED_IN,2026-01-30 08:45:00,,AKE-4010,AUH,AUH,False,,,PRIORITY,,False,Gold member
BAG-10028,PAX-10041,FLT-1043,EY103,GHIJKL,EY123483,CHECKED,25,LOADED,2026-01-30 01:30:00,2026-01-30 02:45:00,AKE-5001,JFK,JFK,False,,,PRIORITY,,False,Gold member
BAG-10029,PAX-10041,FLT-1043,EY103,GHIJKL,EY123484,CHECKED,23,LOADED,2026-01-30 01:30:00,2026-01-30 02:45:00,AKE-5001,JFK,JFK,False,,,PRIORITY,,False,Gold member
BAG-10030,PAX-10042,FLT-1043,EY103,MNOPQR,EY123485,CHECKED,20,LOADED,2026-01-30 01:00:00,2026-01-30 02:30:00,AKE-5002,JFK,JFK,False,,,PRIORITY,FRAGILE,False,First class VIP
BAG-10031,PAX-10042,FLT-1043,EY103,MNOPQR,EY123486,CHECKED,18,LOADED,2026-01-30 01:00:00,2026-01-30 02:30:00,AKE-5002,JFK,JFK,False,,,PRIORITY,,False,First class VIP
BAG-10032,PAX-10043,FLT-1044,EY104,STUVWX,EY123487,CHECKED,24,CHECKED_IN,2026-01-30 19:00:00,,AKE-5010,AUH,SYD,True,EY450,PENDING,STANDARD,,False,Connecting to Sydney
BAG-10033,PAX-10047,FLT-1055,EY450,QRSTUV,EY123488,CHECKED,22,LOADED,2026-01-30 19:30:00,2026-01-30 20:45:00,AKE-6001,SYD,SYD,False,,,PRIORITY,,False,Gold member
BAG-10034,PAX-10048,FLT-1055,EY450,WXYZAB,EY123489,CHECKED,21,LOADED,2026-01-30 19:45:00,2026-01-30 20:50:00,AKE-6001,SYD,SYD,False,,,STANDARD,,False,
BAG-10035,PAX-10049,FLT-1063,EY81,CDEFGH,EY123490,CHECKED,25,LOADED,2026-01-30 00:45:00,2026-01-30 02:00:00,AKE-7001,FCO,FCO,False,,,PRIORITY,FRAGILE,False,First class
BAG-10036,PAX-10050,FLT-1063,EY81,IJKLMN,EY123491,CHECKED,23,LOADED,2026-01-30 01:00:00,2026-01-30 02:05:00,AKE-7001,FCO,FCO,False,,,PRIORITY,,False,Silver member
BAG-10037,PAX-10066,FLT-1084,EY117,ABCDEF,EY123492,CHECKED,20,BOOKED,,,AKE-8001,AUH,AUH,False,,,PRIORITY,,False,Gold member
BAG-10038,PAX-10067,FLT-1084,EY117,GHIJKL,EY123493,CHECKED,22,BOOKED,,,AKE-8001,AUH,DEL,True,EY211,NOT_STARTED,STANDARD,,False,Connecting to Delhi
BAG-10039,PAX-10069,FLT-1086,EY5293,STUVWX,EY123494,CHECKED,21,LOADED,2026-01-30 08:30:00,2026-01-30 09:45:00,AKE-8010,BKK,BKK,False,,,PRIORITY,,False,Silver member
BAG-10040,PAX-10070,FLT-1086,EY5293,YZABCD,EY123495,CHECKED,19,LOADED,2026-01-30 08:45:00,2026-01-30 09:50:00,AKE-8010,BKK,BKK,False,,,STANDARD,,False,

BAG-10041,PAX-10072,FLT-1005,EY401,KLMNOP,EY123496,CHECKED,23,LOADED,2026-01-30 00:40:00,2026-01-30 01:55:00,AKE-1001,BKK,BKK,False,,,STANDARD,DEAF_PAX,False,Special assistance
BAG-10042,PAX-10073,FLT-1005,EY401,QRSTUV,EY123497,CHECKED,24,LOADED,2026-01-30 00:35:00,2026-01-30 01:52:00,AKE-1002,BKK,BKK,False,,,PRIORITY,,False,Gold member
BAG-10043,PAX-10074,FLT-1011,EY11,WXYZAB,EY123498,CHECKED,20,LOADED,2026-01-30 00:50:00,2026-01-30 01:40:00,AKE-2001,LHR,LHR,False,,,STANDARD,,False,
BAG-10044,PAX-10075,FLT-1011,EY11,CDEFGH,EY123499,CHECKED,25,LOADED,2026-01-29 22:30:00,2026-01-30 01:25:00,AKE-2002,LHR,LHR,False,,,PRIORITY,FRAGILE,False,First class VIP
BAG-10045,PAX-10075,FLT-1011,EY11,CDEFGH,EY123500,CHECKED,22,LOADED,2026-01-29 22:30:00,2026-01-30 01:25:00,AKE-2002,LHR,LHR,False,,,PRIORITY,,False,First class VIP
BAG-10046,PAX-10076,FLT-1015,EY19,IJKLMN,EY123501,CHECKED,21,LOADED,2026-01-30 06:40:00,2026-01-30 07:58:00,AKE-2020,LHR,LHR,False,,,PRIORITY,,False,Silver member
BAG-10047,PAX-10077,FLT-1015,EY19,OPQRST,EY123502,CHECKED,19,LOADED,2026-01-30 06:55:00,2026-01-30 08:02:00,AKE-2020,LHR,LHR,False,,,STANDARD,,False,
BAG-10048,PAX-10079,FLT-1023,EY472,ABCDEF,EY123503,CHECKED,23,LOADED,2026-01-30 01:10:00,2026-01-30 02:18:00,AKE-3001,SIN,SIN,False,,,PRIORITY,,False,Gold member
BAG-10049,PAX-10080,FLT-1023,EY472,GHIJKL,EY123504,CHECKED,15,LOADED,2026-01-30 01:20:00,2026-01-30 02:22:00,AKE-3001,SIN,SIN,False,,,STANDARD,UMNR,False,Unaccompanied minor
BAG-10050,PAX-10082,FLT-1031,EY31,STUVWX,EY123505,CHECKED,22,LOADED,2026-01-30 00:10:00,2026-01-30 01:18:00,AKE-4001,CDG,CDG,False,,,PRIORITY,,False,Silver member
BAG-10051,PAX-10085,FLT-1043,EY103,KLMNOP,EY123506,CHECKED,24,LOADED,2026-01-30 01:20:00,2026-01-30 02:40:00,AKE-5001,JFK,JFK,False,,,PRIORITY,,False,Gold member
BAG-10052,PAX-10085,FLT-1043,EY103,KLMNOP,EY123507,CHECKED,21,LOADED,2026-01-30 01:20:00,2026-01-30 02:40:00,AKE-5001,JFK,JFK,False,,,PRIORITY,,False,Gold member
BAG-10053,PAX-10087,FLT-1055,EY450,WXYZAB,EY123508,CHECKED,20,LOADED,2026-01-30 19:40:00,2026-01-30 20:48:00,AKE-6001,SYD,SYD,False,,,STANDARD,,False,
BAG-10054,PAX-10088,FLT-1063,EY81,CDEFGH,EY123509,CHECKED,23,LOADED,2026-01-30 00:55:00,2026-01-30 02:03:00,AKE-7001,FCO,FCO,False,,,PRIORITY,,False,Silver member
BAG-10055,PAX-10091,FLT-1084,EY117,UVWXYZ,EY123510,CHECKED,22,BOOKED,,,AKE-8001,AUH,AUH,False,,,PRIORITY,,False,Gold member
BAG-10056,PAX-10092,FLT-1086,EY5293,ABCDEF,EY123511,CHECKED,20,LOADED,2026-01-30 08:40:00,2026-01-30 09:48:00,AKE-8010,BKK,BKK,False,,,STANDARD,,False,
BAG-10057,PAX-10093,FLT-1005,EY401,GHIJKL,EY123512,CHECKED,18,LOADED,2026-01-30 00:55:00,2026-01-30 01:58:00,AKE-1001,BKK,BKK,False,,,STANDARD,BLIND_PAX,False,Special assistance
BAG-10058,PAX-10044,FLT-1049,EY211,YZABCD,EY123513,CHECKED,21,LOADED,2026-01-30 02:00:00,2026-01-30 03:15:00,AKE-9001,DEL,DEL,False,,,STANDARD,,False,
BAG-10059,PAX-10045,FLT-1049,EY211,EFGHIJ,EY123514,CHECKED,24,LOADED,2026-01-30 02:10:00,2026-01-30 03:18:00,AKE-9001,DEL,DEL,False,,,PRIORITY,,False,Silver member
BAG-10060,PAX-10059,FLT-1075,EY215,KLMNOP,EY123515,CHECKED,22,LOADED,2026-01-30 06:30:00,2026-01-30 07:45:00,AKE-9010,DEL,DEL,False,,,PRIORITY,,False,Gold member
BAG-10061,PAX-10060,FLT-1075,EY215,QRSTUV,EY123516,CHECKED,19,LOADED,2026-01-30 06:45:00,2026-01-30 07:48:00,AKE-9010,DEL,DEL,False,,,STANDARD,,False,
BAG-10062,PAX-10055,FLT-1069,EY371,MNOPQR,EY123517,CHECKED,12,LOADED,2026-01-30 04:00:00,2026-01-30 05:15:00,AKE-10001,DOH,DOH,False,,,STANDARD,,False,Short haul
BAG-10063,PAX-10056,FLT-1069,EY371,STUVWX,EY123518,CHECKED,15,LOADED,2026-01-30 04:10:00,2026-01-30 05:18:00,AKE-10001,DOH,DOH,False,,,PRIORITY,,False,Silver member
BAG-10064,PAX-10062,FLT-1078,EY381,CDEFGH,EY123519,CHECKED,10,LOADED,2026-01-30 05:00:00,2026-01-30 06:15:00,AKE-10010,MCT,MCT,False,,,STANDARD,,False,Short haul
BAG-10065,PAX-10063,FLT-1078,EY381,IJKLMN,EY123520,CHECKED,14,LOADED,2026-01-30 05:10:00,2026-01-30 06:18:00,AKE-10010,MCT,MCT,False,,,PRIORITY,,False,Silver member
