flight_id,flight_number,aircraft_registration,aircraft_type,origin,destination,scheduled_departure_utc,scheduled_arrival_utc,flight_status,gate,terminal,aircraft_capacity,cargo_capacity_kg,crew_required,rotation_sequence,prev_flight_in_rotation,next_flight_in_rotation,turnaround_minutes
FLT-1049,EY211,A6-ANB,A321neo,AUH,DEL,30-01-26 4:00,30-01-26 9:30,SCHEDULED,B2,2,190,5000,6,1,,FLT-1050,90
FLT-1050,EY212,A6-ANB,A321neo,DEL,AUH,30-01-26 11:30,30-01-26 14:00,SCHEDULED,C5,1,190,5000,6,2,FLT-1049,FLT-1051,120
FLT-1051,EY213,A6-ANB,A321neo,AUH,DEL,30-01-26 16:00,30-01-26 21:30,SCHEDULED,B4,2,190,5000,6,3,FLT-1050,FLT-1052,90
FLT-1052,EY214,A6-ANB,A321neo,DEL,AUH,30-01-26 23:30,31-01-26 2:00,SCHEDULED,A18,3,190,5000,6,4,FLT-1051,,120
FLT-1053,EY450,A6-APD,A380-800,AUH,SYD,29-01-26 21:30,30-01-26 19:00,SCHEDULED,D10,1,496,25000,18,1,,FLT-1054,90
FLT-1054,EY451,A6-APD,A380-800,SYD,AUH,30-01-26 22:00,31-01-26 5:30,SCHEDULED,B28,2,496,25000,18,2,FLT-1053,,120
FLT-1055,EY450,A6-APD,A380-800,AUH,SYD,30-01-26 21:30,31-01-26 19:00,SCHEDULED,D10,1,496,25000,18,1,,FLT-1056,90
FLT-1056,EY451,A6-APD,A380-800,SYD,AUH,31-01-26 22:00,01-02-26 5:30,SCHEDULED,B28,2,496,25000,18,2,FLT-1055,,120
FLT-1057,EY651,A6-BLG,B787-10,AUH,CAI,29-01-26 5:30,29-01-26 10:00,SCHEDULED,C15,2,336,18000,12,1,,FLT-1058,90
FLT-1058,EY652,A6-BLG,B787-10,CAI,AUH,29-01-26 12:30,29-01-26 19:00,SCHEDULED,A10,1,336,18000,12,2,FLT-1057,,120
FLT-1059,EY651,A6-BLG,B787-10,AUH,CAI,30-01-26 5:30,30-01-26 10:00,SCHEDULED,C15,2,336,18000,12,1,,FLT-1060,90
FLT-1060,EY652,A6-BLG,B787-10,CAI,AUH,30-01-26 12:30,30-01-26 19:00,SCHEDULED,A10,1,336,18000,12,2,FLT-1059,,120
FLT-1061,EY81,A6-EYC,A350-1000,AUH,FCO,29-01-26 2:45,29-01-26 8:45,SCHEDULED,A3,1,371,20000,14,1,,FLT-1062,90
FLT-1062,EY82,A6-EYC,A350-1000,FCO,AUH,29-01-26 11:00,29-01-26 19:00,SCHEDULED,D7,3,371,20000,14,2,FLT-1061,,120
FLT-1063,EY81,A6-EYC,A350-1000,AUH,FCO,30-01-26 2:45,30-01-26 8:45,SCHEDULED,A3,1,371,20000,14,1,,FLT-1064,90
FLT-1064,EY82,A6-EYC,A350-1000,FCO,AUH,30-01-26 11:00,30-01-26 19:00,SCHEDULED,D7,3,371,20000,14,2,FLT-1063,,120
FLT-1065,EY83,A6-EYD,A350-1000,AUH,FCO,29-01-26 14:00,29-01-26 20:00,SCHEDULED,A7,1,371,20000,14,1,,FLT-1066,90
FLT-1066,EY84,A6-EYD,A350-1000,FCO,AUH,29-01-26 22:30,30-01-26 6:30,SCHEDULED,B12,2,371,20000,14,2,FLT-1065,,120
FLT-1067,EY83,A6-EYD,A350-1000,AUH,FCO,30-01-26 14:00,30-01-26 20:00,SCHEDULED,A7,1,371,20000,14,1,,FLT-1068,90
FLT-1068,EY84,A6-EYD,A350-1000,FCO,AUH,30-01-26 22:30,31-01-26 6:30,SCHEDULED,B12,2,371,20000,14,2,FLT-1067,,120
FLT-1069,EY371,A6-ANA,A321neo,AUH,DOH,30-01-26 6:00,30-01-26 7:00,SCHEDULED,B1,2,190,5000,6,1,,FLT-1070,90
FLT-1070,EY372,A6-ANA,A321neo,DOH,AUH,30-01-26 8:30,30-01-26 9:30,SCHEDULED,C2,1,190,5000,6,2,FLT-1069,FLT-1071,120
FLT-1071,EY373,A6-ANA,A321neo,AUH,DOH,30-01-26 12:00,30-01-26 13:00,SCHEDULED,B3,2,190,5000,6,3,FLT-1070,FLT-1072,90
FLT-1072,EY374,A6-ANA,A321neo,DOH,AUH,30-01-26 15:00,30-01-26 16:00,SCHEDULED,C4,1,190,5000,6,4,FLT-1071,FLT-1073,120
FLT-1073,EY375,A6-ANA,A321neo,AUH,DOH,30-01-26 19:00,30-01-26 20:00,SCHEDULED,B5,2,190,5000,6,5,FLT-1072,FLT-1074,90
FLT-1074,EY376,A6-ANA,A321neo,DOH,AUH,30-01-26 22:00,30-01-26 23:00,SCHEDULED,C6,1,190,5000,6,6,FLT-1073,,120
FLT-1075,EY215,A6-ANC,A321neo,AUH,DEL,30-01-26 8:30,30-01-26 14:00,SCHEDULED,B6,2,190,5000,6,1,,FLT-1076,90
FLT-1076,EY216,A6-ANC,A321neo,DEL,AUH,30-01-26 16:00,30-01-26 18:30,SCHEDULED,C7,1,190,5000,6,2,FLT-1075,FLT-1077,120
FLT-1077,EY217,A6-ANC,A321neo,AUH,DEL,30-01-26 21:00,31-01-26 2:30,SCHEDULED,B8,2,190,5000,6,3,FLT-1076,,90
FLT-1078,EY381,A6-AND,A321neo,AUH,MCT,30-01-26 7:00,30-01-26 7:45,SCHEDULED,A1,1,190,5000,6,1,,FLT-1079,90
FLT-1079,EY382,A6-AND,A321neo,MCT,AUH,30-01-26 9:00,30-01-26 9:45,SCHEDULED,B9,2,190,5000,6,2,FLT-1078,FLT-1080,120
FLT-1080,EY383,A6-AND,A321neo,AUH,MCT,30-01-26 13:00,30-01-26 13:45,SCHEDULED,A2,1,190,5000,6,3,FLT-1079,FLT-1081,90
FLT-1081,EY384,A6-AND,A321neo,MCT,AUH,30-01-26 15:00,30-01-26 15:45,SCHEDULED,B10,2,190,5000,6,4,FLT-1080,FLT-1082,120
FLT-1082,EY385,A6-AND,A321neo,AUH,MCT,30-01-26 19:00,30-01-26 19:45,SCHEDULED,A4,1,190,5000,6,5,FLT-1081,FLT-1083,90
FLT-1083,EY386,A6-AND,A321neo,MCT,AUH,30-01-26 21:00,30-01-26 21:45,SCHEDULED,B11,2,190,5000,6,6,FLT-1082,,120
FLT-1084,EY117,A6-BLD,B787-9,BKK,AUH,30-01-26 8:00,30-01-26 11:30,SCHEDULED,D15,3,299,15000,10,1,,FLT-1085,90
FLT-1085,EY118,A6-BLD,B787-9,AUH,BKK,30-01-26 14:00,30-01-26 21:30,SCHEDULED,C20,2,299,15000,10,2,FLT-1084,,120
FLT-1086,EY5293,A6-BLH,B787-10,AUH,BKK,30-01-26 10:30,30-01-26 18:00,SCHEDULED,C22,2,336,18000,12,1,,FLT-1087,90
FLT-1087,EY5294,A6-BLH,B787-10,BKK,AUH,30-01-26 19:00,30-01-26 22:30,SCHEDULED,D18,3,336,18000,12,2,FLT-1086,,120
