cost_id,disruption_id,scenario_id,flight_number,cost_category,cost_subcategory,description,quantity,unit_cost_usd,total_cost_usd,total_cost_aed,total_cost_inr,cost_date,status,approved_by,notes
COST-000026,EVT-3,3,EY424,COMPENSATION,REFUND,Refund for EY424,87,375.23,32645.12,119807.59,2725867.49,2026-01-21,PENDING,,Cost incurred due to WEATHER
COST-000027,EVT-3,3,EY472,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY472,11,903.56,9939.19,36476.81,829922.02,2026-01-21,APPROVED,,Cost incurred due to WEATHER
COST-000028,EVT-3,3,EY334,MAINTENANCE,AOG_REPAIR,Aog Repair for EY334,3,17151.26,51453.77,188835.35,4296390.0,2026-01-21,APPROVED,,Cost incurred due to WEATHER
COST-000029,EVT-3,3,EY424,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY424,34,1055.36,35882.14,131687.46,2996158.83,2026-01-21,PENDING,MGR-949,Cost incurred due to WEATHER
COST-000030,EVT-3,3,EY868,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY868,1,16205.61,16205.61,59474.59,1353168.38,2026-01-21,SUBMITTED,MGR-174,Cost incurred due to WEATHER
COST-000031,EVT-4,4,EY1677,REBOOKING,UPGRADE_COST,Upgrade Cost for EY1677,21,978.2,20542.24,75390.01,1715276.82,2026-01-22,REJECTED,MGR-965,Cost incurred due to WEATHER
COST-000032,EVT-4,4,EY335,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY335,5,29778.09,148890.46,546427.99,12432353.37,2026-01-22,REJECTED,,Cost incurred due to WEATHER
COST-000033,EVT-4,4,EY334,PASSENGER_CARE,COMMUNICATION,Communication for EY334,193,125.85,24288.85,89140.07,2028118.83,2026-01-22,REJECTED,MGR-482,Cost incurred due to WEATHER
COST-000034,EVT-4,4,EY462,MAINTENANCE,AOG_REPAIR,Aog Repair for EY462,1,42525.86,42525.86,156069.92,3550909.67,2026-01-22,APPROVED,MGR-476,Cost incurred due to WEATHER
COST-000035,EVT-4,4,EY2797,PASSENGER_CARE,HOTEL_ACCOMMODATION,Hotel Accommodation for EY2797,94,213.82,20098.65,73762.05,1678237.48,2026-01-22,PENDING,MGR-390,Cost incurred due to WEATHER
COST-000036,EVT-4,4,EY1678,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY1678,44,424.62,18683.07,68566.85,1560036.05,2026-01-22,REJECTED,MGR-944,Cost incurred due to WEATHER
COST-000037,EVT-5,5,EY912,PASSENGER_CARE,HOTEL_ACCOMMODATION,Hotel Accommodation for EY912,158,56.87,8985.01,32974.98,750248.29,2026-01-23,APPROVED,MGR-229,Cost incurred due to WEATHER
COST-000038,EVT-5,5,EY8397,MAINTENANCE,AOG_REPAIR,Aog Repair for EY8397,2,36964.0,73928.0,271315.76,6172988.04,2026-01-23,APPROVED,,Cost incurred due to WEATHER
COST-000039,EVT-5,5,EY433,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY433,72,261.2,18806.39,69019.46,1570333.87,2026-01-23,REJECTED,MGR-723,Cost incurred due to WEATHER
COST-000040,EVT-5,5,EY4944,PASSENGER_CARE,HOTEL_ACCOMMODATION,Hotel Accommodation for EY4944,155,250.67,38853.25,142591.42,3244246.22,2026-01-23,SUBMITTED,MGR-293,Cost incurred due to WEATHER
COST-000041,EVT-5,5,EY912,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY912,18,1272.65,22907.63,84070.98,1912786.7,2026-01-23,SUBMITTED,,Cost incurred due to WEATHER
COST-000042,EVT-5,5,EY912,REBOOKING,UPGRADE_COST,Upgrade Cost for EY912,36,384.87,13855.46,50849.53,1156930.61,2026-01-23,SUBMITTED,MGR-765,Cost incurred due to WEATHER
COST-000043,EVT-5,5,EY8397,OPERATIONAL,FUEL_SURCHARGE,Fuel Surcharge for EY8397,14,2973.08,41623.12,152756.83,3475530.17,2026-01-23,APPROVED,,Cost incurred due to WEATHER
COST-000044,EVT-5,5,EY8396,PASSENGER_CARE,COMMUNICATION,Communication for EY8396,165,63.04,10401.16,38172.26,868496.95,2026-01-23,SUBMITTED,,Cost incurred due to WEATHER
COST-000045,EVT-5,5,EY639,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY639,149,173.69,25879.27,94976.91,2160918.8,2026-01-23,SUBMITTED,MGR-471,Cost incurred due to WEATHER
COST-000046,EVT-5,5,EY8184,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY8184,4,9312.9,37251.6,136713.39,3110508.92,2026-01-23,SUBMITTED,,Cost incurred due to WEATHER
COST-000047,EVT-5,5,EY4943,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY4943,44,727.72,32019.53,117511.66,2673630.39,2026-01-23,PENDING,,Cost incurred due to WEATHER
COST-000048,EVT-5,5,EY432,COMPENSATION,REFUND,Refund for EY432,68,437.53,29752.3,109190.93,2484316.76,2026-01-23,SUBMITTED,MGR-137,Cost incurred due to WEATHER
COST-000049,EVT-5,5,EY4944,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY4944,19,1358.56,25812.59,94732.21,2155351.37,2026-01-23,REJECTED,MGR-918,Cost incurred due to WEATHER
COST-000050,EVT-5,5,EY170,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY170,153,185.56,28391.14,104195.48,2370660.08,2026-01-23,SUBMITTED,MGR-703,Cost incurred due to WEATHER
COST-000051,EVT-6,6,EY004,PASSENGER_CARE,HOTEL_ACCOMMODATION,Hotel Accommodation for EY004,42,272.18,11431.39,41953.19,954520.85,2026-01-24,SUBMITTED,,Cost incurred due to TECHNICAL
COST-000052,EVT-6,6,EY912,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY912,29,86.6,2511.42,9216.9,209703.37,2026-01-24,SUBMITTED,,Cost incurred due to TECHNICAL
COST-000053,EVT-6,6,EY7151,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY7151,180,176.99,31857.96,116918.72,2660139.85,2026-01-24,SUBMITTED,,Cost incurred due to TECHNICAL
COST-000054,EVT-6,6,EY7152,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY7152,4,513.28,2053.11,7534.9,171434.44,2026-01-24,SUBMITTED,MGR-925,Cost incurred due to TECHNICAL
COST-000055,EVT-6,6,EY003,REBOOKING,UPGRADE_COST,Upgrade Cost for EY003,13,1141.21,14835.69,54446.98,1238780.13,2026-01-24,REJECTED,MGR-179,Cost incurred due to TECHNICAL
COST-000056,EVT-6,6,EY7151,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY7151,4,24191.06,96764.24,355124.77,8079814.24,2026-01-24,REJECTED,,Cost incurred due to TECHNICAL
COST-000057,EVT-6,6,EY3103,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY3103,54,267.12,14424.33,52937.29,1204431.43,2026-01-24,PENDING,MGR-759,Cost incurred due to TECHNICAL
COST-000058,EVT-6,6,EY3102,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY3102,21,1451.55,30482.59,111871.1,2545296.04,2026-01-24,SUBMITTED,MGR-294,Cost incurred due to TECHNICAL
COST-000059,EVT-6,6,EY912,MAINTENANCE,AOG_REPAIR,Aog Repair for EY912,4,23364.57,93458.29,342991.93,7803767.24,2026-01-24,SUBMITTED,MGR-185,Cost incurred due to TECHNICAL
COST-000060,EVT-6,6,EY3102,OPERATIONAL,FUEL_SURCHARGE,Fuel Surcharge for EY3102,2,4902.31,9804.61,35982.93,818685.18,2026-01-24,REJECTED,MGR-940,Cost incurred due to TECHNICAL
COST-000061,EVT-6,6,EY3102,REBOOKING,UPGRADE_COST,Upgrade Cost for EY3102,31,637.96,19776.82,72580.92,1651364.25,2026-01-24,APPROVED,MGR-155,Cost incurred due to TECHNICAL
COST-000062,EVT-6,6,EY004,REBOOKING,UPGRADE_COST,Upgrade Cost for EY004,48,695.3,33374.5,122484.43,2786771.12,2026-01-24,SUBMITTED,MGR-546,Cost incurred due to TECHNICAL
COST-000063,EVT-6,6,EY3102,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY3102,27,1235.9,33369.41,122465.74,2786345.85,2026-01-24,REJECTED,,Cost incurred due to TECHNICAL
COST-000064,EVT-7,7,EY6622,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY6622,3,14399.78,43199.34,158541.58,3607144.98,2026-01-25,SUBMITTED,MGR-748,Cost incurred due to CREW
COST-000065,EVT-7,7,EY0740,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY0740,19,4936.86,93800.27,344246.98,7832322.34,2026-01-25,PENDING,MGR-629,Cost incurred due to CREW
COST-000066,EVT-7,7,EY1202,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY1202,3,957.04,2871.11,10536.96,239737.49,2026-01-25,PENDING,MGR-420,Cost incurred due to CREW
COST-000067,EVT-7,7,EY0739,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY0739,11,290.77,3198.47,11738.38,267072.09,2026-01-25,PENDING,MGR-731,Cost incurred due to CREW
COST-000068,EVT-7,7,EY433,MAINTENANCE,AOG_REPAIR,Aog Repair for EY433,2,3163.89,6327.77,23222.93,528369.2,2026-01-25,REJECTED,MGR-723,Cost incurred due to CREW
COST-000069,EVT-7,7,EY0739,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY0739,6,2063.62,12381.72,45440.93,1033874.02,2026-01-25,APPROVED,,Cost incurred due to CREW
COST-000070,EVT-7,7,EY8087,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY8087,45,470.09,21154.14,77635.71,1766370.99,2026-01-25,SUBMITTED,MGR-364,Cost incurred due to CREW
COST-000071,EVT-7,7,EY0740,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY0740,11,369.03,4059.34,14897.78,338954.84,2026-01-25,REJECTED,MGR-578,Cost incurred due to CREW
COST-000072,EVT-7,7,EY334,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY334,33,1297.52,42818.23,157142.9,3575322.15,2026-01-25,APPROVED,,Cost incurred due to CREW
COST-000073,EVT-7,7,EY432,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY432,6,819.98,4919.88,18055.94,410809.56,2026-01-25,SUBMITTED,MGR-808,Cost incurred due to CREW
COST-000074,EVT-7,7,EY1202,COMPENSATION,GOODWILL_VOUCHER,Goodwill Voucher for EY1202,99,549.96,54446.13,199817.28,4546251.55,2026-01-25,PENDING,MGR-453,Cost incurred due to CREW
COST-000075,EVT-8,8,EY8184,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY8184,2,32022.22,64044.43,235043.07,5347710.12,2026-01-27,SUBMITTED,MGR-827,Cost incurred due to OPERATIONAL
COST-000076,EVT-8,8,EY0739,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY0739,19,2982.54,56668.32,207972.75,4731805.08,2026-01-27,SUBMITTED,MGR-362,Cost incurred due to OPERATIONAL
COST-000077,EVT-8,8,EY8086,PASSENGER_CARE,HOTEL_ACCOMMODATION,Hotel Accommodation for EY8086,152,65.26,9920.08,36406.7,828326.76,2026-01-27,REJECTED,MGR-217,Cost incurred due to OPERATIONAL
COST-000078,EVT-8,8,EY1202,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY1202,93,499.81,46482.36,170590.26,3881276.95,2026-01-27,APPROVED,MGR-498,Cost incurred due to OPERATIONAL
COST-000079,EVT-8,8,EY5265,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY5265,163,267.24,43560.23,159866.05,3637279.24,2026-01-27,SUBMITTED,,Cost incurred due to OPERATIONAL
COST-000080,EVT-8,8,EY4943,MAINTENANCE,AOG_REPAIR,Aog Repair for EY4943,2,46763.14,93526.28,343241.47,7809444.8,2026-01-27,APPROVED,MGR-922,Cost incurred due to OPERATIONAL
COST-000081,EVT-8,8,EY6622,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY6622,36,1241.86,44706.99,164074.67,3733034.05,2026-01-27,REJECTED,,Cost incurred due to OPERATIONAL
COST-000082,EVT-8,8,EY9626,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY9626,9,566.92,5102.25,18725.25,426037.59,2026-01-27,PENDING,MGR-196,Cost incurred due to OPERATIONAL
COST-000083,EVT-8,8,EY8184,PASSENGER_CARE,COMMUNICATION,Communication for EY8184,21,86.61,1818.71,6674.67,151862.38,2026-01-27,REJECTED,MGR-839,Cost incurred due to OPERATIONAL
COST-000084,EVT-8,8,EY6005,COMPENSATION,MILES_CREDIT,Miles Credit for EY6005,98,340.1,33329.74,122320.15,2783033.41,2026-01-27,REJECTED,MGR-895,Cost incurred due to OPERATIONAL
COST-000085,EVT-8,8,EY912,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY912,5,42597.04,212985.18,781655.61,17784262.55,2026-01-27,APPROVED,MGR-610,Cost incurred due to OPERATIONAL
COST-000086,EVT-8,8,EY8184,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY8184,6,4141.73,24850.37,91200.86,2075006.02,2026-01-27,SUBMITTED,MGR-714,Cost incurred due to OPERATIONAL
COST-000087,EVT-8,8,EY5265,MAINTENANCE,AOG_REPAIR,Aog Repair for EY5265,2,3792.1,7584.2,27834.03,633281.0,2026-01-27,REJECTED,MGR-793,Cost incurred due to OPERATIONAL
COST-000088,EVT-9,9,EY6005,OPERATIONAL,AIRCRAFT_REPOSITIONING,Aircraft Repositioning for EY6005,17,1448.18,24619.05,90351.92,2055690.91,2026-01-28,REJECTED,,Cost incurred due to SECURITY
COST-000089,EVT-9,9,EY335,COMPENSATION,GOODWILL_VOUCHER,Goodwill Voucher for EY335,29,545.59,15822.2,58067.49,1321154.03,2026-01-28,SUBMITTED,MGR-455,Cost incurred due to SECURITY
COST-000090,EVT-9,9,EY8184,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY8184,41,191.33,7844.42,28789.02,655009.11,2026-01-28,REJECTED,MGR-899,Cost incurred due to SECURITY
COST-000091,EVT-9,9,EY170,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY170,1,2397.15,2397.15,8797.56,200162.42,2026-01-28,SUBMITTED,MGR-630,Cost incurred due to SECURITY
COST-000092,EVT-9,9,EY5265,MAINTENANCE,AOG_REPAIR,Aog Repair for EY5265,3,20256.46,60769.39,223023.64,5074243.68,2026-01-28,SUBMITTED,MGR-152,Cost incurred due to SECURITY
COST-000093,EVT-9,9,EY171,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY171,19,3948.69,75025.14,275342.25,6264598.92,2026-01-28,APPROVED,MGR-883,Cost incurred due to SECURITY
COST-000094,EVT-9,9,EY334,REBOOKING,UPGRADE_COST,Upgrade Cost for EY334,40,301.58,12063.19,44271.89,1007275.95,2026-01-28,APPROVED,MGR-699,Cost incurred due to SECURITY
COST-000095,EVT-9,9,EY335,OPERATIONAL,FUEL_SURCHARGE,Fuel Surcharge for EY335,6,2119.07,12714.39,46661.82,1061651.69,2026-01-28,SUBMITTED,MGR-407,Cost incurred due to SECURITY
COST-000096,EVT-9,9,EY912,OPERATIONAL,AIRCRAFT_REPOSITIONING,Aircraft Repositioning for EY912,14,3512.11,49169.57,180452.32,4105659.1,2026-01-28,APPROVED,MGR-192,Cost incurred due to SECURITY
COST-000097,EVT-9,9,EY5265,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY5265,17,700.79,11913.43,43722.3,994771.61,2026-01-28,SUBMITTED,,Cost incurred due to SECURITY
COST-000098,EVT-10,10,EY334,OPERATIONAL,AIRCRAFT_REPOSITIONING,Aircraft Repositioning for EY334,10,1554.38,15543.75,57045.56,1297903.14,2026-01-29,PENDING,MGR-502,Cost incurred due to MEDICAL
COST-000099,EVT-10,10,EY8086,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY8086,7,632.35,4426.43,16244.99,369606.66,2026-01-29,PENDING,,Cost incurred due to MEDICAL
COST-000100,EVT-10,10,EY8086,COMPENSATION,REFUND,Refund for EY8086,97,597.62,57968.95,212746.04,4840407.12,2026-01-29,PENDING,MGR-645,Cost incurred due to MEDICAL
COST-000101,EVT-10,10,EY334,COMPENSATION,GOODWILL_VOUCHER,Goodwill Voucher for EY334,9,543.64,4892.79,17956.53,408547.64,2026-01-29,SUBMITTED,MGR-461,Cost incurred due to MEDICAL
COST-000102,EVT-10,10,EY8086,MAINTENANCE,AOG_REPAIR,Aog Repair for EY8086,2,49207.72,98415.45,361184.69,8217689.9,2026-01-29,SUBMITTED,MGR-879,Cost incurred due to MEDICAL
COST-000103,EVT-10,10,EY8086,MAINTENANCE,AOG_REPAIR,Aog Repair for EY8086,1,40112.8,40112.8,147213.99,3349419.04,2026-01-29,SUBMITTED,MGR-945,Cost incurred due to MEDICAL
COST-000104,EVT-10,10,EY8087,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY8087,3,42091.92,126275.76,463432.04,10544026.0,2026-01-29,REJECTED,MGR-219,Cost incurred due to MEDICAL
COST-000105,EVT-10,10,EY334,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY334,4,15306.82,61227.26,224704.05,5112476.34,2026-01-29,REJECTED,,Cost incurred due to MEDICAL
COST-000106,EVT-10,10,EY8087,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY8087,25,982.16,24554.06,90113.4,2050264.05,2026-01-29,PENDING,MGR-354,Cost incurred due to MEDICAL
COST-000107,EVT-10,10,EY8086,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY8086,4,36292.42,145169.68,532772.72,12121668.14,2026-01-29,PENDING,MGR-259,Cost incurred due to MEDICAL
COST-000108,EVT-10,10,EY8087,COMPENSATION,REFUND,Refund for EY8087,5,247.06,1235.28,4533.49,103146.1,2026-01-29,APPROVED,MGR-761,Cost incurred due to MEDICAL
COST-000109,EVT-10,10,EY334,COMPENSATION,MILES_CREDIT,Miles Credit for EY334,61,295.17,18005.08,66078.66,1503424.56,2026-01-29,PENDING,MGR-291,Cost incurred due to MEDICAL
COST-000110,EVT-10,10,EY334,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY334,3,4239.06,12717.17,46672.0,1061883.37,2026-01-29,PENDING,MGR-775,Cost incurred due to MEDICAL
COST-000111,EVT-10,10,EY8087,PASSENGER_CARE,COMMUNICATION,Communication for EY8087,130,259.73,33765.1,123917.93,2819386.2,2026-01-29,APPROVED,MGR-112,Cost incurred due to MEDICAL
COST-000112,EVT-11,11,EY401,COMPENSATION,REFUND,Refund for EY401,20,507.71,10154.26,37266.12,847880.44,2026-01-31,APPROVED,,Cost incurred due to WEATHER
COST-000113,EVT-11,11,EY406,MAINTENANCE,AOG_REPAIR,Aog Repair for EY406,1,43978.33,43978.33,161400.46,3672190.23,2026-01-31,PENDING,MGR-568,Cost incurred due to WEATHER
COST-000114,EVT-11,11,EY170,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY170,19,392.07,7449.38,27339.23,622023.47,2026-01-31,SUBMITTED,,Cost incurred due to WEATHER
COST-000115,EVT-11,11,EY454,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY454,2,12611.46,25222.92,92568.13,2106114.14,2026-01-31,SUBMITTED,,Cost incurred due to WEATHER
COST-000116,EVT-11,11,EY25,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY25,56,373.64,20923.76,76790.21,1747134.29,2026-01-31,SUBMITTED,,Cost incurred due to WEATHER
COST-000117,EVT-11,11,EY406,OPERATIONAL,CREW_OVERTIME,Crew Overtime for EY406,15,3531.01,52965.08,194381.84,4422584.01,2026-01-31,PENDING,,Cost incurred due to WEATHER
COST-000118,EVT-11,11,EY25,REBOOKING,UPGRADE_COST,Upgrade Cost for EY25,36,922.54,33211.34,121885.61,2773146.65,2026-01-31,PENDING,MGR-452,Cost incurred due to WEATHER
COST-000119,EVT-11,11,EY334,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY334,15,1265.58,18983.66,69670.03,1585135.65,2026-01-31,REJECTED,MGR-800,Cost incurred due to WEATHER
COST-000120,EVT-11,11,EY101,MAINTENANCE,AOG_REPAIR,Aog Repair for EY101,4,46889.58,187558.3,688338.98,15661118.4,2026-01-31,PENDING,MGR-719,Cost incurred due to WEATHER
COST-000121,EVT-11,11,EY454,REBOOKING,HOTEL_REBOOKING,Hotel Rebooking for EY454,40,393.52,15740.61,57768.05,1314341.12,2026-01-31,REJECTED,MGR-108,Cost incurred due to WEATHER
