option_id,original_flight_id,original_flight_number,scenario_id,scenario_name,oal_airline,oal_flight_number,oal_departure,oal_arrival,origin,destination,available_seats_f,available_seats_j,available_seats_y,interline_cost_usd,booking_class,connection_time_min,is_recommended
OAL-FLT-1013-1,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,BA,BA815,2026-01-20T13:27:00Z,2026-01-20T22:27:00Z,AUH,CDG,3,6,88,1065,H,158,Y
OAL-FLT-1013-2,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,EK,LH943,2026-01-20T13:27:00Z,2026-01-21T01:27:00Z,AUH,AUH,2,1,63,1093,Y,173,N
OAL-FLT-1013-3,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,AF,AF614,2026-01-20T19:27:00Z,2026-01-21T01:27:00Z,AUH,LHR,0,2,23,662,B,106,N
OAL-FLT-1013-4,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,AF,BA430,2026-01-20T12:27:00Z,2026-01-20T16:27:00Z,AUH,MCT,1,5,51,625,Q,238,N
OAL-FLT-1013-5,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,LH,QR639,2026-01-20T11:27:00Z,2026-01-21T00:27:00Z,AUH,DOH,3,11,14,684,M,192,N
OAL-FLT-1014-1,FLT-1014,EY19,2,London Fog + Multiple Aircraft AOG,BA,EK893,2026-01-20T18:31:00Z,2026-01-20T22:31:00Z,AUH,AUH,4,7,31,410,Y,115,Y
OAL-FLT-1014-2,FLT-1014,EY19,2,London Fog + Multiple Aircraft AOG,TK,EK992,2026-01-20T18:31:00Z,2026-01-21T08:31:00Z,AUH,SIN,1,4,65,1381,B,83,N
OAL-FLT-1015-1,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,BA,QR211,2026-01-21T00:10:00Z,2026-01-21T05:10:00Z,AUH,LHR,3,0,12,1810,Y,238,Y
OAL-FLT-1015-2,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,TK,QR587,2026-01-20T23:10:00Z,2026-01-21T13:10:00Z,AUH,SIN,0,8,58,1196,Q,102,N
OAL-FLT-1015-3,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,AF,TK248,2026-01-20T15:10:00Z,2026-01-21T02:10:00Z,AUH,DOH,4,12,69,1342,Y,238,N
OAL-FLT-1015-4,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,AF,AF220,2026-01-20T17:10:00Z,2026-01-21T00:10:00Z,AUH,LHR,1,7,85,1306,M,180,N
OAL-FLT-1015-5,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,AF,EK715,2026-01-20T19:10:00Z,2026-01-21T08:10:00Z,AUH,CAI,2,8,85,201,Q,235,N
OAL-FLT-1016-1,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,QR,TK804,2026-01-20T18:38:00Z,2026-01-21T07:38:00Z,LHR,AUH,0,9,76,1707,Y,82,Y
OAL-FLT-1016-2,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,BA,AF998,2026-01-21T00:38:00Z,2026-01-21T05:38:00Z,LHR,CAI,3,1,46,1339,Q,185,N
OAL-FLT-1016-3,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,LH,BA737,2026-01-20T19:38:00Z,2026-01-20T23:38:00Z,LHR,CAI,0,12,19,294,H,100,N
OAL-FLT-1017-1,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,TK,QR767,2026-01-21T06:07:00Z,2026-01-21T20:07:00Z,LHR,DEL,3,9,61,1932,B,194,Y
OAL-FLT-1017-2,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,LH,EK141,2026-01-21T02:07:00Z,2026-01-21T15:07:00Z,LHR,FCO,0,3,33,687,H,117,N
OAL-FLT-1017-3,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,BA,EK924,2026-01-21T05:07:00Z,2026-01-21T12:07:00Z,LHR,FRA,1,5,18,377,B,131,N
OAL-FLT-1017-4,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,QR,QR127,2026-01-20T23:07:00Z,2026-01-21T11:07:00Z,LHR,MCT,4,0,48,617,M,90,N
OAL-FLT-1018-1,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,AF,LH979,2026-01-21T04:21:00Z,2026-01-21T12:21:00Z,LHR,SIN,4,6,82,1269,M,88,Y
OAL-FLT-1018-2,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,QR,LH258,2026-01-21T01:21:00Z,2026-01-21T09:21:00Z,LHR,SYD,2,0,64,786,M,133,N
OAL-FLT-1018-3,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,EK,LH404,2026-01-21T02:21:00Z,2026-01-21T09:21:00Z,LHR,MCT,0,4,18,1148,Q,65,N
OAL-FLT-1018-4,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,SQ,BA978,2026-01-20T23:21:00Z,2026-01-21T12:21:00Z,LHR,SIN,1,5,56,1825,M,182,N
OAL-FLT-1021-1,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,TK,AF488,2026-01-20T20:48:00Z,2026-01-21T08:48:00Z,JFK,CDG,2,8,61,1987,H,208,Y
OAL-FLT-1021-2,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,SQ,QR591,2026-01-20T12:48:00Z,2026-01-20T22:48:00Z,JFK,JFK,2,11,56,631,M,231,N
OAL-FLT-1021-3,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,EK,QR934,2026-01-20T17:48:00Z,2026-01-20T20:48:00Z,JFK,AUH,1,5,34,1256,M,94,N
OAL-FLT-1021-4,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,BA,EK639,2026-01-20T19:48:00Z,2026-01-21T04:48:00Z,JFK,LHR,4,10,100,1666,H,185,N
OAL-FLT-1021-5,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,LH,QR325,2026-01-20T16:48:00Z,2026-01-20T23:48:00Z,JFK,DEL,0,5,47,248,M,149,N
OAL-FLT-1022-1,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,BA,SQ328,2026-01-20T17:31:00Z,2026-01-21T07:31:00Z,SYD,CAI,2,9,21,740,Y,161,Y
OAL-FLT-1022-2,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,SQ,QR814,2026-01-20T21:31:00Z,2026-01-21T08:31:00Z,SYD,JED,3,7,51,966,Y,84,N
OAL-FLT-1022-3,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,AF,AF503,2026-01-20T20:31:00Z,2026-01-21T04:31:00Z,SYD,JFK,2,9,42,1635,M,156,N
OAL-FLT-1022-4,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,SQ,AF528,2026-01-20T19:31:00Z,2026-01-21T06:31:00Z,SYD,AUH,4,2,78,299,Y,179,N
OAL-FLT-1022-5,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,QR,EK193,2026-01-20T13:31:00Z,2026-01-20T17:31:00Z,SYD,MCT,0,11,35,272,B,77,N
OAL-FLT-1023-1,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,BA327,2026-01-21T18:15:00Z,2026-01-22T02:15:00Z,SIN,MCT,3,12,45,270,M,130,Y
OAL-FLT-1023-2,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,AF,EK578,2026-01-21T14:15:00Z,2026-01-21T23:15:00Z,SIN,CAI,1,1,84,1044,B,167,N
OAL-FLT-1023-3,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,TK,AF172,2026-01-21T18:15:00Z,2026-01-22T03:15:00Z,SIN,SIN,3,4,45,1063,B,120,N
OAL-FLT-1024-1,FLT-1024,EY472,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,TK739,2026-01-21T13:14:00Z,2026-01-22T03:14:00Z,AUH,SIN,1,9,63,565,H,163,Y
OAL-FLT-1024-2,FLT-1024,EY472,3,Singapore Thunderstorms + MEL Expiry Cascade,AF,LH850,2026-01-21T14:14:00Z,2026-01-22T01:14:00Z,AUH,SYD,1,11,29,1850,B,65,N
OAL-FLT-1025-1,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,BA,EK785,2026-01-21T16:15:00Z,2026-01-21T20:15:00Z,SIN,SYD,4,11,15,1674,B,89,Y
OAL-FLT-1025-2,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,LH,TK434,2026-01-21T12:15:00Z,2026-01-21T19:15:00Z,SIN,LHR,0,5,96,1885,Y,138,N
OAL-FLT-1025-3,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,QR685,2026-01-21T13:15:00Z,2026-01-22T01:15:00Z,SIN,SIN,4,8,35,1058,B,118,N
OAL-FLT-1025-4,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,AF647,2026-01-21T20:15:00Z,2026-01-22T00:15:00Z,SIN,AUH,4,6,85,1725,Y,135,N
OAL-FLT-1026-1,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,AF,TK200,2026-01-21T17:46:00Z,2026-01-21T20:46:00Z,AUH,JED,2,12,45,1573,B,223,Y
OAL-FLT-1026-2,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,LH,LH315,2026-01-21T22:46:00Z,2026-01-22T05:46:00Z,AUH,LHR,0,4,37,1768,Q,175,N
OAL-FLT-1026-3,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,BA,AF921,2026-01-21T17:46:00Z,2026-01-22T00:46:00Z,AUH,SIN,2,10,68,1448,B,194,N
OAL-FLT-1026-4,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,QR163,2026-01-21T22:46:00Z,2026-01-22T08:46:00Z,AUH,MCT,3,11,31,1010,M,99,N
OAL-FLT-1027-1,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,EK,AF612,2026-01-22T00:51:00Z,2026-01-22T05:51:00Z,SIN,AUH,1,11,53,945,H,176,Y
OAL-FLT-1027-2,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,EK247,2026-01-21T15:51:00Z,2026-01-21T23:51:00Z,SIN,BKK,2,11,49,1164,Y,61,N
OAL-FLT-1027-3,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,EK,TK650,2026-01-21T23:51:00Z,2026-01-22T09:51:00Z,SIN,MCT,2,9,80,1875,H,72,N
OAL-FLT-1027-4,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,TK,QR137,2026-01-21T21:51:00Z,2026-01-22T07:51:00Z,SIN,JFK,4,6,95,878,Q,149,N
OAL-FLT-1028-1,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,QR,TK423,2026-01-21T18:03:00Z,2026-01-22T04:03:00Z,AUH,CAI,2,10,92,393,Y,88,Y
OAL-FLT-1028-2,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,AF,SQ388,2026-01-21T20:03:00Z,2026-01-22T05:03:00Z,AUH,SYD,1,5,87,968,Y,192,N
OAL-FLT-1028-3,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,EK,LH751,2026-01-21T22:03:00Z,2026-01-22T02:03:00Z,AUH,DOH,3,12,10,944,Y,121,N
OAL-FLT-1029-1,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,AF,SQ827,2026-01-22T02:12:00Z,2026-01-22T06:12:00Z,SIN,CDG,2,9,17,1965,B,115,Y
OAL-FLT-1029-2,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,SQ824,2026-01-22T06:12:00Z,2026-01-22T13:12:00Z,SIN,LHR,3,5,98,1559,H,238,N
OAL-FLT-1029-3,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,SQ,SQ252,2026-01-22T03:12:00Z,2026-01-22T09:12:00Z,SIN,SYD,0,9,43,1179,B,91,N
OAL-FLT-1031-1,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,TK,LH892,2026-01-22T18:10:00Z,2026-01-23T00:10:00Z,CDG,MCT,1,5,54,299,Q,132,Y
OAL-FLT-1031-2,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SQ,BA610,2026-01-22T17:10:00Z,2026-01-23T01:10:00Z,CDG,LHR,2,11,85,994,M,222,N
OAL-FLT-1031-3,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LH,TK627,2026-01-22T09:10:00Z,2026-01-22T12:10:00Z,CDG,DEL,1,3,20,1565,M,189,N
OAL-FLT-1031-4,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AF,BA284,2026-01-22T18:10:00Z,2026-01-22T22:10:00Z,CDG,DEL,1,3,94,901,Q,172,N
OAL-FLT-1032-1,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LH,EK367,2026-01-22T20:12:00Z,2026-01-23T01:12:00Z,CDG,JFK,3,7,16,612,B,164,Y
OAL-FLT-1032-2,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,TK114,2026-01-22T18:12:00Z,2026-01-23T01:12:00Z,CDG,BKK,1,10,59,1206,B,172,N
OAL-FLT-1032-3,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,TK,QR142,2026-01-22T10:12:00Z,2026-01-22T15:12:00Z,CDG,SIN,4,11,100,1142,Y,186,N
OAL-FLT-1032-4,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LH,QR634,2026-01-22T16:12:00Z,2026-01-22T22:12:00Z,CDG,CDG,1,3,15,387,B,221,N
OAL-FLT-1032-5,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LH,SQ561,2026-01-22T12:12:00Z,2026-01-22T19:12:00Z,CDG,JFK,1,12,69,1805,Y,186,N
OAL-FLT-1033-1,FLT-1033,EY1677,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,QR,SQ891,2026-01-22T11:34:00Z,2026-01-22T17:34:00Z,CDG,LHR,1,11,65,506,Y,191,Y
OAL-FLT-1033-2,FLT-1033,EY1677,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,QR452,2026-01-22T12:34:00Z,2026-01-22T17:34:00Z,CDG,AUH,3,7,37,1530,M,212,N
OAL-FLT-1034-1,FLT-1034,EY462,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BA,TK942,2026-01-22T20:30:00Z,2026-01-23T07:30:00Z,FRA,MCT,4,11,10,435,Q,71,Y
OAL-FLT-1034-2,FLT-1034,EY462,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BA,BA814,2026-01-22T20:30:00Z,2026-01-23T07:30:00Z,FRA,JED,4,8,97,1012,Y,193,N
OAL-FLT-1035-1,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BA,AF602,2026-01-22T18:05:00Z,2026-01-23T04:05:00Z,AUH,LHR,4,1,66,1052,B,227,Y
OAL-FLT-1035-2,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,QR,SQ894,2026-01-23T01:05:00Z,2026-01-23T06:05:00Z,AUH,DEL,4,2,24,1159,Y,84,N
OAL-FLT-1035-3,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,QR,QR598,2026-01-22T16:05:00Z,2026-01-22T22:05:00Z,AUH,BKK,4,0,65,1547,H,101,N
OAL-FLT-1035-4,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,BA873,2026-01-23T02:05:00Z,2026-01-23T10:05:00Z,AUH,SYD,0,3,61,1060,Q,230,N
OAL-FLT-1035-5,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SQ,QR423,2026-01-22T17:05:00Z,2026-01-23T05:05:00Z,AUH,BKK,3,2,73,1990,Q,182,N
OAL-FLT-1036-1,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,LH969,2026-01-23T02:05:00Z,2026-01-23T12:05:00Z,AUH,JED,2,5,67,800,Y,236,Y
OAL-FLT-1036-2,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BA,EK721,2026-01-23T00:05:00Z,2026-01-23T04:05:00Z,AUH,SYD,2,4,17,1628,Y,235,N
OAL-FLT-1036-3,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SQ,SQ305,2026-01-23T01:05:00Z,2026-01-23T15:05:00Z,AUH,CAI,3,10,12,210,Y,219,N
OAL-FLT-1036-4,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,BA631,2026-01-23T01:05:00Z,2026-01-23T12:05:00Z,AUH,DOH,1,6,41,710,M,179,N
OAL-FLT-1036-5,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SQ,EK803,2026-01-22T18:05:00Z,2026-01-23T03:05:00Z,AUH,DEL,4,3,19,359,B,216,N
OAL-FLT-1037-1,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,QR,EK536,2026-01-22T21:13:00Z,2026-01-23T03:13:00Z,AUH,SYD,0,1,63,1046,Q,186,Y
OAL-FLT-1037-2,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BA,SQ349,2026-01-22T22:13:00Z,2026-01-23T09:13:00Z,AUH,JFK,4,1,58,1888,Y,66,N
OAL-FLT-1037-3,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LH,LH899,2026-01-23T02:13:00Z,2026-01-23T10:13:00Z,AUH,JFK,0,2,74,735,H,156,N
OAL-FLT-1037-4,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,TK,LH271,2026-01-23T04:13:00Z,2026-01-23T13:13:00Z,AUH,CDG,4,1,24,739,Q,171,N
OAL-FLT-1037-5,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SQ,QR617,2026-01-22T19:13:00Z,2026-01-23T06:13:00Z,AUH,JED,0,10,61,363,Q,188,N
OAL-FLT-1038-1,FLT-1038,EY463,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,TK,BA266,2026-01-22T22:08:00Z,2026-01-23T12:08:00Z,AUH,DEL,3,5,53,232,M,106,Y
OAL-FLT-1038-2,FLT-1038,EY463,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,EK,LH593,2026-01-22T23:08:00Z,2026-01-23T06:08:00Z,AUH,FRA,2,3,13,1103,B,192,N
OAL-FLT-1039-1,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LH,EK437,2026-01-23T09:53:00Z,2026-01-23T23:53:00Z,DOH,CDG,0,9,65,1464,Y,126,Y
OAL-FLT-1039-2,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,EK,LH880,2026-01-23T15:53:00Z,2026-01-23T23:53:00Z,DOH,JED,2,0,62,1532,H,130,N
OAL-FLT-1039-3,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,EK,AF812,2026-01-23T14:53:00Z,2026-01-23T22:53:00Z,DOH,SIN,2,11,32,1619,H,91,N
OAL-FLT-1040-1,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,QR,SQ359,2026-01-23T19:19:00Z,2026-01-24T03:19:00Z,DOH,DEL,3,10,36,769,Y,83,Y
OAL-FLT-1040-2,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LH,AF964,2026-01-23T11:19:00Z,2026-01-23T23:19:00Z,DOH,CAI,2,0,83,1011,B,224,N
OAL-FLT-1040-3,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,TK,BA979,2026-01-23T11:19:00Z,2026-01-24T01:19:00Z,DOH,MCT,0,7,90,1071,Y,212,N
OAL-FLT-1040-4,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,AF,TK542,2026-01-23T12:19:00Z,2026-01-23T19:19:00Z,DOH,JFK,3,12,99,1939,H,123,N
OAL-FLT-1041-1,FLT-1041,EY912,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,EK,EK546,2026-01-23T18:18:00Z,2026-01-23T22:18:00Z,AUH,AUH,0,6,33,463,Y,146,Y
OAL-FLT-1041-2,FLT-1041,EY912,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LH,SQ625,2026-01-23T22:18:00Z,2026-01-24T03:18:00Z,AUH,AUH,4,1,84,647,Q,169,N
OAL-FLT-1041-3,FLT-1041,EY912,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,SQ,EK784,2026-01-23T21:18:00Z,2026-01-24T05:18:00Z,AUH,CAI,2,0,19,907,M,233,N
OAL-FLT-1042-1,FLT-1042,EY639,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,AF,EK857,2026-01-23T15:40:00Z,2026-01-24T04:40:00Z,JFK,FCO,2,5,41,313,H,181,Y
OAL-FLT-1042-2,FLT-1042,EY639,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,TK,QR616,2026-01-23T20:40:00Z,2026-01-24T04:40:00Z,JFK,MCT,2,1,56,1041,B,127,N
OAL-FLT-1042-3,FLT-1042,EY639,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LH,LH582,2026-01-23T13:40:00Z,2026-01-24T02:40:00Z,JFK,FRA,3,1,22,1071,M,218,N
OAL-FLT-1043-1,FLT-1043,EY432,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,QR,EK418,2026-01-23T23:05:00Z,2026-01-24T10:05:00Z,AUH,FRA,4,11,14,555,Y,142,Y
OAL-FLT-1043-2,FLT-1043,EY432,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,QR,EK158,2026-01-24T00:05:00Z,2026-01-24T14:05:00Z,AUH,LHR,4,10,14,1548,B,237,N
OAL-FLT-1044-1,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,SQ,BA307,2026-01-23T21:21:00Z,2026-01-24T04:21:00Z,LHR,BKK,2,3,46,1058,Y,166,Y
OAL-FLT-1044-2,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,QR,TK943,2026-01-23T20:21:00Z,2026-01-24T07:21:00Z,LHR,JED,3,4,33,1856,B,144,N
OAL-FLT-1044-3,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,BA,EK787,2026-01-24T01:21:00Z,2026-01-24T13:21:00Z,LHR,SIN,1,5,94,1416,Q,126,N
OAL-FLT-1045-1,FLT-1045,EY1202,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,SQ,AF528,2026-01-24T01:28:00Z,2026-01-24T08:28:00Z,DEL,MCT,3,8,95,1940,Q,126,Y
OAL-FLT-1045-2,FLT-1045,EY1202,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,BA,SQ334,2026-01-24T06:28:00Z,2026-01-24T11:28:00Z,DEL,MCT,1,8,17,878,H,81,N
OAL-FLT-1046-1,FLT-1046,EY170,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,EK,LH554,2026-01-24T07:56:00Z,2026-01-24T21:56:00Z,DEL,SIN,1,7,12,981,H,150,Y
OAL-FLT-1046-2,FLT-1046,EY170,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,TK,AF751,2026-01-24T05:56:00Z,2026-01-24T09:56:00Z,DEL,JED,3,4,94,401,B,182,N
OAL-FLT-1047-1,FLT-1047,EY8397,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LH,AF267,2026-01-24T03:37:00Z,2026-01-24T10:37:00Z,AUH,BKK,3,3,41,650,Y,163,Y
