mct_id,scenario_id,scenario_name,airport_code,airport_name,connection_type,standard_mct_min,premium_mct_min,wheelchair_mct_min,is_same_terminal
MCT-1-SIN-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,INT-DOM,50,34,119,N
MCT-1-SIN-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,INT-INT,86,84,112,N
MCT-1-CDG-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,CDG,Charles de Gaulle,DOM-DOM,91,70,99,Y
MCT-1-CDG-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,CDG,Charles de Gaulle,DOM-INT,50,62,86,Y
MCT-1-CDG-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,CDG,Charles de Gaulle,INT-DOM,99,70,149,Y
MCT-1-CDG-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,CDG,Charles de Gaulle,INT-INT,101,87,78,N
MCT-1-FRA-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,FRA,Frankfurt,DOM-DOM,104,77,117,N
MCT-1-FRA-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,FRA,Frankfurt,DOM-INT,120,44,90,Y
MCT-1-FRA-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,FRA,Frankfurt,INT-DOM,104,40,150,N
MCT-1-FRA-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,FRA,Frankfurt,INT-INT,73,40,125,Y
MCT-1-JFK-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,JFK,John F Kennedy,DOM-DOM,110,86,66,Y
MCT-1-JFK-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,JFK,John F Kennedy,DOM-INT,98,48,131,Y
MCT-1-JFK-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,JFK,John F Kennedy,INT-DOM,111,42,147,N
MCT-1-JFK-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,JFK,John F Kennedy,INT-INT,66,51,100,Y
MCT-1-DEL-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,DEL,Indira Gandhi,DOM-DOM,93,90,78,N
MCT-1-DEL-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,DEL,Indira Gandhi,DOM-INT,97,46,85,N
MCT-1-DEL-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,DEL,Indira Gandhi,INT-DOM,63,41,106,Y
MCT-1-DEL-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,DEL,Indira Gandhi,INT-INT,111,84,120,Y
MCT-1-SYD-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,SYD,Sydney Kingsford Smith,DOM-DOM,115,31,137,Y
MCT-1-SYD-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,SYD,Sydney Kingsford Smith,DOM-INT,118,75,66,Y
MCT-1-SYD-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,SYD,Sydney Kingsford Smith,INT-DOM,64,50,112,Y
MCT-1-SYD-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,SYD,Sydney Kingsford Smith,INT-INT,45,52,75,Y
MCT-1-CAI-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,CAI,Cairo International,DOM-DOM,73,39,76,N
MCT-1-CAI-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,CAI,Cairo International,DOM-INT,51,56,110,N
MCT-1-CAI-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,CAI,Cairo International,INT-DOM,81,55,123,Y
MCT-1-CAI-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,CAI,Cairo International,INT-INT,82,40,112,Y
MCT-1-FCO-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,FCO,Fiumicino,DOM-DOM,47,37,106,N
MCT-1-FCO-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,FCO,Fiumicino,DOM-INT,68,41,107,Y
MCT-1-FCO-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,FCO,Fiumicino,INT-DOM,81,32,150,Y
MCT-1-FCO-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,FCO,Fiumicino,INT-INT,56,43,74,Y
MCT-1-DOH-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,DOH,Hamad International,DOM-DOM,103,64,107,N
MCT-1-DOH-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,DOH,Hamad International,DOM-INT,109,40,84,N
MCT-1-DOH-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,DOH,Hamad International,INT-DOM,66,61,122,N
MCT-1-DOH-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,DOH,Hamad International,INT-INT,116,49,109,N
MCT-1-MCT-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,MCT,Muscat International,DOM-DOM,93,55,136,Y
MCT-1-MCT-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,MCT,Muscat International,DOM-INT,96,62,97,N
MCT-1-MCT-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,MCT,Muscat International,INT-DOM,78,57,74,N
MCT-1-MCT-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,MCT,Muscat International,INT-INT,113,57,79,Y
MCT-1-JED-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,JED,King Abdulaziz,DOM-DOM,116,38,76,N
MCT-1-JED-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,JED,King Abdulaziz,DOM-INT,78,78,133,Y
MCT-1-JED-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,JED,King Abdulaziz,INT-DOM,106,75,106,N
MCT-1-JED-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,JED,King Abdulaziz,INT-INT,81,52,126,N
MCT-2-AUH-DOM-DOM,2,London Fog + Multiple Aircraft AOG,AUH,Abu Dhabi International,DOM-DOM,71,42,93,Y
MCT-2-AUH-DOM-INT,2,London Fog + Multiple Aircraft AOG,AUH,Abu Dhabi International,DOM-INT,65,79,75,N
MCT-2-AUH-INT-DOM,2,London Fog + Multiple Aircraft AOG,AUH,Abu Dhabi International,INT-DOM,70,69,86,Y
MCT-2-AUH-INT-INT,2,London Fog + Multiple Aircraft AOG,AUH,Abu Dhabi International,INT-INT,95,84,108,Y
MCT-2-BKK-DOM-DOM,2,London Fog + Multiple Aircraft AOG,BKK,Suvarnabhumi,DOM-DOM,51,84,131,N
MCT-2-BKK-DOM-INT,2,London Fog + Multiple Aircraft AOG,BKK,Suvarnabhumi,DOM-INT,115,66,124,Y
MCT-2-BKK-INT-DOM,2,London Fog + Multiple Aircraft AOG,BKK,Suvarnabhumi,INT-DOM,116,76,68,Y
MCT-2-BKK-INT-INT,2,London Fog + Multiple Aircraft AOG,BKK,Suvarnabhumi,INT-INT,81,89,71,Y
MCT-2-LHR-DOM-DOM,2,London Fog + Multiple Aircraft AOG,LHR,Heathrow,DOM-DOM,48,73,150,Y
MCT-2-LHR-DOM-INT,2,London Fog + Multiple Aircraft AOG,LHR,Heathrow,DOM-INT,82,57,96,Y
MCT-2-LHR-INT-DOM,2,London Fog + Multiple Aircraft AOG,LHR,Heathrow,INT-DOM,93,76,71,N
MCT-2-LHR-INT-INT,2,London Fog + Multiple Aircraft AOG,LHR,Heathrow,INT-INT,82,78,91,N
MCT-2-SIN-DOM-DOM,2,London Fog + Multiple Aircraft AOG,SIN,Changi,DOM-DOM,46,64,117,N
MCT-2-SIN-DOM-INT,2,London Fog + Multiple Aircraft AOG,SIN,Changi,DOM-INT,98,85,123,N
MCT-2-SIN-INT-DOM,2,London Fog + Multiple Aircraft AOG,SIN,Changi,INT-DOM,114,66,142,N
MCT-2-SIN-INT-INT,2,London Fog + Multiple Aircraft AOG,SIN,Changi,INT-INT,69,58,91,Y
MCT-2-CDG-DOM-DOM,2,London Fog + Multiple Aircraft AOG,CDG,Charles de Gaulle,DOM-DOM,74,47,74,N
MCT-2-CDG-DOM-INT,2,London Fog + Multiple Aircraft AOG,CDG,Charles de Gaulle,DOM-INT,76,31,109,N
MCT-2-CDG-INT-DOM,2,London Fog + Multiple Aircraft AOG,CDG,Charles de Gaulle,INT-DOM,55,36,145,N
MCT-2-CDG-INT-INT,2,London Fog + Multiple Aircraft AOG,CDG,Charles de Gaulle,INT-INT,54,75,75,Y
MCT-2-FRA-DOM-DOM,2,London Fog + Multiple Aircraft AOG,FRA,Frankfurt,DOM-DOM,67,60,137,Y
MCT-2-FRA-DOM-INT,2,London Fog + Multiple Aircraft AOG,FRA,Frankfurt,DOM-INT,116,90,105,Y
MCT-2-FRA-INT-DOM,2,London Fog + Multiple Aircraft AOG,FRA,Frankfurt,INT-DOM,89,66,102,Y
MCT-2-FRA-INT-INT,2,London Fog + Multiple Aircraft AOG,FRA,Frankfurt,INT-INT,82,45,100,Y
MCT-2-JFK-DOM-DOM,2,London Fog + Multiple Aircraft AOG,JFK,John F Kennedy,DOM-DOM,48,45,138,N
MCT-2-JFK-DOM-INT,2,London Fog + Multiple Aircraft AOG,JFK,John F Kennedy,DOM-INT,52,59,133,Y
MCT-2-JFK-INT-DOM,2,London Fog + Multiple Aircraft AOG,JFK,John F Kennedy,INT-DOM,58,77,138,Y
MCT-2-JFK-INT-INT,2,London Fog + Multiple Aircraft AOG,JFK,John F Kennedy,INT-INT,119,41,93,Y
MCT-2-DEL-DOM-DOM,2,London Fog + Multiple Aircraft AOG,DEL,Indira Gandhi,DOM-DOM,65,84,107,Y
MCT-2-DEL-DOM-INT,2,London Fog + Multiple Aircraft AOG,DEL,Indira Gandhi,DOM-INT,81,50,90,N
MCT-2-DEL-INT-DOM,2,London Fog + Multiple Aircraft AOG,DEL,Indira Gandhi,INT-DOM,90,50,99,N
MCT-2-DEL-INT-INT,2,London Fog + Multiple Aircraft AOG,DEL,Indira Gandhi,INT-INT,80,76,109,Y
MCT-2-SYD-DOM-DOM,2,London Fog + Multiple Aircraft AOG,SYD,Sydney Kingsford Smith,DOM-DOM,55,43,66,N
MCT-2-SYD-DOM-INT,2,London Fog + Multiple Aircraft AOG,SYD,Sydney Kingsford Smith,DOM-INT,50,43,142,N
MCT-2-SYD-INT-DOM,2,London Fog + Multiple Aircraft AOG,SYD,Sydney Kingsford Smith,INT-DOM,54,70,146,Y
MCT-2-SYD-INT-INT,2,London Fog + Multiple Aircraft AOG,SYD,Sydney Kingsford Smith,INT-INT,60,35,66,Y
MCT-2-CAI-DOM-DOM,2,London Fog + Multiple Aircraft AOG,CAI,Cairo International,DOM-DOM,96,82,110,N
MCT-2-CAI-DOM-INT,2,London Fog + Multiple Aircraft AOG,CAI,Cairo International,DOM-INT,69,77,92,Y
MCT-2-CAI-INT-DOM,2,London Fog + Multiple Aircraft AOG,CAI,Cairo International,INT-DOM,73,44,103,Y
MCT-2-CAI-INT-INT,2,London Fog + Multiple Aircraft AOG,CAI,Cairo International,INT-INT,56,86,135,Y
MCT-2-FCO-DOM-DOM,2,London Fog + Multiple Aircraft AOG,FCO,Fiumicino,DOM-DOM,61,47,95,Y
MCT-2-FCO-DOM-INT,2,London Fog + Multiple Aircraft AOG,FCO,Fiumicino,DOM-INT,97,82,117,Y
MCT-2-FCO-INT-DOM,2,London Fog + Multiple Aircraft AOG,FCO,Fiumicino,INT-DOM,90,33,66,Y
MCT-2-FCO-INT-INT,2,London Fog + Multiple Aircraft AOG,FCO,Fiumicino,INT-INT,108,32,78,N
MCT-2-DOH-DOM-DOM,2,London Fog + Multiple Aircraft AOG,DOH,Hamad International,DOM-DOM,109,68,124,Y
MCT-2-DOH-DOM-INT,2,London Fog + Multiple Aircraft AOG,DOH,Hamad International,DOM-INT,92,56,123,Y
MCT-2-DOH-INT-DOM,2,London Fog + Multiple Aircraft AOG,DOH,Hamad International,INT-DOM,57,55,147,N
MCT-2-DOH-INT-INT,2,London Fog + Multiple Aircraft AOG,DOH,Hamad International,INT-INT,78,87,96,N
MCT-2-MCT-DOM-DOM,2,London Fog + Multiple Aircraft AOG,MCT,Muscat International,DOM-DOM,71,31,149,Y
MCT-2-MCT-DOM-INT,2,London Fog + Multiple Aircraft AOG,MCT,Muscat International,DOM-INT,73,79,105,Y
MCT-2-MCT-INT-DOM,2,London Fog + Multiple Aircraft AOG,MCT,Muscat International,INT-DOM,63,80,69,N
MCT-2-MCT-INT-INT,2,London Fog + Multiple Aircraft AOG,MCT,Muscat International,INT-INT,56,40,113,Y
MCT-2-JED-DOM-DOM,2,London Fog + Multiple Aircraft AOG,JED,King Abdulaziz,DOM-DOM,119,71,91,Y
MCT-2-JED-DOM-INT,2,London Fog + Multiple Aircraft AOG,JED,King Abdulaziz,DOM-INT,78,35,126,Y
MCT-2-JED-INT-DOM,2,London Fog + Multiple Aircraft AOG,JED,King Abdulaziz,INT-DOM,96,88,91,Y
MCT-2-JED-INT-INT,2,London Fog + Multiple Aircraft AOG,JED,King Abdulaziz,INT-INT,86,53,121,N
MCT-3-AUH-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,AUH,Abu Dhabi International,DOM-DOM,120,30,66,N
MCT-3-AUH-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,AUH,Abu Dhabi International,DOM-INT,50,37,128,N
MCT-3-AUH-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,AUH,Abu Dhabi International,INT-DOM,86,61,76,Y
MCT-3-AUH-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,AUH,Abu Dhabi International,INT-INT,69,48,87,Y
MCT-3-BKK-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,BKK,Suvarnabhumi,DOM-DOM,64,81,83,N
MCT-3-BKK-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,BKK,Suvarnabhumi,DOM-INT,47,52,141,Y
MCT-3-BKK-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,BKK,Suvarnabhumi,INT-DOM,61,57,67,Y
MCT-3-BKK-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,BKK,Suvarnabhumi,INT-INT,69,51,92,Y
MCT-3-LHR-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,LHR,Heathrow,DOM-DOM,53,78,77,Y
MCT-3-LHR-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,LHR,Heathrow,DOM-INT,102,32,137,N
MCT-3-LHR-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,LHR,Heathrow,INT-DOM,56,50,146,Y
MCT-3-LHR-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,LHR,Heathrow,INT-INT,93,77,134,Y
MCT-3-SIN-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,SIN,Changi,DOM-DOM,64,54,111,Y
MCT-3-SIN-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,SIN,Changi,DOM-INT,81,52,89,N
MCT-3-SIN-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,SIN,Changi,INT-DOM,72,76,100,N
MCT-3-SIN-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,SIN,Changi,INT-INT,111,78,107,Y
MCT-3-CDG-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,CDG,Charles de Gaulle,DOM-DOM,54,50,70,N
MCT-3-CDG-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,CDG,Charles de Gaulle,DOM-INT,71,33,60,Y
MCT-3-CDG-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,CDG,Charles de Gaulle,INT-DOM,46,73,110,N
MCT-3-CDG-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,CDG,Charles de Gaulle,INT-INT,88,82,77,N
MCT-3-FRA-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,FRA,Frankfurt,DOM-DOM,66,70,79,N
MCT-3-FRA-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,FRA,Frankfurt,DOM-INT,93,78,147,Y
MCT-3-FRA-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,FRA,Frankfurt,INT-DOM,107,69,136,Y
MCT-3-FRA-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,FRA,Frankfurt,INT-INT,104,53,88,N
MCT-3-JFK-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,JFK,John F Kennedy,DOM-DOM,110,89,113,Y
MCT-3-JFK-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,JFK,John F Kennedy,DOM-INT,114,61,127,N
MCT-3-JFK-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,JFK,John F Kennedy,INT-DOM,108,50,94,N
MCT-3-JFK-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,JFK,John F Kennedy,INT-INT,106,83,101,N
MCT-3-DEL-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,DEL,Indira Gandhi,DOM-DOM,102,38,74,N
MCT-3-DEL-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,DEL,Indira Gandhi,DOM-INT,86,36,119,N
MCT-3-DEL-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,DEL,Indira Gandhi,INT-DOM,66,60,83,N
MCT-3-DEL-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,DEL,Indira Gandhi,INT-INT,48,79,81,N
MCT-3-SYD-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,SYD,Sydney Kingsford Smith,DOM-DOM,53,85,104,Y
MCT-3-SYD-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,SYD,Sydney Kingsford Smith,DOM-INT,46,81,133,Y
MCT-3-SYD-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,SYD,Sydney Kingsford Smith,INT-DOM,57,34,107,Y
MCT-3-SYD-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,SYD,Sydney Kingsford Smith,INT-INT,84,40,140,N
MCT-3-CAI-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,CAI,Cairo International,DOM-DOM,114,73,105,Y
MCT-3-CAI-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,CAI,Cairo International,DOM-INT,73,82,69,N
MCT-3-CAI-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,CAI,Cairo International,INT-DOM,67,59,85,Y
MCT-3-CAI-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,CAI,Cairo International,INT-INT,80,68,120,Y
MCT-3-FCO-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,FCO,Fiumicino,DOM-DOM,73,30,100,N
MCT-3-FCO-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,FCO,Fiumicino,DOM-INT,113,40,94,Y
MCT-3-FCO-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,FCO,Fiumicino,INT-DOM,59,50,61,Y
MCT-3-FCO-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,FCO,Fiumicino,INT-INT,99,35,107,N
MCT-3-DOH-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,DOH,Hamad International,DOM-DOM,53,51,115,N
MCT-3-DOH-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,DOH,Hamad International,DOM-INT,106,86,101,N
MCT-3-DOH-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,DOH,Hamad International,INT-DOM,100,81,69,N
MCT-3-DOH-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,DOH,Hamad International,INT-INT,48,89,82,N
MCT-3-MCT-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,MCT,Muscat International,DOM-DOM,105,88,111,Y
MCT-3-MCT-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,MCT,Muscat International,DOM-INT,120,67,127,N
MCT-3-MCT-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,MCT,Muscat International,INT-DOM,47,40,135,Y
MCT-3-MCT-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,MCT,Muscat International,INT-INT,79,77,83,N
MCT-3-JED-DOM-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,JED,King Abdulaziz,DOM-DOM,91,55,67,N
MCT-3-JED-DOM-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,JED,King Abdulaziz,DOM-INT,66,80,64,N
MCT-3-JED-INT-DOM,3,Singapore Thunderstorms + MEL Expiry Cascade,JED,King Abdulaziz,INT-DOM,86,36,143,Y
MCT-3-JED-INT-INT,3,Singapore Thunderstorms + MEL Expiry Cascade,JED,King Abdulaziz,INT-INT,88,81,112,N
MCT-4-AUH-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AUH,Abu Dhabi International,DOM-DOM,118,58,89,Y
MCT-4-AUH-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AUH,Abu Dhabi International,DOM-INT,86,36,97,Y
MCT-4-AUH-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AUH,Abu Dhabi International,INT-DOM,51,61,109,N
MCT-4-AUH-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AUH,Abu Dhabi International,INT-INT,96,61,87,N
MCT-4-BKK-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BKK,Suvarnabhumi,DOM-DOM,86,37,92,Y
MCT-4-BKK-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BKK,Suvarnabhumi,DOM-INT,71,73,133,Y
MCT-4-BKK-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BKK,Suvarnabhumi,INT-DOM,110,57,87,N
MCT-4-BKK-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,BKK,Suvarnabhumi,INT-INT,115,74,131,Y
MCT-4-LHR-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LHR,Heathrow,DOM-DOM,104,76,89,N
MCT-4-LHR-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LHR,Heathrow,DOM-INT,50,39,90,Y
MCT-4-LHR-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LHR,Heathrow,INT-DOM,92,76,112,Y
MCT-4-LHR-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,LHR,Heathrow,INT-INT,114,46,106,N
MCT-4-SIN-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SIN,Changi,DOM-DOM,84,46,60,Y
MCT-4-SIN-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SIN,Changi,DOM-INT,90,84,62,N
MCT-4-SIN-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SIN,Changi,INT-DOM,54,86,124,Y
MCT-4-SIN-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,SIN,Changi,INT-INT,66,66,119,Y
MCT-4-CDG-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CDG,Charles de Gaulle,DOM-DOM,69,30,90,N
MCT-4-CDG-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CDG,Charles de Gaulle,DOM-INT,70,70,119,Y
MCT-4-CDG-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CDG,Charles de Gaulle,INT-DOM,52,50,137,Y
MCT-4-CDG-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CDG,Charles de Gaulle,INT-INT,95,55,72,N
MCT-4-FRA-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FRA,Frankfurt,DOM-DOM,119,57,107,N
MCT-4-FRA-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FRA,Frankfurt,DOM-INT,116,77,148,Y
MCT-4-FRA-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FRA,Frankfurt,INT-DOM,64,54,64,N
MCT-4-FRA-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FRA,Frankfurt,INT-INT,115,85,138,N
MCT-4-JFK-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,JFK,John F Kennedy,DOM-DOM,53,64,109,N
MCT-4-JFK-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,JFK,John F Kennedy,DOM-INT,82,74,87,Y
MCT-4-JFK-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,JFK,John F Kennedy,INT-DOM,56,44,109,N
MCT-4-JFK-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,JFK,John F Kennedy,INT-INT,88,38,112,N
MCT-4-DEL-DOM-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,DEL,Indira Gandhi,DOM-DOM,92,65,139,Y
MCT-4-DEL-DOM-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,DEL,Indira Gandhi,DOM-INT,109,87,87,Y
MCT-4-DEL-INT-DOM,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,DEL,Indira Gandhi,INT-DOM,106,46,107,Y
MCT-4-DEL-INT-INT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,DEL,Indira Gandhi,INT-INT,69,75,76,Y
