recovery_id,disruption_id,scenario_id,scenario_name,scenario_type,scenario_rank,scenario_status,strategy_type,strategy_description,flights_affected,estimated_delay_minutes,estimated_recovery_time_hrs,estimated_cost_usd,passenger_impact_score,cargo_impact_score,network_impact_score,total_business_score,passenger_satisfaction_score,operational_complexity,resource_requirements,requires_aircraft_swap,requires_crew_change,requires_passenger_reaccommodation,safety_compliant,is_recommended,implementation_status,approved_by,approved_at,execution_started_at,execution_completed_at
RCV-3-3,DIS-3,3,Singapore Thunderstorms + MEL Expiry Cascade,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,8,114,17,16757,3.3,4.0,2.1,3.1,3.0,MEDIUM,crew:20; aircraft:5,N,Y,Y,Y,N,PROPOSED,,,,
RCV-3-4,DIS-3,3,Singapore Thunderstorms + MEL Expiry Cascade,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,8,263,8,64889,3.3,2.5,5.0,3.6,4.3,MEDIUM,crew:6; aircraft:1,N,N,Y,Y,N,PROPOSED,,,,
RCV-4-1,DIS-4,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,8,97,4,141719,3.3,3.7,4.7,3.9,4.3,MEDIUM,crew:20; aircraft:2,N,Y,N,Y,Y,PROPOSED,MGR-440,2026-01-22T00:00:00Z,2026-01-22T01:00:00Z,2026-01-22T05:00:00Z
RCV-4-2,DIS-4,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,8,328,13,189100,3.9,3.8,3.2,3.6,4.2,LOW,crew:14; aircraft:4,Y,Y,N,Y,N,PROPOSED,,,,
RCV-4-3,DIS-4,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,8,121,6,102700,2.6,2.9,3.3,2.9,3.1,MEDIUM,crew:15; aircraft:1,N,N,Y,Y,N,PROPOSED,,,,
RCV-4-4,DIS-4,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,8,110,2,96156,2.2,3.2,2.2,2.5,4.1,MEDIUM,crew:17; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-5-1,DIS-5,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,14,193,3,140689,4.7,4.9,4.1,4.6,3.6,LOW,crew:19; aircraft:3,N,N,N,Y,Y,PROPOSED,MGR-826,2026-01-23T00:00:00Z,2026-01-23T01:00:00Z,2026-01-23T04:00:00Z
RCV-5-2,DIS-5,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,14,117,14,165999,4.0,3.5,3.8,3.8,2.2,LOW,crew:19; aircraft:4,Y,N,N,Y,N,PROPOSED,,,,
RCV-5-3,DIS-5,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,14,153,19,122103,4.7,4.5,2.4,3.9,3.1,HIGH,crew:7; aircraft:3,N,N,Y,Y,N,PROPOSED,,,,
RCV-5-4,DIS-5,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,14,309,10,74283,2.8,4.8,2.6,3.4,3.1,HIGH,crew:9; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-6-1,DIS-6,6,Multiple Aircraft AOG + Engine Failure Cascade,TECHNICAL,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,8,120,3,164537,4.7,4.6,3.7,4.3,2.8,HIGH,crew:17; aircraft:2,N,N,N,Y,Y,PROPOSED,MGR-275,2026-01-24T00:00:00Z,2026-01-24T01:00:00Z,2026-01-24T12:00:00Z
RCV-6-2,DIS-6,6,Multiple Aircraft AOG + Engine Failure Cascade,TECHNICAL,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,8,280,12,66354,4.6,4.6,3.2,4.1,3.5,LOW,crew:16; aircraft:3,Y,N,N,Y,N,PROPOSED,,,,
RCV-6-3,DIS-6,6,Multiple Aircraft AOG + Engine Failure Cascade,TECHNICAL,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,8,319,13,86080,3.4,4.4,2.1,3.3,3.9,HIGH,crew:17; aircraft:5,N,N,Y,Y,N,PROPOSED,,,,
RCV-6-4,DIS-6,6,Multiple Aircraft AOG + Engine Failure Cascade,TECHNICAL,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,8,292,18,88487,2.3,3.4,4.4,3.4,2.8,MEDIUM,crew:13; aircraft:3,N,Y,Y,Y,N,PROPOSED,,,,
RCV-7-1,DIS-7,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,CREW,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,10,198,9,100545,3.9,4.9,3.0,3.9,2.5,LOW,crew:16; aircraft:5,N,Y,N,Y,Y,PROPOSED,MGR-656,2026-01-25T00:00:00Z,2026-01-25T01:00:00Z,2026-01-25T04:00:00Z
RCV-7-2,DIS-7,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,CREW,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,10,278,7,105604,2.6,3.2,4.3,3.4,4.6,LOW,crew:15; aircraft:4,Y,N,N,Y,N,PROPOSED,,,,
RCV-7-3,DIS-7,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,CREW,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,10,41,9,64831,4.1,2.4,3.3,3.3,3.9,MEDIUM,crew:13; aircraft:5,N,N,Y,Y,N,PROPOSED,,,,
RCV-7-4,DIS-7,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,CREW,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,10,69,4,27038,4.2,2.2,3.8,3.4,2.4,LOW,crew:19; aircraft:1,N,N,Y,Y,N,PROPOSED,,,,
RCV-8-1,DIS-8,8,Runway Closure + Airspace Flow Rate Restrictions,OPERATIONAL,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,14,145,17,46222,3.9,3.6,2.2,3.2,3.1,HIGH,crew:7; aircraft:4,N,Y,N,Y,Y,PROPOSED,MGR-235,2026-01-27T00:00:00Z,2026-01-27T01:00:00Z,2026-01-27T06:00:00Z
RCV-8-2,DIS-8,8,Runway Closure + Airspace Flow Rate Restrictions,OPERATIONAL,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,14,155,20,146734,3.3,2.1,2.7,2.7,2.3,HIGH,crew:15; aircraft:2,Y,N,N,Y,N,PROPOSED,,,,
RCV-8-3,DIS-8,8,Runway Closure + Airspace Flow Rate Restrictions,OPERATIONAL,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,14,140,13,86277,4.6,4.5,3.1,4.1,4.0,LOW,crew:18; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-8-4,DIS-8,8,Runway Closure + Airspace Flow Rate Restrictions,OPERATIONAL,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,14,67,20,32838,3.8,2.4,2.2,2.8,4.5,MEDIUM,crew:11; aircraft:3,N,N,Y,Y,N,PROPOSED,,,,
RCV-9-1,DIS-9,9,Security Threat + Geopolitical Airspace Diversion,SECURITY,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,20,139,20,42022,4.9,2.8,3.6,3.8,3.0,MEDIUM,crew:11; aircraft:5,N,N,N,Y,Y,PROPOSED,MGR-698,2026-01-28T00:00:00Z,2026-01-28T01:00:00Z,2026-01-28T08:00:00Z
RCV-9-2,DIS-9,9,Security Threat + Geopolitical Airspace Diversion,SECURITY,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,20,246,12,109125,4.5,3.7,4.2,4.1,2.1,LOW,crew:13; aircraft:1,Y,N,N,Y,N,PROPOSED,,,,
RCV-9-3,DIS-9,9,Security Threat + Geopolitical Airspace Diversion,SECURITY,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,20,81,17,156964,2.6,2.3,4.4,3.1,3.6,MEDIUM,crew:18; aircraft:3,N,N,Y,Y,N,PROPOSED,,,,
RCV-9-4,DIS-9,9,Security Threat + Geopolitical Airspace Diversion,SECURITY,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,20,324,21,138128,3.3,3.7,4.5,3.8,4.8,HIGH,crew:17; aircraft:1,N,N,Y,Y,N,PROPOSED,,,,
RCV-10-1,DIS-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,MEDICAL,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,3,177,12,78078,4.0,2.8,2.3,3.0,3.1,HIGH,crew:17; aircraft:5,N,Y,N,Y,Y,PROPOSED,MGR-377,2026-01-29T00:00:00Z,2026-01-29T01:00:00Z,2026-01-29T06:00:00Z
RCV-10-2,DIS-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,MEDICAL,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,3,349,9,110976,3.7,3.4,3.4,3.5,3.4,MEDIUM,crew:5; aircraft:5,Y,N,N,Y,N,PROPOSED,,,,
RCV-10-3,DIS-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,MEDICAL,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,3,93,3,19401,4.6,2.7,2.7,3.3,3.2,MEDIUM,crew:5; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-10-4,DIS-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,MEDICAL,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,3,65,11,51457,3.9,4.8,4.1,4.3,2.1,MEDIUM,crew:5; aircraft:5,N,N,Y,Y,N,PROPOSED,,,,
RCV-11-1,DIS-11,11,EY401 Typhoon -> EY406 LIAC,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,10,191,18,62296,2.6,3.6,4.7,3.6,3.9,MEDIUM,crew:8; aircraft:4,N,N,N,Y,Y,PROPOSED,MGR-388,2026-01-31T00:00:00Z,2026-01-31T01:00:00Z,2026-01-31T05:00:00Z
RCV-11-2,DIS-11,11,EY401 Typhoon -> EY406 LIAC,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,10,277,2,13557,3.0,4.2,3.4,3.5,2.5,MEDIUM,crew:19; aircraft:4,Y,N,N,Y,N,PROPOSED,,,,
RCV-11-3,DIS-11,11,EY401 Typhoon -> EY406 LIAC,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,10,161,24,85640,2.9,4.5,3.3,3.6,4.8,HIGH,crew:5; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-11-4,DIS-11,11,EY401 Typhoon -> EY406 LIAC,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,10,257,8,91601,2.2,2.6,4.7,3.2,4.2,MEDIUM,crew:19; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
