availability_id,aircraft_registration,aircraft_type,scenario_id,scenario_name,date,status,location,next_scheduled_flight,next_departure_time,maintenance_due,hours_until_maintenance,cycles_until_maintenance,etops_certified,cargo_capacity_kg,passenger_capacity
AVL-A6-EYC-8,A6-EYC,A380,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,,,2026-02-02,132,17,Y,16000,516
AVL-A6-EYC-9,A6-EYC,A380,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,,,2026-02-20,440,87,Y,16000,516
AVL-A6-EYC-10,A6-EYC,A380,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-02,92,40,Y,16000,516
AVL-A6-EYC-11,A6-EYC,A380,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-14,18,63,Y,16000,516
AVL-A6-EYD-1,A6-EYD,B777X,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-02-12,261,69,Y,14000,400
AVL-A6-EYD-2,A6-EYD,B777X,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,,,2026-01-29,264,88,Y,14000,400
AVL-A6-EYD-3,A6-EYD,B777X,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-04,225,46,Y,14000,400
AVL-A6-EYD-4,A6-EYD,B777X,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-21,92,57,Y,14000,400
AVL-A6-EYD-5,A6-EYD,B777X,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-01-24,369,34,Y,14000,400
AVL-A6-EYD-6,A6-EYD,B777X,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AOG,AUH,EY7151,2026-01-24 06:46:00,2026-02-05,455,66,Y,14000,400
AVL-A6-EYD-7,A6-EYD,B777X,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-15,105,91,Y,14000,400
AVL-A6-EYD-8,A6-EYD,B777X,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,,,2026-02-09,192,96,Y,14000,400
AVL-A6-EYD-9,A6-EYD,B777X,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,,,2026-02-06,340,58,Y,14000,400
AVL-A6-EYD-10,A6-EYD,B777X,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-09,476,95,Y,14000,400
AVL-A6-EYD-11,A6-EYD,B777X,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-23,279,83,Y,14000,400
AVL-A6-EYE-1,A6-EYE,B777X,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-01-23,23,47,Y,14000,400
AVL-A6-EYE-2,A6-EYE,B777X,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,,,2026-02-08,493,71,Y,14000,400
AVL-A6-EYE-3,A6-EYE,B777X,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-04,222,56,Y,14000,400
AVL-A6-EYE-4,A6-EYE,B777X,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-01-29,124,6,Y,14000,400
AVL-A6-EYE-5,A6-EYE,B777X,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-01-27,322,78,Y,14000,400
AVL-A6-EYE-6,A6-EYE,B777X,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AOG,AUH,EY3102,2026-01-24 08:12:00,2026-02-15,127,64,Y,14000,400
AVL-A6-EYE-7,A6-EYE,B777X,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-07,80,55,Y,14000,400
AVL-A6-EYE-8,A6-EYE,B777X,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,,,2026-02-18,496,37,Y,14000,400
AVL-A6-EYE-9,A6-EYE,B777X,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,,,2026-01-31,331,12,Y,14000,400
AVL-A6-EYE-10,A6-EYE,B777X,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-17,412,11,Y,14000,400
AVL-A6-EYE-11,A6-EYE,B777X,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-22,112,13,Y,14000,400
AVL-A6-EYF-1,A6-EYF,B787-10,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,EY25,2026-01-19 14:13:00,2026-02-03,297,77,Y,12000,330
AVL-A6-EYF-2,A6-EYF,B787-10,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY25,2026-01-20 10:27:00,2026-01-23,397,16,Y,12000,330
AVL-A6-EYF-3,A6-EYF,B787-10,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-01-23,418,26,Y,12000,330
AVL-A6-EYF-4,A6-EYF,B787-10,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-01-25,211,59,Y,12000,330
AVL-A6-EYF-5,A6-EYF,B787-10,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,EY432,2026-01-23 14:05:00,2026-02-21,436,43,Y,12000,330
AVL-A6-EYF-6,A6-EYF,B787-10,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-09,100,6,Y,12000,330
AVL-A6-EYF-7,A6-EYF,B787-10,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY432,2026-01-25 12:49:00,2026-02-17,499,39,Y,12000,330
AVL-A6-EYF-8,A6-EYF,B787-10,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY432,2026-01-27 12:43:00,2026-02-19,35,79,Y,12000,330
AVL-A6-EYF-9,A6-EYF,B787-10,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY432,2026-01-28 18:26:00,2026-02-26,246,25,Y,12000,330
AVL-A6-EYF-10,A6-EYF,B787-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-26,447,41,Y,12000,330
AVL-A6-EYF-11,A6-EYF,B787-10,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,EY25,2026-01-31 14:21:00,2026-03-01,383,12,Y,12000,330
AVL-A6-EYG-1,A6-EYG,B787-10,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-01-30,491,83,Y,12000,330
AVL-A6-EYG-2,A6-EYG,B787-10,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY19,2026-01-20 12:31:00,2026-02-12,66,49,Y,12000,330
AVL-A6-EYG-3,A6-EYG,B787-10,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-01-25,80,58,Y,12000,330
AVL-A6-EYG-4,A6-EYG,B787-10,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-13,259,98,Y,12000,330
AVL-A6-EYG-5,A6-EYG,B787-10,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,EY8184,2026-01-23 16:21:00,2026-02-08,384,80,Y,12000,330
AVL-A6-EYG-6,A6-EYG,B787-10,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-01-26,11,29,Y,12000,330
AVL-A6-EYG-7,A6-EYG,B787-10,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-09,403,81,Y,12000,330
AVL-A6-EYG-8,A6-EYG,B787-10,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY8184,2026-01-27 16:11:00,2026-02-19,16,59,Y,12000,330
AVL-A6-EYG-9,A6-EYG,B787-10,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY8184,2026-01-28 08:49:00,2026-02-02,84,56,Y,12000,330
AVL-A6-EYG-10,A6-EYG,B787-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-20,51,28,Y,12000,330
AVL-A6-EYG-11,A6-EYG,B787-10,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-03-02,110,8,Y,12000,330
AVL-A6-EYH-1,A6-EYH,B787-10,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,EY472,2026-01-19 20:45:00,2026-01-30,54,44,Y,12000,330
AVL-A6-EYH-2,A6-EYH,B787-10,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY11,2026-01-20 14:10:00,2026-02-12,391,87,Y,12000,330
AVL-A6-EYH-3,A6-EYH,B787-10,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,EY472,2026-01-21 08:14:00,2026-02-09,485,28,Y,12000,330
AVL-A6-EYH-4,A6-EYH,B787-10,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-06,425,9,Y,12000,330
AVL-A6-EYH-5,A6-EYH,B787-10,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,MEL,AUH,EY1202,2026-01-23 18:28:00,2026-02-18,189,12,Y,12000,330
AVL-A6-EYH-6,A6-EYH,B787-10,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-08,392,28,Y,12000,330
AVL-A6-EYH-7,A6-EYH,B787-10,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY1202,2026-01-25 14:15:00,2026-02-07,195,59,Y,12000,330
AVL-A6-EYH-8,A6-EYH,B787-10,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY1202,2026-01-27 14:39:00,2026-02-17,479,8,Y,12000,330
AVL-A6-EYH-9,A6-EYH,B787-10,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY1202,2026-01-28 14:54:00,2026-02-09,125,38,Y,12000,330
AVL-A6-EYH-10,A6-EYH,B787-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-08,74,32,Y,12000,330
AVL-A6-EYH-11,A6-EYH,B787-10,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,EY472,2026-01-31 20:12:00,2026-02-12,401,80,Y,12000,330
AVL-A6-EYI-1,A6-EYI,B787-10,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-01-22,251,93,Y,12000,330
AVL-A6-EYI-2,A6-EYI,B787-10,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY334,2026-01-20 22:46:00,2026-01-21,198,29,Y,12000,330
AVL-A6-EYI-3,A6-EYI,B787-10,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-16,197,60,Y,12000,330
AVL-A6-EYI-4,A6-EYI,B787-10,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,EY2796,2026-01-22 06:10:00,2026-02-08,157,89,Y,12000,330
AVL-A6-EYI-5,A6-EYI,B787-10,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-02-12,130,94,Y,12000,330
AVL-A6-EYI-6,A6-EYI,B787-10,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-23,185,9,Y,12000,330
AVL-A6-EYI-7,A6-EYI,B787-10,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY8086,2026-01-25 06:52:00,2026-02-01,237,68,Y,12000,330
AVL-A6-EYI-8,A6-EYI,B787-10,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY8086,2026-01-27 06:30:00,2026-01-30,65,80,Y,12000,330
AVL-A6-EYI-9,A6-EYI,B787-10,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY8086,2026-01-28 06:46:00,2026-01-30,316,91,Y,12000,330
AVL-A6-EYI-10,A6-EYI,B787-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,EY8086,2026-01-29 06:58:00,2026-02-01,17,32,Y,12000,330
AVL-A6-EYI-11,A6-EYI,B787-10,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-18,118,92,Y,12000,330
AVL-A6-EYJ-1,A6-EYJ,B787-10,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,EY334,2026-01-19 12:48:00,2026-01-23,46,22,Y,12000,330
AVL-A6-EYJ-2,A6-EYJ,B787-10,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY1202,2026-01-20 06:55:00,2026-01-24,213,82,Y,12000,330
AVL-A6-EYJ-3,A6-EYJ,B787-10,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,EY334,2026-01-21 20:29:00,2026-02-20,263,96,Y,12000,330
AVL-A6-EYJ-4,A6-EYJ,B787-10,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,EY334,2026-01-22 08:12:00,2026-01-30,212,97,Y,12000,330
AVL-A6-EYJ-5,A6-EYJ,B787-10,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-02-12,43,10,Y,12000,330
AVL-A6-EYJ-6,A6-EYJ,B787-10,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-12,31,69,Y,12000,330
AVL-A6-EYJ-7,A6-EYJ,B787-10,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY6622,2026-01-25 08:09:00,2026-02-16,263,18,Y,12000,330
AVL-A6-EYJ-8,A6-EYJ,B787-10,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY6622,2026-01-27 22:41:00,2026-02-11,163,71,Y,12000,330
AVL-A6-EYJ-9,A6-EYJ,B787-10,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY334,2026-01-28 12:36:00,2026-02-24,124,62,Y,12000,330
AVL-A6-EYJ-10,A6-EYJ,B787-10,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,EY334,2026-01-29 10:29:00,2026-02-27,132,15,Y,12000,330
AVL-A6-EYJ-11,A6-EYJ,B787-10,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,EY334,2026-01-31 12:22:00,2026-02-27,209,75,Y,12000,330
AVL-A6-EYK-1,A6-EYK,A350,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-02-13,307,19,Y,13000,350
AVL-A6-EYK-2,A6-EYK,A350,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY8184,2026-01-20 06:41:00,2026-01-21,469,61,Y,13000,350
AVL-A6-EYK-3,A6-EYK,A350,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-01-31,474,67,Y,13000,350
AVL-A6-EYK-4,A6-EYK,A350,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,EY1677,2026-01-22 10:34:00,2026-01-26,199,62,Y,13000,350
AVL-A6-EYK-5,A6-EYK,A350,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-01-26,28,18,Y,13000,350
AVL-A6-EYK-6,A6-EYK,A350,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AOG,AUH,EY003,2026-01-24 10:20:00,2026-02-07,391,62,Y,13000,350
AVL-A6-EYK-7,A6-EYK,A350,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY334,2026-01-25 16:35:00,2026-02-12,420,52,Y,13000,350
AVL-A6-EYK-8,A6-EYK,A350,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY5265,2026-01-27 06:15:00,2026-02-04,200,13,Y,13000,350
AVL-A6-EYK-9,A6-EYK,A350,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY6622,2026-01-28 20:41:00,2026-01-29,271,37,Y,13000,350
AVL-A6-EYK-10,A6-EYK,A350,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-19,245,33,Y,13000,350
AVL-A6-EYK-11,A6-EYK,A350,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-25,463,36,Y,13000,350
AVL-A6-EYL-1,A6-EYL,A350,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-01-31,199,95,Y,13000,350
AVL-A6-EYL-2,A6-EYL,A350,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY6268,2026-01-20 08:08:00,2026-02-05,335,89,Y,13000,350
AVL-A6-EYL-3,A6-EYL,A350,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-01-27,41,58,Y,13000,350
AVL-A6-EYL-4,A6-EYL,A350,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,EY462,2026-01-22 12:30:00,2026-02-09,413,57,Y,13000,350
AVL-A6-EYL-5,A6-EYL,A350,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-02-14,177,24,Y,13000,350
AVL-A6-EYL-6,A6-EYL,A350,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,EY8086,2026-01-24 18:53:00,2026-02-10,252,27,Y,13000,350
AVL-A6-EYL-7,A6-EYL,A350,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-04,485,27,Y,13000,350
AVL-A6-EYL-8,A6-EYL,A350,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY6005,2026-01-27 08:30:00,2026-02-17,488,87,Y,13000,350
AVL-A6-EYL-9,A6-EYL,A350,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY5265,2026-01-28 22:14:00,2026-02-03,51,82,Y,13000,350
AVL-A6-EYL-10,A6-EYL,A350,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-03,104,25,Y,13000,350
AVL-A6-EYL-11,A6-EYL,A350,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,,,2026-02-22,89,98,Y,13000,350
AVL-A6-EYM-1,A6-EYM,A350,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-02-05,489,68,Y,13000,350
AVL-A6-EYM-2,A6-EYM,A350,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,,,2026-02-06,82,68,Y,13000,350
AVL-A6-EYM-3,A6-EYM,A350,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,EY3105,2026-01-21 06:15:00,2026-02-04,256,19,Y,13000,350
AVL-A6-EYM-4,A6-EYM,A350,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-09,257,69,Y,13000,350
AVL-A6-EYM-5,A6-EYM,A350,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,EY8396,2026-01-23 06:53:00,2026-02-13,76,21,Y,13000,350
AVL-A6-EYM-6,A6-EYM,A350,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-12,123,41,Y,13000,350
AVL-A6-EYM-7,A6-EYM,A350,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-12,442,40,Y,13000,350
AVL-A6-EYM-8,A6-EYM,A350,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY4943,2026-01-27 08:54:00,2026-02-18,164,93,Y,13000,350
AVL-A6-EYM-9,A6-EYM,A350,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY3160,2026-01-28 06:23:00,2026-02-09,248,96,Y,13000,350
