weather_id,scenario_id,scenario_name,airport_code,airport_name,observation_time,condition,temperature_c,wind_speed_kts,wind_direction,visibility_m,ceiling_ft,precipitation,is_operational,metar,taf_valid_from,taf_valid_to
WX-6-DEL,6,Multiple Aircraft AOG + Engine Failure Cascade,DEL,Indira Gandhi,2026-01-24T00:00:00Z,CLEAR,25,10,95,10000,10000,NONE,Y,METAR DEL 240000Z 010/10KT 10000M CLEAR,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z
WX-6-FCO,6,Multiple Aircraft AOG + Engine Failure Cascade,FCO,Fiumicino,2026-01-24T00:00:00Z,CLEAR,25,10,137,10000,10000,NONE,Y,METAR FCO 240000Z 010/10KT 10000M CLEAR,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z
WX-7-SYD,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,SYD,Sydney Kingsford Smith,2026-01-25T00:00:00Z,CLEAR,22,8,174,10000,10000,NONE,Y,METAR SYD 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-7-AUH,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,AUH,Abu Dhabi International,2026-01-25T00:00:00Z,CLEAR,22,8,230,10000,10000,NONE,Y,METAR AUH 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-7-LHR,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,LHR,Heathrow,2026-01-25T00:00:00Z,CLEAR,22,8,77,10000,10000,NONE,Y,METAR LHR 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-7-CDG,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,CDG,Charles de Gaulle,2026-01-25T00:00:00Z,CLEAR,22,8,85,10000,10000,NONE,Y,METAR CDG 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-7-DEL,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,DEL,Indira Gandhi,2026-01-25T00:00:00Z,CLEAR,22,8,156,10000,10000,NONE,Y,METAR DEL 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-7-FCO,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,FCO,Fiumicino,2026-01-25T00:00:00Z,CLEAR,22,8,97,10000,10000,NONE,Y,METAR FCO 250000Z 008/08KT 10000M CLEAR,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z
WX-8-SYD,8,Runway Closure + Airspace Flow Rate Restrictions,SYD,Sydney Kingsford Smith,2026-01-27T00:00:00Z,CLEAR,24,12,196,10000,10000,NONE,Y,METAR SYD 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-AUH,8,Runway Closure + Airspace Flow Rate Restrictions,AUH,Abu Dhabi International,2026-01-27T00:00:00Z,CLEAR,24,12,99,10000,10000,NONE,Y,METAR AUH 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-LHR,8,Runway Closure + Airspace Flow Rate Restrictions,LHR,Heathrow,2026-01-27T00:00:00Z,CLEAR,24,12,151,10000,10000,NONE,Y,METAR LHR 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-CAI,8,Runway Closure + Airspace Flow Rate Restrictions,CAI,Cairo International,2026-01-27T00:00:00Z,CLEAR,24,12,107,10000,10000,NONE,Y,METAR CAI 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-CDG,8,Runway Closure + Airspace Flow Rate Restrictions,CDG,Charles de Gaulle,2026-01-27T00:00:00Z,CLEAR,24,12,293,10000,10000,NONE,Y,METAR CDG 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-JFK,8,Runway Closure + Airspace Flow Rate Restrictions,JFK,John F Kennedy,2026-01-27T00:00:00Z,CLEAR,24,12,89,10000,10000,NONE,Y,METAR JFK 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-DEL,8,Runway Closure + Airspace Flow Rate Restrictions,DEL,Indira Gandhi,2026-01-27T00:00:00Z,CLEAR,24,12,117,10000,10000,NONE,Y,METAR DEL 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-FCO,8,Runway Closure + Airspace Flow Rate Restrictions,FCO,Fiumicino,2026-01-27T00:00:00Z,CLEAR,24,12,165,10000,10000,NONE,Y,METAR FCO 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-8-DOH,8,Runway Closure + Airspace Flow Rate Restrictions,DOH,Hamad International,2026-01-27T00:00:00Z,CLEAR,24,12,7,10000,10000,NONE,Y,METAR DOH 270000Z 012/12KT 10000M CLEAR,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z
WX-9-BKK,9,Security Threat + Geopolitical Airspace Diversion,BKK,Suvarnabhumi,2026-01-28T00:00:00Z,CLEAR,26,10,220,10000,10000,NONE,Y,METAR BKK 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-AUH,9,Security Threat + Geopolitical Airspace Diversion,AUH,Abu Dhabi International,2026-01-28T00:00:00Z,CLEAR,26,10,319,10000,10000,NONE,Y,METAR AUH 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-LHR,9,Security Threat + Geopolitical Airspace Diversion,LHR,Heathrow,2026-01-28T00:00:00Z,CLEAR,26,10,60,10000,10000,NONE,Y,METAR LHR 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-CDG,9,Security Threat + Geopolitical Airspace Diversion,CDG,Charles de Gaulle,2026-01-28T00:00:00Z,CLEAR,26,10,213,10000,10000,NONE,Y,METAR CDG 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-JFK,9,Security Threat + Geopolitical Airspace Diversion,JFK,John F Kennedy,2026-01-28T00:00:00Z,CLEAR,26,10,240,10000,10000,NONE,Y,METAR JFK 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-DEL,9,Security Threat + Geopolitical Airspace Diversion,DEL,Indira Gandhi,2026-01-28T00:00:00Z,CLEAR,26,10,71,10000,10000,NONE,Y,METAR DEL 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-9-FCO,9,Security Threat + Geopolitical Airspace Diversion,FCO,Fiumicino,2026-01-28T00:00:00Z,CLEAR,26,10,122,10000,10000,NONE,Y,METAR FCO 280000Z 010/10KT 10000M CLEAR,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z
WX-10-FCO,10,Medical Emergency + Tarmac Delay + Slot Unavailability,FCO,Fiumicino,2026-01-29T00:00:00Z,CLEAR,23,8,225,10000,10000,NONE,Y,METAR FCO 290000Z 008/08KT 10000M CLEAR,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z
WX-10-CDG,10,Medical Emergency + Tarmac Delay + Slot Unavailability,CDG,Charles de Gaulle,2026-01-29T00:00:00Z,CLEAR,23,8,353,10000,10000,NONE,Y,METAR CDG 290000Z 008/08KT 10000M CLEAR,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z
WX-10-AUH,10,Medical Emergency + Tarmac Delay + Slot Unavailability,AUH,Abu Dhabi International,2026-01-29T00:00:00Z,CLEAR,23,8,155,10000,10000,NONE,Y,METAR AUH 290000Z 008/08KT 10000M CLEAR,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z
WX-11-BKK,11,EY401 Typhoon -> EY406 LIAC,BKK,Suvarnabhumi,2026-01-31T00:00:00Z,TYPHOON,29,80,182,600,778,HEAVY,N,METAR BKK 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-JED,11,EY401 Typhoon -> EY406 LIAC,JED,King Abdulaziz,2026-01-31T00:00:00Z,TYPHOON,29,80,58,600,989,HEAVY,N,METAR JED 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-SYD,11,EY401 Typhoon -> EY406 LIAC,SYD,Sydney Kingsford Smith,2026-01-31T00:00:00Z,TYPHOON,29,80,339,600,2223,HEAVY,N,METAR SYD 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-AUH,11,EY401 Typhoon -> EY406 LIAC,AUH,Abu Dhabi International,2026-01-31T00:00:00Z,TYPHOON,29,80,233,600,4201,HEAVY,N,METAR AUH 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-SIN,11,EY401 Typhoon -> EY406 LIAC,SIN,Changi,2026-01-31T00:00:00Z,TYPHOON,29,80,334,600,1305,HEAVY,N,METAR SIN 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-LHR,11,EY401 Typhoon -> EY406 LIAC,LHR,Heathrow,2026-01-31T00:00:00Z,TYPHOON,29,80,91,600,3294,HEAVY,N,METAR LHR 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-CDG,11,EY401 Typhoon -> EY406 LIAC,CDG,Charles de Gaulle,2026-01-31T00:00:00Z,TYPHOON,29,80,40,600,2541,HEAVY,N,METAR CDG 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-JFK,11,EY401 Typhoon -> EY406 LIAC,JFK,John F Kennedy,2026-01-31T00:00:00Z,TYPHOON,29,80,184,600,3502,HEAVY,N,METAR JFK 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
WX-11-DEL,11,EY401 Typhoon -> EY406 LIAC,DEL,Indira Gandhi,2026-01-31T00:00:00Z,TYPHOON,29,80,64,600,4581,HEAVY,N,METAR DEL 310000Z 080/80KT 600M TYPHOON,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z
