transaction_id,booking_id,flight_id,passenger_id,pnr,scenario_id,transaction_type,transaction_date,amount_usd,amount_aed,amount_inr,currency,payment_method,payment_status,tax_amount_usd,surcharge_usd,discount_usd,promo_code
TXN-000030,BKG-1022,FLT-1001,PAX-1022,RYD722,1,TICKET_PURCHASE,2025-11-08,1694.72,6219.62,141509.08,USD,DEBIT_CARD,COMPLETED,203.37,55.05,0.0,
TXN-000031,BKG-1022,FLT-1001,PAX-1022,RYD722,1,MEAL_PURCHASE,2025-11-08,35.68,130.94,2979.22,INR,DEBIT_CARD,COMPLETED,1.78,0.0,0.0,
TXN-000032,BKG-1023,FLT-1001,PAX-1023,WLX555,1,TICKET_PURCHASE,2026-01-08,1553.41,5701.02,129709.92,USD,DEBIT_CARD,COMPLETED,186.41,20.58,0.0,
TXN-000033,BKG-1023,FLT-1001,PAX-1023,WLX555,1,SEAT_UPGRADE,2026-01-08,262.1,961.91,21885.48,USD,LOYALTY_POINTS,COMPLETED,13.11,0.0,0.0,
TXN-000034,BKG-1024,FLT-1001,PAX-1024,NTV175,1,TICKET_PURCHASE,2025-12-31,747.41,2743.0,62408.79,GBP,LOYALTY_POINTS,COMPLETED,89.69,73.52,14.83,PROMO584
TXN-000035,BKG-1024,FLT-1001,PAX-1024,NTV175,1,LOUNGE_ACCESS,2025-12-31,248.02,910.25,20710.02,USD,CREDIT_CARD,COMPLETED,12.4,0.0,0.0,
TXN-000036,BKG-1025,FLT-1001,PAX-1025,EQX445,1,TICKET_PURCHASE,2025-10-23,422.94,1552.19,35315.56,EUR,VOUCHER,COMPLETED,50.75,54.48,0.0,
TXN-000037,BKG-1025,FLT-1001,PAX-1025,EQX445,1,SEAT_UPGRADE,2025-10-23,46.37,170.16,3871.51,INR,BANK_TRANSFER,COMPLETED,2.32,0.0,0.0,
TXN-000038,BKG-1026,FLT-1001,PAX-1026,IZI508,1,TICKET_PURCHASE,2025-11-03,2041.36,7491.8,170453.79,AED,CASH,COMPLETED,244.96,28.74,164.21,PROMO287
TXN-000039,BKG-1026,FLT-1001,PAX-1026,IZI508,1,BAGGAGE_FEE,2025-11-03,266.11,976.63,22220.29,USD,CASH,COMPLETED,13.31,0.0,0.0,
TXN-000040,BKG-1027,FLT-1001,PAX-1027,RHA210,1,TICKET_PURCHASE,2025-12-04,2058.45,7554.52,171880.67,GBP,CREDIT_CARD,COMPLETED,247.01,88.48,201.36,PROMO195
TXN-000041,BKG-1028,FLT-1001,PAX-1028,LPN435,1,TICKET_PURCHASE,2025-12-05,2152.0,7897.84,179692.02,AED,CASH,COMPLETED,258.24,33.3,0.0,
TXN-000042,BKG-1029,FLT-1001,PAX-1029,OSE551,1,TICKET_PURCHASE,2026-01-04,578.67,2123.7,48318.56,EUR,BANK_TRANSFER,COMPLETED,69.44,20.17,0.0,
TXN-000043,BKG-1030,FLT-1001,PAX-1030,SRM591,1,TICKET_PURCHASE,2025-12-17,2401.83,8814.72,200552.85,EUR,DEBIT_CARD,COMPLETED,288.22,99.63,0.0,
TXN-000044,BKG-1030,FLT-1001,PAX-1030,SRM591,1,BAGGAGE_FEE,2025-12-17,291.55,1069.99,24344.55,INR,VOUCHER,COMPLETED,14.58,0.0,0.0,
TXN-000045,BKG-1031,FLT-1001,PAX-1031,RDZ261,1,TICKET_PURCHASE,2025-12-05,1447.05,5310.67,120828.59,GBP,LOYALTY_POINTS,COMPLETED,173.65,79.84,126.8,PROMO261
TXN-000046,BKG-1031,FLT-1001,PAX-1031,RDZ261,1,SEAT_UPGRADE,2025-12-05,259.86,953.7,21698.52,USD,LOYALTY_POINTS,COMPLETED,12.99,0.0,0.0,
TXN-000047,BKG-1032,FLT-1001,PAX-1032,HZO605,1,TICKET_PURCHASE,2025-11-22,356.31,1307.66,29751.88,GBP,DEBIT_CARD,COMPLETED,42.76,88.95,0.0,
TXN-000048,BKG-1033,FLT-1001,PAX-1033,YHS111,1,TICKET_PURCHASE,2025-11-04,291.41,1069.46,24332.39,GBP,LOYALTY_POINTS,COMPLETED,34.97,26.56,0.0,
TXN-000049,BKG-1033,FLT-1001,PAX-1033,YHS111,1,MEAL_PURCHASE,2025-11-04,85.15,312.5,7110.02,INR,BANK_TRANSFER,COMPLETED,4.26,0.0,0.0,
TXN-000050,BKG-1034,FLT-1001,PAX-1034,XFN268,1,TICKET_PURCHASE,2025-12-17,748.98,2748.75,62539.64,INR,CASH,COMPLETED,89.88,51.66,0.0,
TXN-000051,BKG-1034,FLT-1001,PAX-1034,XFN268,1,SEAT_UPGRADE,2025-12-17,32.52,119.33,2715.02,INR,LOYALTY_POINTS,COMPLETED,1.63,0.0,0.0,
TXN-000052,BKG-1035,FLT-1001,PAX-1035,BYA518,1,TICKET_PURCHASE,2025-11-04,2491.02,9142.05,208000.32,INR,CREDIT_CARD,COMPLETED,298.92,25.86,99.09,PROMO350
TXN-000053,BKG-1035,FLT-1001,PAX-1035,BYA518,1,BAGGAGE_FEE,2025-11-04,148.31,544.3,12383.87,INR,VOUCHER,COMPLETED,7.42,0.0,0.0,
TXN-000054,BKG-1036,FLT-1001,PAX-1036,TWA311,1,TICKET_PURCHASE,2025-11-07,895.79,3287.55,74798.42,GBP,CREDIT_CARD,COMPLETED,107.49,98.71,0.0,
TXN-000055,BKG-1037,FLT-1001,PAX-1037,WXQ537,1,TICKET_PURCHASE,2025-11-20,1475.59,5415.4,123211.37,INR,CREDIT_CARD,COMPLETED,177.07,94.54,194.36,PROMO209
TXN-000056,BKG-1038,FLT-1001,PAX-1038,JPB174,1,TICKET_PURCHASE,2025-11-03,557.53,2046.14,46553.77,INR,LOYALTY_POINTS,COMPLETED,66.9,42.54,28.67,PROMO600
TXN-000057,BKG-1038,FLT-1001,PAX-1038,JPB174,1,SEAT_UPGRADE,2025-11-03,54.92,201.56,4585.87,AED,BANK_TRANSFER,COMPLETED,2.75,0.0,0.0,
TXN-000058,BKG-1039,FLT-1001,PAX-1039,WTA666,1,TICKET_PURCHASE,2025-12-16,301.4,1106.14,25166.86,AED,VOUCHER,COMPLETED,36.17,46.68,44.3,PROMO552
TXN-000059,BKG-1040,FLT-1001,PAX-1040,KVG824,1,TICKET_PURCHASE,2025-12-27,1183.68,4344.11,98837.27,AED,LOYALTY_POINTS,COMPLETED,142.04,20.77,156.8,PROMO136
TXN-000060,BKG-1041,FLT-1001,PAX-1041,TCJ665,1,TICKET_PURCHASE,2026-01-12,1539.77,5650.96,128570.96,USD,BANK_TRANSFER,COMPLETED,184.77,31.85,71.2,PROMO315
TXN-000061,BKG-1042,FLT-1001,PAX-1042,ITD805,1,TICKET_PURCHASE,2025-12-12,1733.95,6363.58,144784.56,EUR,LOYALTY_POINTS,COMPLETED,208.07,48.29,0.0,
TXN-000062,BKG-1043,FLT-1001,PAX-1043,ICA415,1,TICKET_PURCHASE,2025-12-19,2329.26,8548.37,194492.94,AED,CASH,COMPLETED,279.51,38.94,279.47,PROMO125
TXN-000063,BKG-1043,FLT-1001,PAX-1043,ICA415,1,MEAL_PURCHASE,2025-12-19,241.24,885.37,20143.9,AED,VOUCHER,COMPLETED,12.06,0.0,0.0,
TXN-000064,BKG-1044,FLT-1001,PAX-1044,HUJ352,1,TICKET_PURCHASE,2025-11-23,2187.35,8027.56,182643.5,USD,CASH,COMPLETED,262.48,84.86,258.34,PROMO993
TXN-000065,BKG-1044,FLT-1001,PAX-1044,HUJ352,1,LOUNGE_ACCESS,2025-11-23,90.06,330.51,7519.77,AED,BANK_TRANSFER,COMPLETED,4.5,0.0,0.0,
TXN-000066,BKG-1045,FLT-1001,PAX-1045,ASY314,1,TICKET_PURCHASE,2025-10-29,901.94,3310.12,75311.91,AED,CASH,COMPLETED,108.23,83.63,3.2,PROMO436
TXN-000067,BKG-1045,FLT-1001,PAX-1045,ASY314,1,SEAT_UPGRADE,2025-10-29,291.06,1068.19,24303.51,AED,BANK_TRANSFER,COMPLETED,14.55,0.0,0.0,
TXN-000068,BKG-1046,FLT-1001,PAX-1046,ZRK870,1,TICKET_PURCHASE,2025-12-02,1675.41,6148.75,139896.57,GBP,BANK_TRANSFER,COMPLETED,201.05,51.97,0.0,
TXN-000069,BKG-1047,FLT-1001,PAX-1047,BBS123,1,TICKET_PURCHASE,2025-11-11,465.29,1707.6,38851.38,INR,CREDIT_CARD,COMPLETED,55.83,97.63,67.18,PROMO211
TXN-000070,BKG-1048,FLT-1001,PAX-1048,ZIK501,1,TICKET_PURCHASE,2025-11-28,995.08,3651.94,83089.21,GBP,CREDIT_CARD,COMPLETED,119.41,82.91,0.0,
TXN-000071,BKG-1048,FLT-1001,PAX-1048,ZIK501,1,BAGGAGE_FEE,2025-11-28,98.78,362.5,8247.72,INR,CASH,COMPLETED,4.94,0.0,0.0,
TXN-000072,BKG-1049,FLT-1001,PAX-1049,ZNM801,1,TICKET_PURCHASE,2025-10-31,203.89,748.28,17024.81,AED,BANK_TRANSFER,COMPLETED,24.47,94.05,0.0,
TXN-000073,BKG-1050,FLT-1001,PAX-1050,UGV702,1,TICKET_PURCHASE,2025-12-26,2382.41,8743.45,198931.35,USD,VOUCHER,COMPLETED,285.89,93.66,0.0,
TXN-000074,BKG-1051,FLT-1001,PAX-1051,DQQ484,1,TICKET_PURCHASE,2025-11-19,1366.38,5014.62,114092.88,INR,LOYALTY_POINTS,COMPLETED,163.97,73.35,0.0,
TXN-000075,BKG-1051,FLT-1001,PAX-1051,DQQ484,1,LOUNGE_ACCESS,2025-11-19,209.53,768.98,17495.83,AED,VOUCHER,COMPLETED,10.48,0.0,0.0,
TXN-000076,BKG-1052,FLT-1001,PAX-1052,QVA978,1,TICKET_PURCHASE,2026-01-07,1920.71,7049.0,160379.24,EUR,LOYALTY_POINTS,COMPLETED,230.49,33.92,0.0,
TXN-000077,BKG-1053,FLT-1001,PAX-1053,DBJ848,1,TICKET_PURCHASE,2025-12-05,898.91,3299.01,75059.18,GBP,VOUCHER,COMPLETED,107.87,36.81,0.0,
TXN-000078,BKG-1053,FLT-1001,PAX-1053,DBJ848,1,LOUNGE_ACCESS,2025-12-05,149.38,548.24,12473.49,USD,LOYALTY_POINTS,COMPLETED,7.47,0.0,0.0,
TXN-000079,BKG-1054,FLT-1001,PAX-1054,PSH807,1,TICKET_PURCHASE,2025-12-28,1288.33,4728.16,107575.41,AED,VOUCHER,COMPLETED,154.6,92.09,0.0,
TXN-000080,BKG-1054,FLT-1001,PAX-1054,PSH807,1,MEAL_PURCHASE,2025-12-28,55.21,202.64,4610.41,USD,VOUCHER,COMPLETED,2.76,0.0,0.0,
TXN-000081,BKG-1055,FLT-1001,PAX-1055,NKS184,1,TICKET_PURCHASE,2025-10-22,913.96,3354.25,76316.06,EUR,LOYALTY_POINTS,COMPLETED,109.68,84.53,6.34,PROMO970
TXN-000082,BKG-1056,FLT-1001,PAX-1056,JTW850,1,TICKET_PURCHASE,2025-11-14,1247.46,4578.17,104162.68,EUR,CASH,COMPLETED,149.69,90.89,0.0,
TXN-000083,BKG-1056,FLT-1001,PAX-1056,JTW850,1,BAGGAGE_FEE,2025-11-14,207.14,760.19,17295.83,USD,CREDIT_CARD,COMPLETED,10.36,0.0,0.0,
TXN-000084,BKG-1057,FLT-1001,PAX-1057,WOX858,1,TICKET_PURCHASE,2025-12-30,1990.37,7304.65,166195.64,GBP,CASH,COMPLETED,238.84,37.51,0.0,
TXN-000085,BKG-1057,FLT-1001,PAX-1057,WOX858,1,BAGGAGE_FEE,2025-12-30,277.72,1019.22,23189.36,USD,CASH,COMPLETED,13.89,0.0,0.0,
TXN-000086,BKG-1058,FLT-1001,PAX-1058,UTO915,1,TICKET_PURCHASE,2025-11-09,506.68,1859.52,42307.78,GBP,LOYALTY_POINTS,COMPLETED,60.8,57.17,0.0,
TXN-000087,BKG-1058,FLT-1001,PAX-1058,UTO915,1,LOUNGE_ACCESS,2025-11-09,195.42,717.18,16317.25,INR,LOYALTY_POINTS,COMPLETED,9.77,0.0,0.0,
TXN-000088,BKG-1059,FLT-1001,PAX-1059,HWY502,1,TICKET_PURCHASE,2025-10-27,1181.5,4336.12,98655.56,AED,VOUCHER,COMPLETED,141.78,92.55,0.0,
TXN-000089,BKG-1060,FLT-1001,PAX-1060,ICG464,1,TICKET_PURCHASE,2025-12-03,1235.16,4533.04,103135.9,INR,LOYALTY_POINTS,COMPLETED,148.22,80.14,0.0,
TXN-000090,BKG-1061,FLT-1001,PAX-1061,VIB572,1,TICKET_PURCHASE,2025-12-07,750.27,2753.47,62647.17,AED,BANK_TRANSFER,COMPLETED,90.03,55.19,0.0,
TXN-000091,BKG-1061,FLT-1001,PAX-1061,VIB572,1,SEAT_UPGRADE,2025-12-07,67.36,247.21,5624.64,USD,CASH,COMPLETED,3.37,0.0,0.0,
TXN-000092,BKG-1062,FLT-1001,PAX-1062,OMX614,1,TICKET_PURCHASE,2025-12-31,1796.08,6591.63,149973.06,GBP,CASH,COMPLETED,215.53,76.51,109.81,PROMO525
TXN-000093,BKG-1062,FLT-1001,PAX-1062,OMX614,1,LOUNGE_ACCESS,2025-12-31,135.16,496.03,11285.75,INR,VOUCHER,COMPLETED,6.76,0.0,0.0,
TXN-000094,BKG-1063,FLT-1001,PAX-1063,ASY677,1,TICKET_PURCHASE,2025-11-17,244.92,898.87,20451.11,EUR,CREDIT_CARD,COMPLETED,29.39,90.45,0.0,
TXN-000095,BKG-1064,FLT-1001,PAX-1064,PII261,1,TICKET_PURCHASE,2025-12-24,886.81,3254.59,74048.56,EUR,LOYALTY_POINTS,COMPLETED,106.42,51.2,0.0,
TXN-000096,BKG-1065,FLT-1001,PAX-1065,JIQ190,1,TICKET_PURCHASE,2025-10-24,1456.1,5343.9,121584.71,EUR,CASH,COMPLETED,174.73,68.26,47.93,PROMO129
TXN-000097,BKG-1065,FLT-1001,PAX-1065,JIQ190,1,LOUNGE_ACCESS,2025-10-24,225.53,827.69,18831.67,AED,DEBIT_CARD,COMPLETED,11.28,0.0,0.0,
TXN-000098,BKG-1066,FLT-1001,PAX-1066,AAG207,1,TICKET_PURCHASE,2025-12-30,2455.66,9012.27,205047.66,GBP,LOYALTY_POINTS,COMPLETED,294.68,62.73,0.0,
TXN-000099,BKG-1067,FLT-1001,PAX-1067,PFA274,1,TICKET_PURCHASE,2025-11-28,393.08,1442.6,32822.11,AED,CREDIT_CARD,COMPLETED,47.17,54.29,0.0,
TXN-000100,BKG-1067,FLT-1001,PAX-1067,PFA274,1,MEAL_PURCHASE,2025-11-28,87.15,319.83,7276.88,AED,BANK_TRANSFER,COMPLETED,4.36,0.0,0.0,
TXN-000101,BKG-1068,FLT-1001,PAX-1068,OGH504,1,TICKET_PURCHASE,2025-11-28,1950.83,7159.54,162894.17,EUR,BANK_TRANSFER,COMPLETED,234.1,50.33,0.0,
TXN-000102,BKG-1069,FLT-1001,PAX-1069,DOP202,1,TICKET_PURCHASE,2025-10-24,1281.71,4703.86,107022.43,AED,VOUCHER,COMPLETED,153.8,79.92,183.01,PROMO170
TXN-000103,BKG-1070,FLT-1001,PAX-1070,HKQ292,1,TICKET_PURCHASE,2025-11-10,1699.04,6235.46,141869.48,AED,CREDIT_CARD,COMPLETED,203.88,80.34,0.0,
TXN-000104,BKG-1071,FLT-1001,PAX-1071,EWP458,1,TICKET_PURCHASE,2025-11-27,748.65,2747.56,62512.56,EUR,VOUCHER,COMPLETED,89.84,57.88,106.43,PROMO362
TXN-000105,BKG-1072,FLT-1001,PAX-1072,SHX972,1,TICKET_PURCHASE,2025-12-18,585.92,2150.31,48923.9,USD,DEBIT_CARD,COMPLETED,70.31,68.58,0.0,
TXN-000106,BKG-1073,FLT-1001,PAX-1073,PRR838,1,TICKET_PURCHASE,2025-11-30,448.63,1646.46,37460.36,EUR,CASH,COMPLETED,53.84,22.05,0.0,
TXN-000107,BKG-1074,FLT-1001,PAX-1074,YXR327,1,TICKET_PURCHASE,2026-01-02,656.16,2408.1,54789.23,AED,CREDIT_CARD,COMPLETED,78.74,67.37,0.0,
TXN-000108,BKG-1075,FLT-1001,PAX-1075,BLF892,1,TICKET_PURCHASE,2025-12-03,893.64,3279.66,74618.95,GBP,CREDIT_CARD,COMPLETED,107.24,74.74,0.0,
TXN-000109,BKG-1075,FLT-1001,PAX-1075,BLF892,1,LOUNGE_ACCESS,2025-12-03,208.61,765.6,17419.0,USD,LOYALTY_POINTS,COMPLETED,10.43,0.0,0.0,
TXN-000110,BKG-1076,FLT-1001,PAX-1076,NLR237,1,TICKET_PURCHASE,2025-11-08,1689.35,6199.91,141060.68,EUR,CREDIT_CARD,COMPLETED,202.72,21.01,0.0,
TXN-000111,BKG-1077,FLT-1001,PAX-1077,SQH777,1,TICKET_PURCHASE,2025-11-25,1033.03,3791.23,86258.21,AED,CASH,COMPLETED,123.96,91.33,0.0,
TXN-000112,BKG-1077,FLT-1001,PAX-1077,SQH777,1,MEAL_PURCHASE,2025-11-25,196.3,720.41,16390.74,INR,CASH,COMPLETED,9.81,0.0,0.0,
TXN-000113,BKG-1078,FLT-1001,PAX-1078,VRD192,1,TICKET_PURCHASE,2025-12-25,1269.21,4658.0,105979.01,INR,DEBIT_CARD,COMPLETED,152.31,86.06,0.0,
TXN-000114,BKG-1079,FLT-1001,PAX-1079,VRM531,1,TICKET_PURCHASE,2025-11-26,399.32,1465.52,33343.61,GBP,VOUCHER,COMPLETED,47.92,90.53,27.84,PROMO488
TXN-000115,BKG-1079,FLT-1001,PAX-1079,VRM531,1,LOUNGE_ACCESS,2025-11-26,259.76,953.31,21689.73,USD,CASH,COMPLETED,12.99,0.0,0.0,
TXN-000116,BKG-1080,FLT-1001,PAX-1080,NRQ543,1,TICKET_PURCHASE,2025-12-12,687.88,2524.5,57437.62,GBP,VOUCHER,COMPLETED,82.55,83.83,0.0,
TXN-000117,BKG-1081,FLT-1001,PAX-1081,CKO100,1,TICKET_PURCHASE,2025-12-06,1478.32,5425.43,123439.67,EUR,CASH,COMPLETED,177.4,61.33,53.52,PROMO668
TXN-000118,BKG-1082,FLT-1001,PAX-1082,KGF223,1,TICKET_PURCHASE,2025-12-13,1788.4,6563.43,149331.52,USD,CREDIT_CARD,COMPLETED,214.61,71.67,0.0,
TXN-000119,BKG-1082,FLT-1001,PAX-1082,KGF223,1,LOUNGE_ACCESS,2025-12-13,216.78,795.59,18101.34,AED,VOUCHER,COMPLETED,10.84,0.0,0.0,
TXN-000120,BKG-1083,FLT-1001,PAX-1083,ZZL236,1,TICKET_PURCHASE,2025-12-09,1537.58,5642.91,128387.75,EUR,VOUCHER,COMPLETED,184.51,57.86,0.0,
TXN-000121,BKG-1084,FLT-1001,PAX-1084,KAC490,1,TICKET_PURCHASE,2025-12-22,1009.16,3703.63,84265.21,AED,CREDIT_CARD,COMPLETED,121.1,56.3,0.0,
TXN-000122,BKG-1085,FLT-1001,PAX-1085,WWL330,1,TICKET_PURCHASE,2025-11-02,925.76,3397.54,77300.98,AED,DEBIT_CARD,COMPLETED,111.09,79.43,0.0,
TXN-000123,BKG-1085,FLT-1001,PAX-1085,WWL330,1,LOUNGE_ACCESS,2025-11-02,104.65,384.08,8738.68,INR,LOYALTY_POINTS,COMPLETED,5.23,0.0,0.0,
TXN-000124,BKG-1086,FLT-1001,PAX-1086,FEB617,1,TICKET_PURCHASE,2025-12-07,1572.62,5771.51,131313.66,INR,DEBIT_CARD,COMPLETED,188.71,98.44,0.0,
TXN-000125,BKG-1086,FLT-1001,PAX-1086,FEB617,1,MEAL_PURCHASE,2025-12-07,33.82,124.12,2823.97,INR,DEBIT_CARD,COMPLETED,1.69,0.0,0.0,
TXN-000126,BKG-1087,FLT-1001,PAX-1087,JUL144,1,TICKET_PURCHASE,2025-10-25,830.92,3049.46,69381.49,AED,VOUCHER,COMPLETED,99.71,97.94,0.0,
TXN-000127,BKG-1088,FLT-1001,PAX-1088,IKD106,1,TICKET_PURCHASE,2025-11-15,1329.02,4877.51,110973.25,EUR,CASH,COMPLETED,159.48,89.82,0.0,
TXN-000128,BKG-1089,FLT-1001,PAX-1089,FTS316,1,TICKET_PURCHASE,2025-12-25,624.04,2290.21,52107.04,EUR,CREDIT_CARD,COMPLETED,74.88,24.11,0.0,
TXN-000129,BKG-1090,FLT-1001,PAX-1090,EIU829,1,TICKET_PURCHASE,2025-11-10,1121.63,4116.37,93655.86,USD,DEBIT_CARD,COMPLETED,134.6,25.93,0.0,
TXN-000130,BKG-1090,FLT-1001,PAX-1090,EIU829,1,MEAL_PURCHASE,2025-11-10,53.0,194.51,4425.4,USD,CREDIT_CARD,COMPLETED,2.65,0.0,0.0,
TXN-000131,BKG-1091,FLT-1001,PAX-1091,MUJ328,1,TICKET_PURCHASE,2025-11-25,1483.57,5444.69,123877.93,GBP,DEBIT_CARD,COMPLETED,178.03,53.29,0.0,
TXN-000132,BKG-1092,FLT-1001,PAX-1092,ZIS633,1,TICKET_PURCHASE,2025-11-14,1074.87,3944.77,89751.6,EUR,BANK_TRANSFER,COMPLETED,128.98,92.68,94.89,PROMO682
TXN-000133,BKG-1093,FLT-1001,PAX-1093,DFV837,1,TICKET_PURCHASE,2025-10-29,1602.15,5879.89,133779.62,AED,VOUCHER,COMPLETED,192.26,79.21,0.0,
TXN-000134,BKG-1093,FLT-1001,PAX-1093,DFV837,1,SEAT_UPGRADE,2025-10-29,72.41,265.73,6045.85,USD,LOYALTY_POINTS,COMPLETED,3.62,0.0,0.0,
TXN-000135,BKG-1094,FLT-1001,PAX-1094,RGS450,1,TICKET_PURCHASE,2026-01-11,372.65,1367.62,31116.21,GBP,CASH,COMPLETED,44.72,20.21,0.0,
