swap_id,flight_id,flight_number,scenario_id,scenario_name,original_aircraft,original_type,swap_aircraft,swap_type,capacity_difference,cargo_difference,crew_change_required,estimated_delay_min,cost_impact_usd,is_available,location,ready_time
SWP-FLT-1018-A6-EYA,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,55,12465,Y,AUH,2026-01-20T22:21:00Z
SWP-FLT-1018-A6-EYB,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,91,43817,Y,AUH,2026-01-20T22:21:00Z
SWP-FLT-1018-A6-EYC,FLT-1018,EY12,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,116,32327,Y,AUH,2026-01-20T21:21:00Z
SWP-FLT-1021-A6-EYB,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,A6-EYA,A380,A6-EYB,A380,0,0,N,55,26767,Y,AUH,2026-01-20T10:48:00Z
SWP-FLT-1021-A6-EYC,FLT-1021,EY639,2,London Fog + Multiple Aircraft AOG,A6-EYA,A380,A6-EYC,A380,0,0,N,86,45329,Y,AUH,2026-01-20T09:48:00Z
SWP-FLT-1022-A6-EYA,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,A6-EYB,A380,A6-EYA,A380,0,0,N,112,15846,Y,AUH,2026-01-20T11:31:00Z
SWP-FLT-1022-A6-EYC,FLT-1022,EY454,2,London Fog + Multiple Aircraft AOG,A6-EYB,A380,A6-EYC,A380,0,0,N,118,22586,Y,AUH,2026-01-20T13:31:00Z
SWP-FLT-1023-A6-EYA,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYM,A350,A6-EYA,A380,166,3000,Y,86,32912,N,AUH,2026-01-21T09:15:00Z
SWP-FLT-1023-A6-EYB,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYM,A350,A6-EYB,A380,166,3000,Y,41,18719,Y,AUH,2026-01-21T10:15:00Z
SWP-FLT-1023-A6-EYC,FLT-1023,EY3105,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYM,A350,A6-EYC,A380,166,3000,Y,43,44014,Y,AUH,2026-01-21T09:15:00Z
SWP-FLT-1024-A6-EYA,FLT-1024,EY472,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,75,38961,N,AUH,2026-01-21T09:14:00Z
SWP-FLT-1024-A6-EYB,FLT-1024,EY472,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,67,14517,Y,AUH,2026-01-21T10:14:00Z
SWP-FLT-1024-A6-EYC,FLT-1024,EY472,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,98,43090,Y,AUH,2026-01-21T12:14:00Z
SWP-FLT-1025-A6-EYA,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYA,A380,310,11800,Y,87,49236,Y,AUH,2026-01-21T12:15:00Z
SWP-FLT-1025-A6-EYB,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYB,A380,310,11800,Y,76,33912,Y,AUH,2026-01-21T13:15:00Z
SWP-FLT-1025-A6-EYC,FLT-1025,EY424,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYC,A380,310,11800,Y,63,28425,Y,AUH,2026-01-21T11:15:00Z
SWP-FLT-1026-A6-EYA,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYA,A380,310,11800,Y,111,27511,Y,AUH,2026-01-21T16:46:00Z
SWP-FLT-1026-A6-EYB,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYB,A380,310,11800,Y,57,34490,Y,AUH,2026-01-21T15:46:00Z
SWP-FLT-1026-A6-EYC,FLT-1026,EY868,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYC,A380,310,11800,Y,86,36489,N,AUH,2026-01-21T14:46:00Z
SWP-FLT-1027-A6-EYA,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,77,13611,N,AUH,2026-01-21T16:51:00Z
SWP-FLT-1027-A6-EYB,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,112,48102,Y,AUH,2026-01-21T16:51:00Z
SWP-FLT-1027-A6-EYC,FLT-1027,EY473,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,31,42882,Y,AUH,2026-01-21T16:51:00Z
SWP-FLT-1028-A6-EYA,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYA,A380,310,11800,Y,53,47509,Y,AUH,2026-01-21T20:03:00Z
SWP-FLT-1028-A6-EYB,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYB,A380,310,11800,Y,81,40081,N,AUH,2026-01-21T17:03:00Z
SWP-FLT-1028-A6-EYC,FLT-1028,EY425,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYN,A321LR,A6-EYC,A380,310,11800,Y,114,19096,Y,AUH,2026-01-21T17:03:00Z
SWP-FLT-1029-A6-EYA,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYA,A380,310,11800,Y,51,27988,N,AUH,2026-01-21T19:12:00Z
SWP-FLT-1029-A6-EYB,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYB,A380,310,11800,Y,103,33486,Y,AUH,2026-01-21T20:12:00Z
SWP-FLT-1029-A6-EYC,FLT-1029,EY869,3,Singapore Thunderstorms + MEL Expiry Cascade,A6-EYO,A321LR,A6-EYC,A380,310,11800,Y,73,19108,N,AUH,2026-01-21T21:12:00Z
SWP-FLT-1031-A6-EYA,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYA,A380,186,4000,Y,107,5422,Y,AUH,2026-01-22T10:10:00Z
SWP-FLT-1031-A6-EYB,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYB,A380,186,4000,Y,80,6502,Y,AUH,2026-01-22T09:10:00Z
SWP-FLT-1031-A6-EYC,FLT-1031,EY2796,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYC,A380,186,4000,Y,75,29737,N,AUH,2026-01-22T07:10:00Z
SWP-FLT-1032-A6-EYA,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYA,A380,186,4000,Y,99,18505,Y,AUH,2026-01-22T11:12:00Z
SWP-FLT-1032-A6-EYB,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYB,A380,186,4000,Y,82,17343,Y,AUH,2026-01-22T10:12:00Z
SWP-FLT-1032-A6-EYC,FLT-1032,EY334,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYC,A380,186,4000,Y,44,11202,Y,AUH,2026-01-22T11:12:00Z
SWP-FLT-1033-A6-EYA,FLT-1033,EY1677,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYA,A380,166,3000,Y,50,6770,Y,AUH,2026-01-22T12:34:00Z
SWP-FLT-1033-A6-EYB,FLT-1033,EY1677,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYB,A380,166,3000,Y,54,19632,Y,AUH,2026-01-22T11:34:00Z
SWP-FLT-1033-A6-EYC,FLT-1033,EY1677,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYC,A380,166,3000,Y,106,37849,Y,AUH,2026-01-22T14:34:00Z
SWP-FLT-1034-A6-EYA,FLT-1034,EY462,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYA,A380,166,3000,Y,108,40376,Y,AUH,2026-01-22T13:30:00Z
SWP-FLT-1034-A6-EYB,FLT-1034,EY462,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYB,A380,166,3000,Y,105,40255,Y,AUH,2026-01-22T13:30:00Z
SWP-FLT-1034-A6-EYC,FLT-1034,EY462,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYC,A380,166,3000,Y,52,15070,Y,AUH,2026-01-22T14:30:00Z
SWP-FLT-1035-A6-EYA,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYA,A380,186,4000,Y,56,49338,Y,AUH,2026-01-22T18:05:00Z
SWP-FLT-1035-A6-EYB,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYB,A380,186,4000,Y,90,7429,Y,AUH,2026-01-22T15:05:00Z
SWP-FLT-1035-A6-EYC,FLT-1035,EY2797,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYI,B787-10,A6-EYC,A380,186,4000,Y,45,5965,Y,AUH,2026-01-22T18:05:00Z
SWP-FLT-1036-A6-EYA,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYA,A380,186,4000,Y,89,14670,N,AUH,2026-01-22T19:05:00Z
SWP-FLT-1036-A6-EYB,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYB,A380,186,4000,Y,39,37157,Y,AUH,2026-01-22T18:05:00Z
SWP-FLT-1036-A6-EYC,FLT-1036,EY335,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYJ,B787-10,A6-EYC,A380,186,4000,Y,108,35749,Y,AUH,2026-01-22T20:05:00Z
SWP-FLT-1037-A6-EYA,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYA,A380,166,3000,Y,88,10575,Y,AUH,2026-01-22T19:13:00Z
SWP-FLT-1037-A6-EYB,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYB,A380,166,3000,Y,81,23128,Y,AUH,2026-01-22T19:13:00Z
SWP-FLT-1037-A6-EYC,FLT-1037,EY1678,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYK,A350,A6-EYC,A380,166,3000,Y,112,22368,Y,AUH,2026-01-22T19:13:00Z
SWP-FLT-1038-A6-EYA,FLT-1038,EY463,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYA,A380,166,3000,Y,37,9162,Y,AUH,2026-01-22T23:08:00Z
SWP-FLT-1038-A6-EYB,FLT-1038,EY463,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYB,A380,166,3000,Y,67,25736,Y,AUH,2026-01-22T21:08:00Z
SWP-FLT-1038-A6-EYC,FLT-1038,EY463,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,A6-EYL,A350,A6-EYC,A380,166,3000,Y,39,18842,Y,AUH,2026-01-23T00:08:00Z
SWP-FLT-1039-A6-EYA,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYA,A380,166,3000,Y,74,33012,Y,AUH,2026-01-23T07:53:00Z
SWP-FLT-1039-A6-EYB,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYB,A380,166,3000,Y,111,29857,Y,AUH,2026-01-23T07:53:00Z
SWP-FLT-1039-A6-EYC,FLT-1039,EY8396,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYC,A380,166,3000,Y,79,24688,Y,AUH,2026-01-23T09:53:00Z
SWP-FLT-1040-A6-EYA,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYA,A380,310,11800,Y,67,28911,Y,AUH,2026-01-23T10:19:00Z
SWP-FLT-1040-A6-EYB,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYB,A380,310,11800,Y,42,9450,Y,AUH,2026-01-23T09:19:00Z
SWP-FLT-1040-A6-EYC,FLT-1040,EY4943,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYC,A380,310,11800,Y,119,31607,Y,AUH,2026-01-23T11:19:00Z
SWP-FLT-1041-A6-EYB,FLT-1041,EY912,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYA,A380,A6-EYB,A380,0,0,N,57,18488,Y,AUH,2026-01-23T13:18:00Z
SWP-FLT-1041-A6-EYC,FLT-1041,EY912,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYA,A380,A6-EYC,A380,0,0,N,43,27357,Y,AUH,2026-01-23T14:18:00Z
SWP-FLT-1042-A6-EYA,FLT-1042,EY639,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYB,A380,A6-EYA,A380,0,0,N,36,41554,Y,AUH,2026-01-23T14:40:00Z
SWP-FLT-1042-A6-EYC,FLT-1042,EY639,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYB,A380,A6-EYC,A380,0,0,N,35,37645,Y,AUH,2026-01-23T14:40:00Z
SWP-FLT-1043-A6-EYA,FLT-1043,EY432,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYA,A380,186,4000,Y,67,22675,Y,AUH,2026-01-23T15:05:00Z
SWP-FLT-1043-A6-EYB,FLT-1043,EY432,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYB,A380,186,4000,Y,98,34205,Y,AUH,2026-01-23T17:05:00Z
SWP-FLT-1043-A6-EYC,FLT-1043,EY432,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYC,A380,186,4000,Y,31,7765,Y,AUH,2026-01-23T17:05:00Z
SWP-FLT-1044-A6-EYA,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYG,B787-10,A6-EYA,A380,186,4000,Y,46,22185,Y,AUH,2026-01-23T20:21:00Z
SWP-FLT-1044-A6-EYB,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYG,B787-10,A6-EYB,A380,186,4000,Y,88,26330,N,AUH,2026-01-23T17:21:00Z
SWP-FLT-1044-A6-EYC,FLT-1044,EY8184,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYG,B787-10,A6-EYC,A380,186,4000,Y,78,38524,Y,AUH,2026-01-23T18:21:00Z
SWP-FLT-1045-A6-EYA,FLT-1045,EY1202,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,87,46126,Y,AUH,2026-01-23T19:28:00Z
SWP-FLT-1045-A6-EYB,FLT-1045,EY1202,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,97,24627,Y,AUH,2026-01-23T21:28:00Z
SWP-FLT-1045-A6-EYC,FLT-1045,EY1202,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,104,44882,Y,AUH,2026-01-23T21:28:00Z
SWP-FLT-1046-A6-EYA,FLT-1046,EY170,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYQ,A320,A6-EYA,A380,336,12500,Y,45,12068,N,AUH,2026-01-23T22:56:00Z
SWP-FLT-1046-A6-EYB,FLT-1046,EY170,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYQ,A320,A6-EYB,A380,336,12500,Y,34,27756,N,AUH,2026-01-23T22:56:00Z
SWP-FLT-1046-A6-EYC,FLT-1046,EY170,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYQ,A320,A6-EYC,A380,336,12500,Y,42,38869,Y,AUH,2026-01-23T22:56:00Z
SWP-FLT-1047-A6-EYA,FLT-1047,EY8397,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYA,A380,166,3000,Y,95,26529,Y,AUH,2026-01-24T00:37:00Z
SWP-FLT-1047-A6-EYB,FLT-1047,EY8397,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYB,A380,166,3000,Y,89,42558,Y,AUH,2026-01-24T02:37:00Z
SWP-FLT-1047-A6-EYC,FLT-1047,EY8397,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYM,A350,A6-EYC,A380,166,3000,Y,76,11044,Y,AUH,2026-01-24T01:37:00Z
SWP-FLT-1048-A6-EYA,FLT-1048,EY4944,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYA,A380,310,11800,Y,68,46927,N,AUH,2026-01-23T07:42:00Z
SWP-FLT-1048-A6-EYB,FLT-1048,EY4944,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYB,A380,310,11800,Y,120,7795,Y,AUH,2026-01-23T07:42:00Z
SWP-FLT-1048-A6-EYC,FLT-1048,EY4944,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYN,A321LR,A6-EYC,A380,310,11800,Y,113,10395,Y,AUH,2026-01-23T09:42:00Z
SWP-FLT-1049-A6-EYB,FLT-1049,EY913,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYA,A380,A6-EYB,A380,0,0,N,64,9319,Y,AUH,2026-01-23T11:09:00Z
SWP-FLT-1049-A6-EYC,FLT-1049,EY913,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYA,A380,A6-EYC,A380,0,0,N,63,30142,Y,AUH,2026-01-23T12:09:00Z
SWP-FLT-1050-A6-EYA,FLT-1050,EY433,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYA,A380,186,4000,Y,69,47832,N,AUH,2026-01-23T13:01:00Z
SWP-FLT-1050-A6-EYB,FLT-1050,EY433,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYB,A380,186,4000,Y,115,23261,Y,AUH,2026-01-23T11:01:00Z
SWP-FLT-1050-A6-EYC,FLT-1050,EY433,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYF,B787-10,A6-EYC,A380,186,4000,Y,103,26647,Y,AUH,2026-01-23T14:01:00Z
SWP-FLT-1051-A6-EYA,FLT-1051,EY1203,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,101,5864,Y,AUH,2026-01-23T14:51:00Z
SWP-FLT-1051-A6-EYB,FLT-1051,EY1203,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,107,37822,N,AUH,2026-01-23T14:51:00Z
SWP-FLT-1051-A6-EYC,FLT-1051,EY1203,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,72,9872,Y,AUH,2026-01-23T16:51:00Z
SWP-FLT-1052-A6-EYA,FLT-1052,EY171,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,A6-EYQ,A320,A6-EYA,A380,336,12500,Y,48,7479,Y,AUH,2026-01-23T18:50:00Z
