matrix_id,scenario_type,recovery_option,aircraft_type,delay_duration_min,estimated_hard_cost_aed,estimated_soft_cost_aed,total_cost_aed,pax_impact_count,nps_impact,cargo_risk,crew_impact,network_propagation_risk,recommended_threshold,notes
RCM-045,DIVERSION,MEDICAL_DIVERSION,B787,120,45000,30000,75000,299,MEDIUM,HIGH,LOW,HIGH,MANDATORY,Safety first
RCM-046,DIVERSION,MEDICAL_DIVERSION,A380,120,90000,60000,150000,496,MEDIUM,SEVERE,LOW,SEVERE,MANDATORY,Safety first
RCM-047,DIVERSION,WEATHER_DIVERSION,A321,90,21000,13500,34500,190,MEDIUM,MEDIUM,LOW,MEDIUM,IF_REQUIRED,Alternate airport
RCM-048,DIVERSION,WEATHER_DIVERSION,B787,90,45000,22500,67500,299,MEDIUM,HIGH,LOW,HIGH,IF_REQUIRED,Alternate airport
RCM-049,DIVERSION,WEATHER_DIVERSION,A380,90,90000,45000,135000,496,MEDIUM,SEVERE,LOW,SEVERE,IF_REQUIRED,Alternate airport
RCM-050,SLOT_CURFEW,CURFEW_EXCEPTION,ALL,0,10800,0,10800,0,NONE,NONE,NONE,NONE,IF_APPROVED,Average fee
RCM-051,SLOT_CURFEW,OVERNIGHT_DELAY,ALL,720,43200,108000,151200,0,SEVERE,SEVERE,HIGH,SEVERE,AVOID,Next day departure
RCM-052,SLOT_CURFEW,CANCEL_REBOOK,ALL,0,75000,187500,262500,0,SEVERE,SEVERE,NONE,HIGH,LAST_RESORT,Full cancellation
RCM-053,NETWORK,GROUND_TIME_COMPRESS,ALL,0,1200,0,1200,0,NONE,NONE,NONE,LOW,PREFERRED,Reduce turnaround
RCM-054,NETWORK,FLIGHT_RETIMING,ALL,30,1800,2250,4050,0,LOW,LOW,NONE,LOW,PREFERRED,Adjust schedule
RCM-055,NETWORK,TAIL_SWAP,ALL,45,9000,3375,12375,0,LOW,LOW,LOW,LOW,PREFERRED,Rotation swap
RCM-056,NETWORK,FERRY_POSITIONING,A321,120,9000,0,9000,0,NONE,NONE,NONE,MEDIUM,IF_REQUIRED,Empty leg
RCM-057,NETWORK,FERRY_POSITIONING,B787,120,27000,0,27000,0,NONE,NONE,NONE,MEDIUM,IF_REQUIRED,Empty leg
RCM-058,NETWORK,FERRY_POSITIONING,A380,120,51000,0,51000,0,NONE,NONE,NONE,MEDIUM,IF_REQUIRED,Empty leg
