weather_id,airport_code,airport_name,observation_time_utc,condition,temperature_c,wind_speed_kts,wind_direction,visibility_m,ceiling_ft,precipitation,is_operational,runway_condition,metar
WX-0015,BKK,Suvarnabhumi Airport,2026-01-29 18:00:00,CLEAR,31,7,045,10000,99999,NONE,True,DRY,METAR BKK 291800Z 007KT 10000M CLEAR
WX-0016,BKK,Suvarnabhumi Airport,2026-01-30 00:00:00,RAIN,29,25,180,5000,3000,LIGHT_RAIN,True,WET,METAR BKK 300000Z 025KT 5000M RAIN
WX-0017,BKK,Suvarnabhumi Airport,2026-01-30 06:00:00,TYPHOON,27,85,200,500,200,HEAVY_RAIN,False,WET,METAR BKK 300600Z 085KT 500M TYPHOON
WX-0018,BKK,Suvarnabhumi Airport,2026-01-30 09:00:00,TYPHOON,26,90,210,500,200,HEAVY_RAIN,False,WET,METAR BKK 300900Z 090KT 500M TYPHOON
WX-0019,BKK,Suvarnabhumi Airport,2026-01-30 12:00:00,TYPHOON,27,82,195,500,200,HEAVY_RAIN,False,WET,METAR BKK 301200Z 082KT 500M TYPHOON
WX-0020,BKK,Suvarnabhumi Airport,2026-01-30 15:00:00,RAIN,28,45,180,2000,1000,MODERATE_RAIN,True,WET,METAR BKK 301500Z 045KT 2000M RAIN
WX-0021,BKK,Suvarnabhumi Airport,2026-01-30 18:00:00,RAIN,29,30,165,4000,2000,LIGHT_RAIN,True,WET,METAR BKK 301800Z 030KT 4000M RAIN
WX-0022,BKK,Suvarnabhumi Airport,2026-01-30 21:00:00,CLOUDY,30,15,150,8000,5000,NONE,True,WET,METAR BKK 302100Z 015KT 8000M CLOUDY
WX-0023,LHR,London Heathrow,2026-01-29 00:00:00,CLOUDY,5,12,270,8000,3000,NONE,True,DRY,METAR LHR 290000Z 012KT 8000M CLOUDY
WX-0024,LHR,London Heathrow,2026-01-29 06:00:00,CLOUDY,4,10,260,6000,2500,NONE,True,DRY,METAR LHR 290600Z 010KT 6000M CLOUDY
WX-0025,LHR,London Heathrow,2026-01-29 12:00:00,CLOUDY,7,14,280,10000,4000,NONE,True,DRY,METAR LHR 291200Z 014KT 10000M CLOUDY
WX-0026,LHR,London Heathrow,2026-01-29 18:00:00,CLOUDY,6,11,275,8000,3500,NONE,True,DRY,METAR LHR 291800Z 011KT 8000M CLOUDY
WX-0027,LHR,London Heathrow,2026-01-30 00:00:00,MIST,3,5,250,2000,500,MIST,True,WET,METAR LHR 300000Z 005KT 2000M MIST
WX-0028,LHR,London Heathrow,2026-01-30 06:00:00,FOG,2,3,240,100,50,MIST,False,WET,METAR LHR 300600Z 003KT 100M FOG
WX-0029,LHR,London Heathrow,2026-01-30 09:00:00,FOG,2,3,235,100,50,MIST,False,WET,METAR LHR 300900Z 003KT 100M FOG
WX-0030,LHR,London Heathrow,2026-01-30 12:00:00,FOG,4,4,245,100,50,MIST,False,WET,METAR LHR 301200Z 004KT 100M FOG
WX-0031,LHR,London Heathrow,2026-01-30 15:00:00,MIST,5,6,260,1500,300,MIST,True,WET,METAR LHR 301500Z 006KT 1500M MIST
WX-0032,LHR,London Heathrow,2026-01-30 18:00:00,CLOUDY,6,10,270,5000,2000,NONE,True,DRY,METAR LHR 301800Z 010KT 5000M CLOUDY
WX-0033,LHR,London Heathrow,2026-01-30 21:00:00,CLOUDY,5,8,265,8000,3000,NONE,True,DRY,METAR LHR 302100Z 008KT 8000M CLOUDY
WX-0034,SIN,Singapore Changi,2026-01-29 00:00:00,CLEAR,29,6,045,10000,99999,NONE,True,DRY,METAR SIN 290000Z 006KT 10000M CLEAR
WX-0035,SIN,Singapore Changi,2026-01-29 06:00:00,CLEAR,28,5,090,10000,99999,NONE,True,DRY,METAR SIN 290600Z 005KT 10000M CLEAR
WX-0036,SIN,Singapore Changi,2026-01-29 12:00:00,CLOUDY,32,8,135,10000,5000,NONE,True,DRY,METAR SIN 291200Z 008KT 10000M CLOUDY
WX-0037,SIN,Singapore Changi,2026-01-29 18:00:00,CLEAR,30,7,180,10000,99999,NONE,True,DRY,METAR SIN 291800Z 007KT 10000M CLEAR
WX-0038,SIN,Singapore Changi,2026-01-30 00:00:00,CLOUDY,29,10,090,8000,4000,NONE,True,DRY,METAR SIN 300000Z 010KT 8000M CLOUDY
WX-0039,SIN,Singapore Changi,2026-01-30 06:00:00,CLOUDY,28,12,120,6000,3000,NONE,True,DRY,METAR SIN 300600Z 012KT 6000M CLOUDY
WX-0040,SIN,Singapore Changi,2026-01-30 12:00:00,THUNDERSTORM,30,45,150,2000,1000,HEAVY_RAIN,True,WET,METAR SIN 301200Z 045KT 2000M THUNDERSTORM
WX-0041,SIN,Singapore Changi,2026-01-30 15:00:00,THUNDERSTORM,29,50,165,2000,1000,HEAVY_RAIN,True,WET,METAR SIN 301500Z 050KT 2000M THUNDERSTORM
WX-0042,SIN,Singapore Changi,2026-01-30 18:00:00,THUNDERSTORM,28,42,180,2000,1000,HEAVY_RAIN,True,WET,METAR SIN 301800Z 042KT 2000M THUNDERSTORM
WX-0043,SIN,Singapore Changi,2026-01-30 21:00:00,RAIN,29,20,195,5000,2500,MODERATE_RAIN,True,WET,METAR SIN 302100Z 020KT 5000M RAIN
WX-0044,CDG,Paris Charles de Gaulle,2026-01-29 00:00:00,CLOUDY,2,15,300,8000,3000,NONE,True,DRY,METAR CDG 290000Z 015KT 8000M CLOUDY
WX-0045,CDG,Paris Charles de Gaulle,2026-01-29 06:00:00,CLOUDY,0,12,290,6000,2500,NONE,True,DRY,METAR CDG 290600Z 012KT 6000M CLOUDY
WX-0046,CDG,Paris Charles de Gaulle,2026-01-29 12:00:00,CLOUDY,4,18,310,10000,4000,NONE,True,DRY,METAR CDG 291200Z 018KT 10000M CLOUDY
WX-0047,CDG,Paris Charles de Gaulle,2026-01-29 18:00:00,CLOUDY,3,14,305,8000,3500,NONE,True,DRY,METAR CDG 291800Z 014KT 8000M CLOUDY
WX-0048,CDG,Paris Charles de Gaulle,2026-01-30 00:00:00,SNOW,-2,25,320,3000,1000,LIGHT_SNOW,True,WET,METAR CDG 300000Z 025KT 3000M SNOW
WX-0049,CDG,Paris Charles de Gaulle,2026-01-30 06:00:00,SNOW_STORM,-5,55,330,800,300,HEAVY_SNOW,False,WET,METAR CDG 300600Z 055KT 800M SNOW_STORM
WX-0050,CDG,Paris Charles de Gaulle,2026-01-30 09:00:00,SNOW_STORM,-5,58,335,800,300,HEAVY_SNOW,False,WET,METAR CDG 300900Z 058KT 800M SNOW_STORM

WX-0051,CDG,Paris Charles de Gaulle,2026-01-30 12:00:00,SNOW_STORM,-4,52,340,800,300,HEAVY_SNOW,False,WET,METAR CDG 301200Z 052KT 800M SNOW_STORM
WX-0052,CDG,Paris Charles de Gaulle,2026-01-30 15:00:00,SNOW_STORM,-3,48,345,800,300,HEAVY_SNOW,False,WET,METAR CDG 301500Z 048KT 800M SNOW_STORM
WX-0053,CDG,Paris Charles de Gaulle,2026-01-30 18:00:00,SNOW,-2,30,350,2000,800,MODERATE_SNOW,True,WET,METAR CDG 301800Z 030KT 2000M SNOW
WX-0054,CDG,Paris Charles de Gaulle,2026-01-30 21:00:00,SNOW,-3,22,355,4000,1500,LIGHT_SNOW,True,WET,METAR CDG 302100Z 022KT 4000M SNOW
WX-0055,FRA,Frankfurt Airport,2026-01-29 00:00:00,CLOUDY,3,14,280,8000,3500,NONE,True,DRY,METAR FRA 290000Z 014KT 8000M CLOUDY
WX-0056,FRA,Frankfurt Airport,2026-01-29 12:00:00,CLOUDY,5,16,290,10000,4000,NONE,True,DRY,METAR FRA 291200Z 016KT 10000M CLOUDY
WX-0057,FRA,Frankfurt Airport,2026-01-30 00:00:00,CLOUDY,1,18,300,6000,2500,NONE,True,DRY,METAR FRA 300000Z 018KT 6000M CLOUDY
WX-0058,FRA,Frankfurt Airport,2026-01-30 12:00:00,SNOW,-1,25,310,3000,1200,LIGHT_SNOW,True,WET,METAR FRA 301200Z 025KT 3000M SNOW
WX-0059,JFK,John F Kennedy International,2026-01-29 00:00:00,CLEAR,-2,18,315,10000,99999,NONE,True,DRY,METAR JFK 290000Z 018KT 10000M CLEAR
WX-0060,JFK,John F Kennedy International,2026-01-29 12:00:00,CLEAR,2,15,300,10000,99999,NONE,True,DRY,METAR JFK 291200Z 015KT 10000M CLEAR
WX-0061,JFK,John F Kennedy International,2026-01-30 00:00:00,CLOUDY,0,20,320,8000,4000,NONE,True,DRY,METAR JFK 300000Z 020KT 8000M CLOUDY
WX-0062,JFK,John F Kennedy International,2026-01-30 12:00:00,CLOUDY,3,18,310,10000,5000,NONE,True,DRY,METAR JFK 301200Z 018KT 10000M CLOUDY
WX-0063,DEL,Indira Gandhi International,2026-01-29 00:00:00,CLEAR,15,8,045,10000,99999,NONE,True,DRY,METAR DEL 290000Z 008KT 10000M CLEAR
WX-0064,DEL,Indira Gandhi International,2026-01-29 12:00:00,CLEAR,22,10,090,10000,99999,NONE,True,DRY,METAR DEL 291200Z 010KT 10000M CLEAR
WX-0065,DEL,Indira Gandhi International,2026-01-30 00:00:00,HAZE,14,6,060,6000,99999,NONE,True,DRY,METAR DEL 300000Z 006KT 6000M HAZE
WX-0066,DEL,Indira Gandhi International,2026-01-30 12:00:00,CLEAR,23,12,120,10000,99999,NONE,True,DRY,METAR DEL 301200Z 012KT 10000M CLEAR
WX-0067,SYD,Sydney Kingsford Smith,2026-01-29 00:00:00,CLEAR,25,12,180,10000,99999,NONE,True,DRY,METAR SYD 290000Z 012KT 10000M CLEAR
WX-0068,SYD,Sydney Kingsford Smith,2026-01-29 12:00:00,CLEAR,28,15,200,10000,99999,NONE,True,DRY,METAR SYD 291200Z 015KT 10000M CLEAR
WX-0069,SYD,Sydney Kingsford Smith,2026-01-30 00:00:00,CLEAR,24,10,170,10000,99999,NONE,True,DRY,METAR SYD 300000Z 010KT 10000M CLEAR
WX-0070,SYD,Sydney Kingsford Smith,2026-01-30 12:00:00,CLEAR,27,14,190,10000,99999,NONE,True,DRY,METAR SYD 301200Z 014KT 10000M CLEAR
WX-0071,CAI,Cairo International,2026-01-29 00:00:00,CLEAR,18,10,045,10000,99999,NONE,True,DRY,METAR CAI 290000Z 010KT 10000M CLEAR
WX-0072,CAI,Cairo International,2026-01-29 12:00:00,CLEAR,24,12,090,10000,99999,NONE,True,DRY,METAR CAI 291200Z 012KT 10000M CLEAR
WX-0073,CAI,Cairo International,2026-01-30 00:00:00,CLEAR,17,8,060,10000,99999,NONE,True,DRY,METAR CAI 300000Z 008KT 10000M CLEAR
WX-0074,CAI,Cairo International,2026-01-30 12:00:00,CLEAR,25,14,120,10000,99999,NONE,True,DRY,METAR CAI 301200Z 014KT 10000M CLEAR
WX-0075,FCO,Rome Fiumicino,2026-01-29 00:00:00,CLOUDY,8,12,270,8000,4000,NONE,True,DRY,METAR FCO 290000Z 012KT 8000M CLOUDY
WX-0076,FCO,Rome Fiumicino,2026-01-29 12:00:00,CLOUDY,12,14,290,10000,5000,NONE,True,DRY,METAR FCO 291200Z 014KT 10000M CLOUDY
WX-0077,FCO,Rome Fiumicino,2026-01-30 00:00:00,CLOUDY,7,10,260,8000,3500,NONE,True,DRY,METAR FCO 300000Z 010KT 8000M CLOUDY
WX-0078,FCO,Rome Fiumicino,2026-01-30 12:00:00,CLOUDY,11,16,280,10000,4500,NONE,True,DRY,METAR FCO 301200Z 016KT 10000M CLOUDY
WX-0079,DOH,Hamad International,2026-01-29 00:00:00,CLEAR,22,10,045,10000,99999,NONE,True,DRY,METAR DOH 290000Z 010KT 10000M CLEAR
WX-0080,DOH,Hamad International,2026-01-29 12:00:00,CLEAR,28,12,090,10000,99999,NONE,True,DRY,METAR DOH 291200Z 012KT 10000M CLEAR
WX-0081,DOH,Hamad International,2026-01-30 00:00:00,CLEAR,21,8,060,10000,99999,NONE,True,DRY,METAR DOH 300000Z 008KT 10000M CLEAR
WX-0082,DOH,Hamad International,2026-01-30 12:00:00,HAZE,27,15,120,6000,99999,NONE,True,DRY,METAR DOH 301200Z 015KT 6000M HAZE
WX-0083,MCT,Muscat International,2026-01-29 00:00:00,CLEAR,23,8,045,10000,99999,NONE,True,DRY,METAR MCT 290000Z 008KT 10000M CLEAR
WX-0084,MCT,Muscat International,2026-01-29 12:00:00,CLEAR,28,10,090,10000,99999,NONE,True,DRY,METAR MCT 291200Z 010KT 10000M CLEAR
WX-0085,MCT,Muscat International,2026-01-30 00:00:00,CLEAR,22,6,060,10000,99999,NONE,True,DRY,METAR MCT 300000Z 006KT 10000M CLEAR
WX-0086,MCT,Muscat International,2026-01-30 12:00:00,CLEAR,27,12,120,10000,99999,NONE,True,DRY,METAR MCT 301200Z 012KT 10000M CLEAR
