constraint_id,category,constraint_code,description,min_value,max_value,unit,applies_to,is_waivable,waiver_authority,regulatory_reference,violation_severity,penalty_description,notes
SAFE-038,AIRPORT_OPS,CURFEW_LHR,London Heathrow Curfew,23.5,6,hours,AIRPORT,True,Airport Authority,Airport Rules,HIGH,Curfew violation fine,£15000 per movement
SAFE-039,AIRPORT_OPS,CURFEW_FRA,Frankfurt Curfew,23,5,hours,AIRPORT,True,Airport Authority,Airport Rules,HIGH,Curfew violation fine,€12000 per movement
SAFE-040,AIRPORT_OPS,CURFEW_CDG,Paris CDG Curfew,0,5.5,hours,AIRPORT,True,Airport Authority,Airport Rules,HIGH,Curfew violation fine,€18000 per movement
SAFE-041,AIRPORT_OPS,CURFEW_SYD,Sydney Curfew,23,6,hours,AIRPORT,True,Airport Authority,Airport Rules,HIGH,Curfew violation fine,AUD20000 per movement
SAFE-042,AIRPORT_OPS,SLOT_TOLERANCE,Slot Time Tolerance,,,15,minutes,AIRPORT,False,,Slot Regulations,MEDIUM,Slot misuse penalty,IATA WSG
SAFE-043,AIRPORT_OPS,SLOT_RETENTION,Slot Retention Threshold,80,,percent,AIRPORT,False,,Slot Regulations,HIGH,Risk of slot loss,Use-it-or-lose-it
SAFE-044,AIRSPACE,CTOT_COMPLIANCE,CTOT Compliance Window,,,15,minutes,FLIGHT,False,,EUROCONTROL,MEDIUM,New slot required,Of assigned CTOT
SAFE-045,AIRSPACE,GDP_COMPLIANCE,Ground Delay Program,,,0,boolean,FLIGHT,False,,FAA ATCSCC,HIGH,Must comply,US airspace
SAFE-046,AIRSPACE,GROUND_STOP,Ground Stop Compliance,,,0,boolean,FLIGHT,False,,FAA ATCSCC,CRITICAL,No departures,US airspace
SAFE-047,AIRSPACE,EDCT_COMPLIANCE,EDCT Compliance,,,5,minutes,FLIGHT,False,,FAA ATCSCC,MEDIUM,Of assigned time,Expected Departure Clearance Time
SAFE-048,DANGEROUS_GOODS,DG_ACCEPTANCE,DG Acceptance Check,,,0,boolean,CARGO,False,,IATA DGR,CRITICAL,Cannot accept,Shipper declaration required
SAFE-049,DANGEROUS_GOODS,DG_SEGREGATION,DG Segregation Rules,,,0,boolean,CARGO,False,,IATA DGR,CRITICAL,Incompatible goods,Class-specific rules
SAFE-050,DANGEROUS_GOODS,DG_PILOT_NOTIF,DG Pilot Notification,,,0,boolean,FLIGHT,False,,IATA DGR,HIGH,NOTOC required,Before departure
SAFE-051,LIVE_ANIMALS,LAR_COMPLIANCE,Live Animal Regulations,,,0,boolean,CARGO,False,,IATA LAR,HIGH,Welfare requirements,Species-specific
SAFE-052,LIVE_ANIMALS,LAR_TEMP_RANGE,Live Animal Temperature,15,25,celsius,CARGO,False,,IATA LAR,HIGH,Must maintain range,Hold temperature
SAFE-053,LIVE_ANIMALS,LAR_MAX_DELAY,Live Animal Max Delay,,,6,hours,CARGO,True,Cargo Manager,IATA LAR,HIGH,Welfare intervention,Feeding/watering required
SAFE-054,SECURITY,SECURITY_SCREENING,Passenger Screening,,,0,boolean,PASSENGER,False,,TSA/ECAC,CRITICAL,Cannot board,100% screening
SAFE-055,SECURITY,BAGGAGE_RECONCILIATION,Baggage Reconciliation,,,0,boolean,FLIGHT,False,,ICAO Annex 17,CRITICAL,Cannot depart,Positive bag match
SAFE-056,SECURITY,CREW_BACKGROUND,Crew Background Check,,,0,boolean,CREW,False,,TSA/ECAC,CRITICAL,Cannot operate,Valid clearance
SAFE-057,WEIGHT_BALANCE,MAX_TAKEOFF_WEIGHT,Maximum Takeoff Weight,,,0,kg,AIRCRAFT,False,,AFM,CRITICAL,Cannot dispatch,Type-specific
SAFE-058,WEIGHT_BALANCE,MAX_LANDING_WEIGHT,Maximum Landing Weight,,,0,kg,AIRCRAFT,False,,AFM,CRITICAL,May require fuel burn,Type-specific
SAFE-059,WEIGHT_BALANCE,CG_LIMITS,Center of Gravity Limits,,,0,percent_mac,AIRCRAFT,False,,AFM,CRITICAL,Load adjustment required,Forward/aft limits
SAFE-060,WEATHER_MINS,TAKEOFF_VISIBILITY,Takeoff Visibility Minimum,,,0,meters,FLIGHT,False,,Ops Specs,HIGH,Cannot depart,RVR-based
SAFE-061,WEATHER_MINS,LANDING_VISIBILITY,Landing Visibility Minimum,,,0,meters,FLIGHT,False,,Ops Specs,HIGH,Cannot land,CAT I/II/III dependent
SAFE-062,WEATHER_MINS,CROSSWIND_LIMIT,Maximum Crosswind Component,,,0,knots,FLIGHT,False,,AFM,HIGH,Cannot operate,Type-specific
SAFE-063,WEATHER_MINS,TAILWIND_LIMIT,Maximum Tailwind Component,,,15,knots,FLIGHT,False,,AFM,HIGH,Runway change required,Standard limit
SAFE-064,INTERNATIONAL,BILATERAL_RIGHTS,Bilateral Agreement Required,,,0,boolean,FLIGHT,False,,Air Services Agreement,CRITICAL,Cannot operate route,Country-specific
SAFE-065,INTERNATIONAL,FIFTH_FREEDOM,Fifth Freedom Rights,,,0,boolean,FLIGHT,False,,Air Services Agreement,HIGH,Route restriction,Traffic rights
SAFE-066,INTERNATIONAL,CABOTAGE,Cabotage Restriction,,,0,boolean,FLIGHT,False,,National Law,CRITICAL,Cannot carry domestic,Country-specific
SAFE-067,INTERNATIONAL,OVERFLIGHT_PERMIT,Overflight Permit Required,,,0,boolean,FLIGHT,False,,National Law,HIGH,Route deviation required,Country-specific
SAFE-068,EMERGENCY,EMERGENCY_EQUIPMENT,Emergency Equipment Check,,,0,boolean,AIRCRAFT,False,,14 CFR Part 121,CRITICAL,Cannot dispatch,Life vests/rafts/ELT
SAFE-069,EMERGENCY,OXYGEN_SUPPLY,Oxygen Supply Minimum,,,0,minutes,AIRCRAFT,False,,14 CFR Part 121,CRITICAL,Cannot dispatch,Altitude-dependent
SAFE-070,EMERGENCY,FIRE_SUPPRESSION,Fire Suppression System,,,0,boolean,AIRCRAFT,False,,14 CFR Part 121,CRITICAL,Cannot dispatch,Cargo hold requirement
