shipment_id,awb_number,flight_id,flight_number,aircraft_registration,origin,destination,cargo_type,weight_kg,volume_cbm,pieces,is_temperature_sensitive,required_temp_min_c,required_temp_max_c,is_dangerous_goods,dg_class,priority,status,shipper_name,consignee_name
SHP-70019,607-10000019,FLT-1019,EY25,A6-BLE,AUH,LHR,Perishable,500,2.99,6,True,2,8,False,,Express,BOOKED,Shipper_119,Consignee_219
SHP-70020,607-10000020,FLT-1020,EY26,A6-BLE,LHR,AUH,General,1400,8.38,11,False,,,False,,Standard,BOOKED,Shipper_120,Consignee_220
SHP-70021,607-10000021,FLT-1023,EY472,A6-BLB,AUH,SIN,General,1300,7.78,10,False,,,False,,Standard,BOOKED,Shipper_121,Consignee_221
SHP-70022,607-10000022,FLT-1023,EY472,A6-BLB,AUH,SIN,Pharmaceutical,350,2.10,7,True,-20,8,False,,Critical,BOOKED,Shipper_122,Consignee_222
SHP-70023,607-10000023,FLT-1023,EY472,A6-BLB,AUH,SIN,Dangerous Goods,100,0.60,2,False,,,True,2,Standard,BOOKED,Shipper_123,Consignee_223
SHP-70024,607-10000024,FLT-1024,EY473,A6-BLB,SIN,AUH,General,1100,6.59,9,False,,,False,,Standard,BOOKED,Shipper_124,Consignee_224
SHP-70025,607-10000025,FLT-1027,EY424,A6-BLC,AUH,SIN,General,1250,7.49,10,False,,,False,,Standard,BOOKED,Shipper_125,Consignee_225
SHP-70026,607-10000026,FLT-1027,EY424,A6-BLC,AUH,SIN,Perishable,600,3.59,7,True,2,8,False,,Express,BOOKED,Shipper_126,Consignee_226
SHP-70027,607-10000027,FLT-1028,EY425,A6-BLC,SIN,AUH,General,1050,6.29,8,False,,,False,,Standard,BOOKED,Shipper_127,Consignee_227
SHP-70028,607-10000028,FLT-1031,EY31,A6-EYA,AUH,CDG,General,1800,10.78,14,False,,,False,,Standard,BOOKED,Shipper_128,Consignee_228
SHP-70029,607-10000029,FLT-1031,EY31,A6-EYA,AUH,CDG,Pharmaceutical,280,1.68,5,True,-20,8,False,,Critical,BOOKED,Shipper_129,Consignee_229
SHP-70030,607-10000030,FLT-1031,EY31,A6-EYA,AUH,CDG,Perishable,900,5.39,9,True,2,8,False,,Express,BOOKED,Shipper_130,Consignee_230
SHP-70031,607-10000031,FLT-1032,EY32,A6-EYA,CDG,AUH,General,1650,9.88,13,False,,,False,,Standard,BOOKED,Shipper_131,Consignee_231
SHP-70032,607-10000032,FLT-1032,EY32,A6-EYA,CDG,AUH,Valuable,120,0.72,4,False,,,False,,Critical,BOOKED,Shipper_132,Consignee_232
SHP-70033,607-10000033,FLT-1035,EY37,A6-EYB,AUH,CDG,General,1700,10.18,13,False,,,False,,Standard,BOOKED,Shipper_133,Consignee_233
SHP-70034,607-10000034,FLT-1035,EY37,A6-EYB,AUH,CDG,Dangerous Goods,180,1.08,5,False,,,True,4,Standard,BOOKED,Shipper_134,Consignee_234
SHP-70035,607-10000035,FLT-1036,EY38,A6-EYB,CDG,AUH,General,1550,9.28,12,False,,,False,,Standard,BOOKED,Shipper_135,Consignee_235
SHP-70036,607-10000036,FLT-1039,EY7,A6-BLF,AUH,FRA,General,1500,8.98,12,False,,,False,,Standard,BOOKED,Shipper_136,Consignee_236
SHP-70037,607-10000037,FLT-1039,EY7,A6-BLF,AUH,FRA,Perishable,450,2.69,5,True,2,8,False,,Express,BOOKED,Shipper_137,Consignee_237
SHP-70038,607-10000038,FLT-1040,EY8,A6-BLF,FRA,AUH,General,1350,8.08,11,False,,,False,,Standard,BOOKED,Shipper_138,Consignee_238
SHP-70039,607-10000039,FLT-1043,EY103,A6-APC,AUH,JFK,General,2800,16.77,22,False,,,False,,Standard,BOOKED,Shipper_139,Consignee_239
SHP-70040,607-10000040,FLT-1043,EY103,A6-APC,AUH,JFK,Pharmaceutical,500,2.99,10,True,-20,8,False,,Critical,BOOKED,Shipper_140,Consignee_240
SHP-70041,607-10000041,FLT-1043,EY103,A6-APC,AUH,JFK,Valuable,200,1.20,6,False,,,False,,Critical,BOOKED,Shipper_141,Consignee_241
SHP-70042,607-10000042,FLT-1044,EY104,A6-APC,JFK,AUH,General,2600,15.57,20,False,,,False,,Standard,BOOKED,Shipper_142,Consignee_242
SHP-70043,607-10000043,FLT-1044,EY104,A6-APC,JFK,AUH,Dangerous Goods,220,1.32,6,False,,,True,9,Standard,BOOKED,Shipper_143,Consignee_243
SHP-70044,607-10000044,FLT-1049,EY211,A6-ANB,AUH,DEL,General,450,2.69,5,False,,,False,,Standard,BOOKED,Shipper_144,Consignee_244
SHP-70045,607-10000045,FLT-1049,EY211,A6-ANB,AUH,DEL,Perishable,200,1.20,3,True,2,8,False,,Express,BOOKED,Shipper_145,Consignee_245
SHP-70046,607-10000046,FLT-1050,EY212,A6-ANB,DEL,AUH,General,400,2.40,4,False,,,False,,Standard,BOOKED,Shipper_146,Consignee_246
SHP-70047,607-10000047,FLT-1055,EY450,A6-APD,AUH,SYD,General,2900,17.37,23,False,,,False,,Standard,BOOKED,Shipper_147,Consignee_247
SHP-70048,607-10000048,FLT-1055,EY450,A6-APD,AUH,SYD,Pharmaceutical,450,2.69,9,True,-20,8,False,,Critical,BOOKED,Shipper_148,Consignee_248
SHP-70049,607-10000049,FLT-1055,EY450,A6-APD,AUH,SYD,Live Animals,350,2.10,5,False,,,False,,Express,BOOKED,Shipper_149,Consignee_249
SHP-70050,607-10000050,FLT-1063,EY81,A6-EYC,AUH,FCO,General,1750,10.48,14,False,,,False,,Standard,BOOKED,Shipper_150,Consignee_250

SHP-70051,607-10000051,FLT-1063,EY81,A6-EYC,AUH,FCO,Perishable,550,3.29,6,True,2,8,False,,Express,BOOKED,Shipper_151,Consignee_251
SHP-70052,607-10000052,FLT-1064,EY82,A6-EYC,FCO,AUH,General,1600,9.58,13,False,,,False,,Standard,BOOKED,Shipper_152,Consignee_252
SHP-70053,607-10000053,FLT-1067,EY83,A6-EYD,AUH,FCO,General,1650,9.88,13,False,,,False,,Standard,BOOKED,Shipper_153,Consignee_253
SHP-70054,607-10000054,FLT-1067,EY83,A6-EYD,AUH,FCO,Dangerous Goods,130,0.78,3,False,,,True,5,Standard,BOOKED,Shipper_154,Consignee_254
SHP-70055,607-10000055,FLT-1068,EY84,A6-EYD,FCO,AUH,General,1500,8.98,12,False,,,False,,Standard,BOOKED,Shipper_155,Consignee_255
SHP-70056,607-10000056,FLT-1069,EY371,A6-ANA,AUH,DOH,General,350,2.10,4,False,,,False,,Standard,BOOKED,Shipper_156,Consignee_256
SHP-70057,607-10000057,FLT-1071,EY373,A6-ANA,AUH,DOH,General,380,2.28,4,False,,,False,,Standard,BOOKED,Shipper_157,Consignee_257
SHP-70058,607-10000058,FLT-1073,EY375,A6-ANA,AUH,DOH,General,320,1.92,3,False,,,False,,Standard,BOOKED,Shipper_158,Consignee_258
SHP-70059,607-10000059,FLT-1075,EY215,A6-ANC,AUH,DEL,General,420,2.51,5,False,,,False,,Standard,BOOKED,Shipper_159,Consignee_259
SHP-70060,607-10000060,FLT-1075,EY215,A6-ANC,AUH,DEL,Pharmaceutical,150,0.90,3,True,-20,8,False,,Critical,BOOKED,Shipper_160,Consignee_260
SHP-70061,607-10000061,FLT-1076,EY216,A6-ANC,DEL,AUH,General,380,2.28,4,False,,,False,,Standard,BOOKED,Shipper_161,Consignee_261
SHP-70062,607-10000062,FLT-1077,EY217,A6-ANC,AUH,DEL,General,400,2.40,4,False,,,False,,Standard,BOOKED,Shipper_162,Consignee_262
SHP-70063,607-10000063,FLT-1078,EY381,A6-AND,AUH,MCT,General,280,1.68,3,False,,,False,,Standard,BOOKED,Shipper_163,Consignee_263
SHP-70064,607-10000064,FLT-1080,EY383,A6-AND,AUH,MCT,General,300,1.80,3,False,,,False,,Standard,BOOKED,Shipper_164,Consignee_264
SHP-70065,607-10000065,FLT-1082,EY385,A6-AND,AUH,MCT,General,260,1.56,3,False,,,False,,Standard,BOOKED,Shipper_165,Consignee_265
SHP-70066,607-10000066,FLT-1084,EY117,A6-BLD,BKK,AUH,General,1400,8.38,11,False,,,False,,Standard,BOOKED,Shipper_166,Consignee_266
SHP-70067,607-10000067,FLT-1084,EY117,A6-BLD,BKK,AUH,Perishable,480,2.87,5,True,2,8,False,,Express,BOOKED,Shipper_167,Consignee_267
SHP-70068,607-10000068,FLT-1085,EY118,A6-BLD,AUH,BKK,General,1250,7.49,10,False,,,False,,Standard,BOOKED,Shipper_168,Consignee_268
SHP-70069,607-10000069,FLT-1086,EY5293,A6-BLH,AUH,BKK,General,1550,9.28,12,False,,,False,,Standard,BOOKED,Shipper_169,Consignee_269
SHP-70070,607-10000070,FLT-1086,EY5293,A6-BLH,AUH,BKK,Dangerous Goods,160,0.96,4,False,,,True,6,Standard,BOOKED,Shipper_170,Consignee_270
SHP-70071,607-10000071,FLT-1087,EY5294,A6-BLH,BKK,AUH,General,1450,8.68,11,False,,,False,,Standard,BOOKED,Shipper_171,Consignee_271
SHP-70072,607-10000072,FLT-1051,EY213,A6-ANB,AUH,DEL,General,430,2.57,5,False,,,False,,Standard,BOOKED,Shipper_172,Consignee_272
SHP-70073,607-10000073,FLT-1052,EY214,A6-ANB,DEL,AUH,General,390,2.34,4,False,,,False,,Standard,BOOKED,Shipper_173,Consignee_273
SHP-70074,607-10000074,FLT-1070,EY372,A6-ANA,DOH,AUH,General,340,2.04,4,False,,,False,,Standard,BOOKED,Shipper_174,Consignee_274
SHP-70075,607-10000075,FLT-1072,EY374,A6-ANA,DOH,AUH,General,360,2.16,4,False,,,False,,Standard,BOOKED,Shipper_175,Consignee_275
SHP-70076,607-10000076,FLT-1074,EY376,A6-ANA,DOH,AUH,General,310,1.86,3,False,,,False,,Standard,BOOKED,Shipper_176,Consignee_276
SHP-70077,607-10000077,FLT-1079,EY382,A6-AND,MCT,AUH,General,270,1.62,3,False,,,False,,Standard,BOOKED,Shipper_177,Consignee_277
SHP-70078,607-10000078,FLT-1081,EY384,A6-AND,MCT,AUH,General,290,1.74,3,False,,,False,,Standard,BOOKED,Shipper_178,Consignee_278
SHP-70079,607-10000079,FLT-1083,EY386,A6-AND,MCT,AUH,General,250,1.50,3,False,,,False,,Standard,BOOKED,Shipper_179,Consignee_279
SHP-70080,607-10000080,FLT-1005,EY401,A6-BLA,AUH,BKK,Mail,400,2.40,18,False,,,False,,Standard,BOOKED,Shipper_180,Consignee_280
